dataset_name,client_num,n_estimators_client,num_rounds,xgb_max_depth,CNN_lr,best_res,best_res_round_num,num_iterations,method,source_file,subsample,learning_rate,colsample_bylevel,colsample_bynode,colsample_bytree,alpha,gamma,num_parallel_tree,min_child_weight,result_train,result_test,round,test_loss,test_accuracy,dtype,input,output,ulperrortol,seed, 0x0, 0xdeadbeaf
a9a,2.0,250.0,30.0,8.0,0.0001,0.8429285287857056,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,40.0,8.0,0.0001,0.8376873135566711,40.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,250.0,20.0,8.0,0.0001,0.7641471028327942,20.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,2.0,500.0,30.0,8.0,0.001,0.8455491065979004,29.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,2.0,250.0,30.0,8.0,0.0005,0.9234752058982848,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,2.0,300.0,50.0,5.0,0.0005,0.9468683004379272,49.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
cod-rna,10.0,100.0,30.0,8.0,0.001,0.9503719806671144,30.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,10.0,100.0,30.0,8.0,0.0005,0.938660204410553,28.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
ijcnn1,10.0,100.0,30.0,8.0,0.0005,0.9379972219467164,28.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
a9a,10.0,100.0,30.0,8.0,0.001,0.8403897881507874,26.0,100.0,unknown,baselines/hfedxgboost/results.csv,,,,,,,,,,,,,,,,,,,,,
