method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_selected_clients,num_fit_clients,fit_failures,dropped_clients,mu,dirichlet_alpha,local_epochs,batch_size,learning_rate,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalFedProx-Direct,CIFAR10,ResNet10,1,0.8787095702648161,0.7943600000000001,2.5304503440856934,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,374.5271301269531,57.93744683265686,57.93744683265686
ExternalFedProx-Direct,CIFAR10,ResNet10,2,0.8333220035958291,0.819,2.57889461517334,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,749.0542602539062,51.518062114715576,109.45550894737244
ExternalFedProx-Direct,CIFAR10,ResNet10,3,0.7383647738075256,0.8514799999999999,2.6835057735443115,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1123.5813903808594,52.96116304397583,162.41667199134827
ExternalFedProx-Direct,CIFAR10,ResNet10,4,0.7977060431575775,0.82736,2.8751094341278076,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1498.1085205078125,53.357102155685425,215.7737741470337
ExternalFedProx-Direct,CIFAR10,ResNet10,5,0.847084130039215,0.8024,2.910444974899292,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1872.6356506347656,53.373215436935425,269.1469895839691
ExternalFedProx-Direct,CIFAR10,ResNet10,6,0.6814960017204285,0.8655199999999998,2.9287989139556885,0.10429999977350235,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2247.1627807617188,52.31469535827637,321.4616849422455
ExternalFedProx-Direct,CIFAR10,ResNet10,7,0.7625898639535903,0.8372,2.830857753753662,0.1128000020980835,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2621.689910888672,53.10994267463684,374.5716276168823
ExternalFedProx-Direct,CIFAR10,ResNet10,8,0.6380181811189651,0.8823200000000001,2.895414352416992,0.13580000400543213,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2996.217041015625,51.759538650512695,426.331166267395
ExternalFedProx-Direct,CIFAR10,ResNet10,9,0.7883454587841033,0.8300799999999999,3.00413179397583,0.1354999989271164,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,3370.744171142578,52.963667154312134,479.29483342170715
ExternalFedProx-Direct,CIFAR10,ResNet10,10,0.6549319807910918,0.8726,3.0227153301239014,0.1054999977350235,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,3745.2713012695312,53.03530550003052,532.3301389217377
ExternalFedProx-Direct,CIFAR10,ResNet10,11,0.6922307534599303,0.8597999999999998,2.6424331665039062,0.21690000593662262,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4119.798431396484,52.07238841056824,584.4025273323059
ExternalFedProx-Direct,CIFAR10,ResNet10,12,0.7816006646585465,0.8345199999999999,2.50126314163208,0.1818999946117401,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4494.3255615234375,58.375845193862915,642.7783725261688
ExternalFedProx-Direct,CIFAR10,ResNet10,13,0.654136281785965,0.87136,2.1319801807403564,0.29809999465942383,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4868.852691650391,66.93182611465454,709.7101986408234
ExternalFedProx-Direct,CIFAR10,ResNet10,14,0.6880604833793638,0.8653999999999998,2.0509631633758545,0.33239999413490295,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,5243.379821777344,52.993311405181885,762.7035100460052
ExternalFedProx-Direct,CIFAR10,ResNet10,15,0.61492618329525,0.8889199999999999,1.9860543012619019,0.3345000147819519,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,5617.906951904297,51.60963797569275,814.313148021698
ExternalFedProx-Direct,CIFAR10,ResNet10,16,0.7079222599196434,0.8566400000000002,2.097378969192505,0.25450000166893005,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,5992.43408203125,53.01141881942749,867.3245668411255
