method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_selected_clients,num_fit_clients,fit_failures,dropped_clients,mu,dirichlet_alpha,local_epochs,batch_size,learning_rate,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalFedProx-Direct,CIFAR10,ResNet10,1,0.8652186053085327,0.8040799999999999,2.5294620990753174,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,374.5271301269531,85.09375715255737,85.09375715255737
ExternalFedProx-Direct,CIFAR10,ResNet10,2,0.82722455981493,0.81884,2.5515389442443848,0.10199999809265137,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,749.0542602539062,65.23954391479492,150.3333010673523
ExternalFedProx-Direct,CIFAR10,ResNet10,3,0.7388648525333404,0.8514400000000002,2.5854852199554443,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1123.5813903808594,64.69248175621033,215.02578282356262
ExternalFedProx-Direct,CIFAR10,ResNet10,4,0.7974126794338228,0.8240800000000001,2.74877667427063,0.11230000108480453,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1498.1085205078125,67.19276213645935,282.218544960022
ExternalFedProx-Direct,CIFAR10,ResNet10,5,0.8389373033833505,0.8051200000000001,2.8069918155670166,0.10000000149011612,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,1872.6356506347656,62.72105646133423,344.9396014213562
ExternalFedProx-Direct,CIFAR10,ResNet10,6,0.6778541376161574,0.8658799999999999,2.7206461429595947,0.09960000216960907,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2247.1627807617188,67.3061363697052,412.2457377910614
ExternalFedProx-Direct,CIFAR10,ResNet10,7,0.7580963152503967,0.83868,2.6332952976226807,0.10719999670982361,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2621.689910888672,65.18553400039673,477.43127179145813
ExternalFedProx-Direct,CIFAR10,ResNet10,8,0.6415863269805908,0.88128,2.5855350494384766,0.13210000097751617,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,2996.217041015625,52.74366354942322,530.1749353408813
ExternalFedProx-Direct,CIFAR10,ResNet10,9,0.79304112326622,0.8258,2.569197654724121,0.14380000531673431,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,3370.744171142578,52.90697622299194,583.0819115638733
ExternalFedProx-Direct,CIFAR10,ResNet10,10,0.6550597382640839,0.8717599999999999,2.631988763809204,0.12720000743865967,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,3745.2713012695312,52.1977002620697,635.279611825943
ExternalFedProx-Direct,CIFAR10,ResNet10,11,0.6888351026344298,0.8596799999999999,2.3549375534057617,0.2313999980688095,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4119.798431396484,50.94140672683716,686.2210185527802
ExternalFedProx-Direct,CIFAR10,ResNet10,12,0.7844025213718414,0.8322400000000001,2.2422070503234863,0.241799995303154,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4494.3255615234375,51.645751953125,737.8667705059052
ExternalFedProx-Direct,CIFAR10,ResNet10,13,0.6543637688446046,0.8714799999999999,2.1143569946289062,0.2939999997615814,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,4868.852691650391,52.33271646499634,790.1994869709015
ExternalFedProx-Direct,CIFAR10,ResNet10,14,0.6957101472473145,0.86236,1.974043369293213,0.33180001378059387,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,5243.379821777344,91.084463596344,881.2839505672455
ExternalFedProx-Direct,CIFAR10,ResNet10,15,0.6174494139218331,0.88776,1.974863886833191,0.33250001072883606,10,10,0,0,0.1,0.1,5,64,0.01,187.26356506347656,187.26356506347656,374.5271301269531,374.5271301269531,5617.906951904297,52.30892753601074,933.5928781032562
