method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,model_mode,avg_model_rate,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,1,2.0989588877677914,0.2452,1.881400343132019,0.3173,10,0,a1-b1-c1-d1-e1,0.3875,42.53962850570679,42.53962850570679
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,2,1.9068492483329773,0.31839999999999996,1.8614016777038573,0.3378,10,0,a1-b1-c1-d1-e1,0.3875,42.294617891311646,84.83424639701843
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,3,1.7802577401733397,0.35792,1.7069867292404175,0.394,10,0,a1-b1-c1-d1-e1,0.3875,42.60928130149841,127.44352769851685
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,4,1.6727675778579711,0.4034,1.7716239492416381,0.3946,10,0,a1-b1-c1-d1-e1,0.3875,42.11667442321777,169.56020212173462
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,5,1.6107172918891905,0.42223999999999995,1.7300959306716919,0.4101,10,0,a1-b1-c1-d1-e1,0.3875,42.10592174530029,211.6661238670349
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,6,1.5345144556999206,0.45472,1.8961665988922118,0.4035,10,0,a1-b1-c1-d1-e1,0.3875,42.34044861793518,254.0065724849701
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,7,1.5194216502761841,0.45343999999999995,2.0315837383270265,0.3897,10,0,a1-b1-c1-d1-e1,0.3875,41.96587634086609,295.9724488258362
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,8,1.458624812030792,0.47763999999999995,2.3053920787811277,0.359,10,0,a1-b1-c1-d1-e1,0.3875,41.9366455078125,337.9090943336487
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,9,1.4253799167060852,0.49084000000000005,2.275561298751831,0.3943,10,0,a1-b1-c1-d1-e1,0.3875,42.0959837436676,380.0050780773163
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,10,1.3835399359512326,0.50496,1.9501044174194335,0.4264,10,0,a1-b1-c1-d1-e1,0.3875,42.00028157234192,422.0053596496582
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,11,1.340309279232025,0.5244,2.2818142166137694,0.3808,10,0,a1-b1-c1-d1-e1,0.3875,42.35839891433716,464.36375856399536
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,12,1.3384172668266294,0.5254,3.489752614593506,0.2988,10,0,a1-b1-c1-d1-e1,0.3875,42.13619661331177,506.49995517730713
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,13,1.309341060771942,0.5357999999999999,2.948314503097534,0.3435,10,0,a1-b1-c1-d1-e1,0.3875,41.989368200302124,548.4893233776093
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,14,1.2786244252681733,0.54668,3.9185296379089354,0.2925,10,0,a1-b1-c1-d1-e1,0.3875,42.035136461257935,590.5244598388672
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,15,1.2339843812656404,0.56024,3.194141918563843,0.3326,10,0,a1-b1-c1-d1-e1,0.3875,42.21522092819214,632.7396807670593
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,16,1.2001808151483537,0.57536,4.756594570159912,0.2747,10,0,a1-b1-c1-d1-e1,0.3875,42.15069937705994,674.8903801441193
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,17,1.2059323193120957,0.56948,3.3981270763397218,0.3524,10,0,a1-b1-c1-d1-e1,0.3875,42.01707124710083,716.9074513912201
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,18,1.1959769732618333,0.5708799999999999,4.1631441822052,0.2982,10,0,a1-b1-c1-d1-e1,0.3875,42.36237931251526,759.2698307037354
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,19,1.1646565033483505,0.5803200000000001,5.281076293945312,0.2446,10,0,a1-b1-c1-d1-e1,0.3875,42.00265049934387,801.2724812030792
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,20,1.1407234188365938,0.5929199999999999,4.118430782318115,0.3322,10,0,a1-b1-c1-d1-e1,0.3875,42.29592823982239,843.5684094429016
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,21,1.1063715051794052,0.60456,3.828030787658691,0.3247,10,0,a1-b1-c1-d1-e1,0.3875,42.196401596069336,885.764811038971
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,22,1.149507863073349,0.59348,4.222685684967041,0.341,10,0,a1-b1-c1-d1-e1,0.3875,41.270867586135864,927.0356786251068
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,23,1.1342154296970368,0.5992400000000001,4.62650495376587,0.325,10,0,a1-b1-c1-d1-e1,0.3875,41.804105281829834,968.8397839069366
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,24,1.096374637789726,0.6128799999999999,3.596508815765381,0.3709,10,0,a1-b1-c1-d1-e1,0.3875,42.26311159133911,1011.1028954982758
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,25,1.0688719911813735,0.62664,3.365293314743042,0.4052,10,0,a1-b1-c1-d1-e1,0.3875,41.82521986961365,1052.9281153678894
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,26,1.0410649949836732,0.63076,4.796717391204834,0.3539,10,0,a1-b1-c1-d1-e1,0.3875,41.97282004356384,1094.9009354114532
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,27,1.091239340929985,0.61792,3.7873972969055174,0.3397,10,0,a1-b1-c1-d1-e1,0.3875,41.84929347038269,1136.750228881836
ExternalHeteroFL-Direct,CIFAR10,HeteroCifarCNN,28,1.0679165784168243,0.6233600000000001,4.543189530181885,0.3473,10,0,a1-b1-c1-d1-e1,0.3875,42.26871728897095,1179.0189461708069
