method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,model_mode,avg_model_rate,round_wall_time_sec,cumulative_round_wall_time_sec
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,1,2.0754681003189086,0.24476,1.914835264968872,0.2659,10,0,a1-b1-c1-d1-e1,0.3875,9.602319955825806,9.602319955825806
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,2,1.8252337313079834,0.31476000000000004,1.7807004341125487,0.3591,10,0,a1-b1-c1-d1-e1,0.3875,8.637824058532715,18.24014401435852
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,3,1.585908280467987,0.40664,1.7672327529907226,0.3989,10,0,a1-b1-c1-d1-e1,0.3875,8.505963802337646,26.746107816696167
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,4,1.3241666415643691,0.50868,2.0149100131988527,0.4289,10,0,a1-b1-c1-d1-e1,0.3875,8.724673986434937,35.4707818031311
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,5,1.0834030123496055,0.59848,2.3483708839416506,0.4256,10,0,a1-b1-c1-d1-e1,0.3875,8.695200204849243,44.16598200798035
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,6,0.8982254929316044,0.67308,2.7116014488220217,0.407,10,0,a1-b1-c1-d1-e1,0.3875,8.54720950126648,52.713191509246826
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,7,0.8740861414456367,0.69368,2.19901123046875,0.4257,10,0,a1-b1-c1-d1-e1,0.3875,8.698035955429077,61.4112274646759
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,8,0.7234360257902741,0.74732,2.3947691650390626,0.4422,10,0,a1-b1-c1-d1-e1,0.3875,8.50528359413147,69.91651105880737
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,9,0.6238665787005797,0.78768,2.480905157852173,0.4521,10,0,a1-b1-c1-d1-e1,0.3875,8.654034614562988,78.57054567337036
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,10,0.5473509150376916,0.8136399999999998,2.673230067062378,0.4451,10,0,a1-b1-c1-d1-e1,0.3875,8.681224822998047,87.25177049636841
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,11,0.4846659370935801,0.8314400000000001,2.729168088531494,0.4466,10,0,a1-b1-c1-d1-e1,0.3875,8.510471105575562,95.76224160194397
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,12,0.4984195484624337,0.8371599999999999,2.161739817047119,0.4465,10,0,a1-b1-c1-d1-e1,0.3875,8.647947311401367,104.41018891334534
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,13,0.43923376784369356,0.85632,2.148454714202881,0.4694,10,0,a1-b1-c1-d1-e1,0.3875,8.70560908317566,113.115797996521
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,14,0.42122404386691753,0.8637599999999999,2.30869836807251,0.4697,10,0,a1-b1-c1-d1-e1,0.3875,8.562538146972656,121.67833614349365
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,15,0.3858440447659604,0.8739600000000001,2.381381309890747,0.4676,10,0,a1-b1-c1-d1-e1,0.3875,8.721725225448608,130.40006136894226
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,16,0.33764345799013046,0.88812,2.4457645317077636,0.4661,10,0,a1-b1-c1-d1-e1,0.3875,8.59218168258667,138.99224305152893
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,17,0.38526427308470007,0.8812000000000001,1.9917477806091308,0.4693,10,0,a1-b1-c1-d1-e1,0.3875,8.571603298187256,147.5638463497162
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,18,0.32245382572503756,0.9017600000000001,1.973852928161621,0.4999,10,0,a1-b1-c1-d1-e1,0.3875,8.643976926803589,156.20782327651978
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,19,0.3017379038352147,0.909,2.040238808822632,0.5081,10,0,a1-b1-c1-d1-e1,0.3875,8.49922251701355,164.70704579353333
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,20,0.3298475972602889,0.8952800000000002,2.0803540950775146,0.5067,10,0,a1-b1-c1-d1-e1,0.3875,8.70390510559082,173.41095089912415
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,21,0.2851339230385609,0.90944,2.1365652551651,0.505,10,0,a1-b1-c1-d1-e1,0.3875,8.748451709747314,182.15940260887146
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,22,0.3021374144904967,0.9072800000000001,1.9017715696334838,0.5064,10,0,a1-b1-c1-d1-e1,0.3875,8.507585525512695,190.66698813438416
ExternalHeteroFL-Direct,CIFAR10,HeteroResNet10_sBN_Scaler,23,0.28559333890242505,0.91156,1.8403738021850586,0.5215,10,0,a1-b1-c1-d1-e1,0.3875,8.367860555648804,199.03484869003296
