method,dataset,model,round,test_loss,test_accuracy
FedAvg,CIFAR10,ResNet10,1,2.5573,0.1
FedAvg,CIFAR10,ResNet10,2,2.5596,0.1115
FedAvg,CIFAR10,ResNet10,3,2.5856,0.1024
FedAvg,CIFAR10,ResNet10,4,2.7802,0.1
FedAvg,CIFAR10,ResNet10,5,2.7762,0.1
FedAvg,CIFAR10,ResNet10,6,2.6691,0.1039
FedAvg,CIFAR10,ResNet10,7,2.8406,0.1033
FedAvg,CIFAR10,ResNet10,8,2.8652,0.1434
FedAvg,CIFAR10,ResNet10,9,2.5925,0.1265
FedAvg,CIFAR10,ResNet10,10,2.4195,0.1609
FedAvg,CIFAR10,ResNet10,11,2.4406,0.2273
FedAvg,CIFAR10,ResNet10,12,2.1262,0.2954
FedAvg,CIFAR10,ResNet10,13,2.0401,0.311
FedAvg,CIFAR10,ResNet10,14,2.0999,0.2847
FedAvg,CIFAR10,ResNet10,15,2.1648,0.2901
FedAvg,CIFAR10,ResNet10,16,1.9697,0.3371
FedAvg,CIFAR10,ResNet10,17,2.063,0.3284
FedAvg,CIFAR10,ResNet10,18,1.9173,0.4142
FedAvg,CIFAR10,ResNet10,19,1.9989,0.3436
FedAvg,CIFAR10,ResNet10,20,2.111,0.2619
FedAvg,CIFAR10,ResNet10,21,2.2029,0.2951
FedAvg,CIFAR10,ResNet10,22,1.9113,0.383
FedAvg,CIFAR10,ResNet10,23,1.9153,0.382
FedAvg,CIFAR10,ResNet10,24,1.8886,0.3809
FedAvg,CIFAR10,ResNet10,25,1.9202,0.3697
FedAvg,CIFAR10,ResNet10,26,1.8626,0.414
FedAvg,CIFAR10,ResNet10,27,1.9572,0.3654
FedAvg,CIFAR10,ResNet10,28,1.8338,0.4028
FedAvg,CIFAR10,ResNet10,29,1.8549,0.3911
FedAvg,CIFAR10,ResNet10,30,1.8459,0.4074
FedAvg,CIFAR10,ResNet10,31,1.808,0.4261
FedAvg,CIFAR10,ResNet10,32,1.7985,0.4215
FedAvg,CIFAR10,ResNet10,33,1.8263,0.4488
FedAvg,CIFAR10,ResNet10,34,1.7995,0.4244
FedAvg,CIFAR10,ResNet10,35,2.3459,0.243
FedAvg,CIFAR10,ResNet10,36,1.7779,0.4319
FedAvg,CIFAR10,ResNet10,37,1.903,0.3658
FedAvg,CIFAR10,ResNet10,38,2.1161,0.353
FedAvg,CIFAR10,ResNet10,39,1.9382,0.3702
FedAvg,CIFAR10,ResNet10,40,1.8412,0.4157
FedAvg,CIFAR10,ResNet10,41,1.7489,0.4571
FedAvg,CIFAR10,ResNet10,42,2.0126,0.3594
FedAvg,CIFAR10,ResNet10,43,1.8603,0.4245
FedAvg,CIFAR10,ResNet10,44,1.9569,0.3402
FedAvg,CIFAR10,ResNet10,45,1.9339,0.3849
FedAvg,CIFAR10,ResNet10,46,1.892,0.37
FedAvg,CIFAR10,ResNet10,47,1.8379,0.3939
FedAvg,CIFAR10,ResNet10,48,1.844,0.4191
FedAvg,CIFAR10,ResNet10,49,1.9078,0.3953
FedAvg,CIFAR10,ResNet10,50,1.7332,0.4702
