method,dataset,model,round,test_loss,test_accuracy
FedAvg,CIFAR10,ResNet10,1,2.5573,0.1
FedAvg,CIFAR10,ResNet10,2,2.5596,0.1115
FedAvg,CIFAR10,ResNet10,3,2.5856,0.1024
FedAvg,CIFAR10,ResNet10,4,2.7802,0.1
FedAvg,CIFAR10,ResNet10,5,2.7762,0.1
FedAvg,CIFAR10,ResNet10,6,2.6691,0.1039
FedAvg,CIFAR10,ResNet10,7,2.8406,0.1033
FedAvg,CIFAR10,ResNet10,8,2.8652,0.1434
FedAvg,CIFAR10,ResNet10,9,2.5925,0.1265
FedAvg,CIFAR10,ResNet10,10,2.4195,0.1609
FedAvg,CIFAR10,ResNet10,11,2.4406,0.2273
FedAvg,CIFAR10,ResNet10,12,2.1262,0.2954
FedAvg,CIFAR10,ResNet10,13,2.0401,0.311
FedAvg,CIFAR10,ResNet10,14,2.0999,0.2847
FedAvg,CIFAR10,ResNet10,15,2.1648,0.2901
FedAvg,CIFAR10,ResNet10,16,1.9697,0.3371
FedAvg,CIFAR10,ResNet10,17,2.063,0.3284
FedAvg,CIFAR10,ResNet10,18,1.9173,0.4142
FedAvg,CIFAR10,ResNet10,19,1.9989,0.3436
FedAvg,CIFAR10,ResNet10,20,2.111,0.2619
FedAvg,CIFAR10,ResNet10,21,2.2029,0.2951
FedAvg,CIFAR10,ResNet10,22,1.9113,0.383
FedAvg,CIFAR10,ResNet10,23,1.9153,0.382
FedAvg,CIFAR10,ResNet10,24,1.8886,0.3809
FedAvg,CIFAR10,ResNet10,25,1.9202,0.3697
FedAvg,CIFAR10,ResNet10,26,1.8626,0.414
FedAvg,CIFAR10,ResNet10,27,1.9572,0.3654
FedAvg,CIFAR10,ResNet10,28,1.8338,0.4028
FedAvg,CIFAR10,ResNet10,29,1.8549,0.3911
FedAvg,CIFAR10,ResNet10,30,1.8459,0.4074
FedAvg,CIFAR10,ResNet10,31,1.808,0.4261
FedAvg,CIFAR10,ResNet10,32,1.7985,0.4215
FedAvg,CIFAR10,ResNet10,33,1.8263,0.4488
FedAvg,CIFAR10,ResNet10,34,1.7995,0.4244
FedAvg,CIFAR10,ResNet10,35,2.3459,0.243
