method,dataset,model,round,train_loss,test_loss,test_accuracy,num_fit_clients,fit_failures,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,1,4.1192319869995115,4.052724809490115,0.04715250965250965,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,755.7346343994141,8.35978364571929,8.35978364571929
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,2,4.065665054321289,3.9904452817780633,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,1511.4692687988281,8.915031423792243,17.274815069511533
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,3,4.014355993270874,3.9261763589492635,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,2267.203903198242,8.393719354178756,25.66853442369029
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,4,3.9583353757858277,3.8590800670123007,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,3022.9385375976562,8.357659586705267,34.02619401039556
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,5,3.9037007808685305,3.7878181031081666,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,3778.6731719970703,8.58552267216146,42.61171668255702
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,6,3.8383457899093627,3.7181110808978213,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,4534.407806396484,8.470003055874258,51.081719738431275
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,7,3.801704454421997,3.6549621446482465,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,5290.142440795898,8.27372980862856,59.355449547059834
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,8,3.7385208129882814,3.593905702405915,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,6045.8770751953125,8.79182063229382,68.14727017935365
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,9,3.686785650253296,3.548700789687256,0.07109073359073359,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,6801.611709594727,8.438785586040467,76.58605576539412
FedMeta-Direct-Dropout,LEAF-FEMNIST-NIID,FemnistNetwork,10,3.6636806964874267,3.5114676237796725,0.060955598455598455,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,7557.346343994141,8.737178125884384,85.3232338912785
