method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,split_train_smashed_forward_mb,split_train_smashed_backward_mb,split_train_label_mb,split_train_total_comm_mb,fit_total_comm_mb,client_train_time_mean_sec,client_train_time_max_sec,fit_total_time_mean_sec,fit_total_time_max_sec,fit_wall_time_sec,num_eval_clients,eval_failures,eval_param_down_mb,eval_param_up_mb,eval_param_total_comm_mb,split_eval_smashed_forward_mb,split_eval_label_mb,split_eval_total_comm_mb,eval_total_comm_mb,client_eval_time_mean_sec,client_eval_time_max_sec,eval_total_time_mean_sec,eval_total_time_max_sec,eval_wall_time_sec,round_param_comm_mb,round_splitfed_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
FedMeta,CIFAR10,ResNet10,1,2.095242977142334,0.0,2.2908475227355956,0.1,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.41077597880503164,0.630844125058502,0.41860854806145653,0.6388192189624533,22.144193569896743,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5204053228953853,374.3083190917969,0.0,374.3083190917969,374.3083190917969,22.14419982000254,22.14419982000254
FedMeta,CIFAR10,ResNet10,2,1.8484599828720092,0.0,2.3016933540344238,0.1019,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.4123317525954917,0.5289360919268802,0.420093470683787,0.5363203259184957,15.589055404998362,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0655812449986115,374.3083190917969,0.0,374.3083190917969,748.6166381835938,15.58906031504739,37.73326013504993
FedMeta,CIFAR10,ResNet10,3,1.7991002082824707,0.0,2.289860041809082,0.0949,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.40061449630884455,0.5092908260412514,0.40839571569813415,0.5185253989184275,15.537785693071783,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.059998209006153,374.3083190917969,0.0,374.3083190917969,1122.9249572753906,15.537789383088239,53.27104951813817
FedMeta,CIFAR10,ResNet10,4,1.6484029293060303,0.0,2.298472346496582,0.1013,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.42293371678097175,0.6071111339842901,0.4300720223924145,0.6142048370093107,15.709081765031442,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0535547039471567,374.3083190917969,0.0,374.3083190917969,1497.2332763671875,15.709085815004073,68.98013533314224
FedMeta,CIFAR10,ResNet10,5,1.6511265277862548,0.0,2.287312257385254,0.1013,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.41147470619762316,0.5606651570415124,0.419122822501231,0.5676445730496198,15.603404863970354,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.062736446969211,374.3083190917969,0.0,374.3083190917969,1871.5415954589844,15.603416543919593,84.58355187706184
FedMeta,CIFAR10,ResNet10,6,1.6457422256469727,0.0,2.3020275299072264,0.1,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.40347233610227706,0.5661251340061426,0.41091901569161565,0.5752638069679961,15.573327656951733,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.035781796905212,374.3083190917969,0.0,374.3083190917969,2245.8499145507812,15.573331477004103,100.15688335406594
FedMeta,CIFAR10,ResNet10,7,1.5653061509132384,0.0,2.3059153694152834,0.1009,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.38573473650030793,0.42529814993031323,0.392906571412459,0.4327105350093916,15.39564226102084,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0631938070291653,374.3083190917969,0.0,374.3083190917969,2620.158233642578,15.395648801000789,115.55253215506673
FedMeta,CIFAR10,ResNet10,8,1.5385590195655823,0.0,2.2980469287872314,0.1209,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.3997261339914985,0.5589489389676601,0.40729162050411105,0.5697730609681457,15.532925886916928,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1140614689793438,374.3083190917969,0.0,374.3083190917969,2994.466552734375,15.532932406989858,131.0854645620566
FedMeta,CIFAR10,ResNet10,9,1.4556027412414552,0.0,2.2841173316955565,0.1632,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.38213612119434404,0.3878297780174762,0.38946297569200394,0.39482077199500054,15.205919692991301,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1015072179725394,374.3083190917969,0.0,374.3083190917969,3368.774871826172,15.205923362984322,146.2913879250409
FedMeta,CIFAR10,ResNet10,10,1.489218807220459,0.0,2.295555883026123,0.1325,10,0,187.2644805908203,187.04383850097656,374.3083190917969,0.0,0.0,0.0,0.0,374.3083190917969,0.3841475089779124,0.3923579549882561,0.3914558610878885,0.40009225893300027,15.271235264022835,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1187794250436127,374.3083190917969,0.0,374.3083190917969,3743.0831909179688,15.271239873953164,161.56262779899407
