round,avg_client_query_loss,test_loss,test_accuracy
1,2.3406703948974608,2.2971135665893554,0.1404
2,2.1770695805549622,2.3006707244873046,0.1005
3,2.573188591003418,2.299591676712036,0.1
4,2.514611744880676,2.297459966278076,0.1
5,2.419764018058777,2.2962107376098633,0.106
6,2.2720303773880004,2.2946788722991944,0.0792
7,2.2351346254348754,2.295157229614258,0.064
8,1.9492653727531433,2.285221332550049,0.1328
9,2.0361023783683776,2.280571310043335,0.1015
10,1.957874023914337,2.290292728805542,0.1
