method,dataset,model,round,train_loss,test_loss,test_accuracy,num_fit_clients,fit_failures,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,1,4.110239028930664,3.994827397979132,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,755.7346343994141,6.777816677000374,6.777816677000374
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,2,3.9978500843048095,3.8813342318179522,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,1511.4692687988281,6.662762257969007,13.44057893496938
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,3,3.8793735265731812,3.7611171144442737,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,2267.203903198242,6.6772343991324306,20.11781333410181
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,4,3.7603901863098144,3.6313665539041793,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,3022.9385375976562,6.540461072931066,26.658274407032877
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,5,3.6305158138275146,3.490678634601313,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,3778.6731719970703,6.62631782097742,33.2845922280103
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,6,3.483685088157654,3.341627391320209,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,4534.407806396484,6.592455392004922,39.87704762001522
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,7,3.345205283164978,3.190125217376866,0.12363210005211048,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,5290.142440795898,6.468865736853331,46.34591335686855
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,8,3.1732574462890626,3.0445101351834882,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,6045.8770751953125,6.6070352219976485,52.9529485788662
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,9,3.0070932388305662,2.915490754045752,0.13848358520062531,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,6801.611709594727,6.588728584116325,59.54167716298252
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,10,2.88977735042572,2.8086723548910033,0.13848358520062531,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,7557.346343994141,6.5212881558109075,66.06296531879343
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,11,2.744959235191345,2.7263070552718087,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,8313.080978393555,6.530084070051089,72.59304938884452
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,12,2.665572738647461,2.667246568258881,0.11529442417926003,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,9068.815612792969,6.4918172638863325,79.08486665273085
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,13,2.5710100650787355,2.635430106432131,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,9824.550247192383,6.578976789023727,85.66384344175458
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,14,2.5056700229644777,2.6228240093506523,0.11529442417926003,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,10580.284881591797,6.609044871060178,92.27288831281476
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,15,2.5111685276031492,2.6297699846036116,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,11336.019515991211,6.382107940968126,98.65499625378288
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,16,2.4655314922332763,2.6280104141486316,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,12091.754150390625,6.688974661985412,105.3439709157683
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,17,2.4431016206741334,2.6372194773148223,0.18114903595622722,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,12847.488784790039,6.525247092125937,111.86921800789423
FedMeta-Direct,LEAF-FEMNIST-NIID,FemnistNetwork,18,2.4849881410598753,2.6233591830562712,0.08897863470557582,10,0,251.9115447998047,503.8230895996094,755.7346343994141,755.7346343994141,13603.223419189453,6.5154961589723825,118.38471416686662
