method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,split_train_smashed_forward_mb,split_train_smashed_backward_mb,split_train_label_mb,split_train_total_comm_mb,fit_total_comm_mb,client_train_time_mean_sec,client_train_time_max_sec,fit_total_time_mean_sec,fit_total_time_max_sec,fit_wall_time_sec,num_eval_clients,eval_failures,eval_param_down_mb,eval_param_up_mb,eval_param_total_comm_mb,split_eval_smashed_forward_mb,split_eval_label_mb,split_eval_total_comm_mb,eval_total_comm_mb,client_eval_time_mean_sec,client_eval_time_max_sec,eval_total_time_mean_sec,eval_total_time_max_sec,eval_wall_time_sec,round_param_comm_mb,round_splitfed_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
HeteroFL,CIFAR10,resnet10,1,316.25480598103604,0.4272000000000001,9.397178999985321,0.1366,10,0,10.67608642578125,10.67608642578125,21.3521728515625,0.0,0.0,0.0,0.0,21.3521728515625,1.2867546220310033,3.7812246120302007,1.293791223608423,3.789462266024202,18.365007346030325,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.57172033796087,21.3521728515625,0.0,21.3521728515625,21.3521728515625,40.256155896000564,40.256155896000564
HeteroFL,CIFAR10,resnet10,2,880.0766297204295,0.4648999999999999,34.69409867781627,0.1177,10,0,84.50068664550781,84.50068664550781,169.00137329101562,0.0,0.0,0.0,0.0,169.00137329101562,0.9879276341991499,1.5105915119638667,1.0024483319139108,1.5199483649339527,11.123973823036067,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44252875400707,169.00137329101562,0.0,169.00137329101562,190.35354614257812,32.30139005207457,72.55754594807513
HeteroFL,CIFAR10,resnet10,3,1205.6958833184915,0.4905,33.972473699835284,0.1249,10,0,26.890655517578125,26.890655517578125,53.78131103515625,0.0,0.0,0.0,0.0,53.78131103515625,0.9797665659105406,1.1564847039990127,0.988823551509995,1.162272620946169,10.636058791074902,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.37097813503351,53.78131103515625,0.0,53.78131103515625,244.13485717773438,31.69666853407398,104.25421448214911
HeteroFL,CIFAR10,resnet10,4,1449.3056577153118,0.5265,42.694204934035675,0.1245,10,0,66.54225158691406,66.54225158691406,133.08450317382812,0.0,0.0,0.0,0.0,133.08450317382812,0.924905923078768,1.1799566879635677,0.9378687630756758,1.2104737870395184,10.306161578046158,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.582821304094978,133.08450317382812,0.0,133.08450317382812,377.2193603515625,31.383499540039338,135.63771402218845
HeteroFL,CIFAR10,resnet10,5,714.2748797317211,0.5853999999999998,26.6640783623804,0.1343,10,0,10.691558837890625,10.691558837890625,21.38311767578125,0.0,0.0,0.0,0.0,21.38311767578125,0.9710853520198726,1.0529505480080843,0.976831562910229,1.059784893062897,10.516957206069492,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.575444865971804,21.38311767578125,0.0,21.38311767578125,398.60247802734375,32.3096368170809,167.94735083926935
HeteroFL,CIFAR10,resnet10,6,1733.9140412383065,0.5634000000000001,69.97204536727712,0.1013,10,0,49.90074157714844,49.90074157714844,99.80148315429688,0.0,0.0,0.0,0.0,99.80148315429688,0.9111185767804273,1.0214149609673768,0.9226401726831682,1.0527436789125204,10.018983280984685,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.87674733402673,99.80148315429688,0.0,99.80148315429688,498.4039611816406,31.354771367972717,199.30212220724206
HeteroFL,CIFAR10,resnet10,7,1606.6551470105383,0.5409,52.80016524882256,0.0997,10,0,82.53561401367188,82.53561401367188,165.07122802734375,0.0,0.0,0.0,0.0,165.07122802734375,0.9900966167100705,1.1965543660335243,1.0054920655908064,1.203379662008956,10.938139976002276,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.30106880608946,165.07122802734375,0.0,165.07122802734375,663.4751892089844,31.849379815976135,231.1515020232182
HeteroFL,CIFAR10,resnet10,8,793.9368439576159,0.5493,25.458149873757666,0.1001,10,0,46.83479309082031,46.83479309082031,93.66958618164062,0.0,0.0,0.0,0.0,93.66958618164062,0.9296778424759395,1.105183669948019,0.9414589611114934,1.1353834490291774,10.175054525956511,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.592285569990054,93.66958618164062,0.0,93.66958618164062,757.144775390625,31.220367891946808,262.371869915165
HeteroFL,CIFAR10,resnet10,9,311.02221780944456,0.5981999999999998,8.516600741615779,0.146,10,0,25.58404541015625,25.58404541015625,51.1680908203125,0.0,0.0,0.0,0.0,51.1680908203125,0.9119843069114723,1.1072931890375912,0.9196605836972594,1.1136289139976725,9.965346375945956,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.562959290924482,51.1680908203125,0.0,51.1680908203125,808.3128662109375,30.948219817015342,293.32008973218035
HeteroFL,CIFAR10,resnet10,10,550.1053039496765,0.6066999999999999,13.824291736264772,0.191,10,0,63.47114562988281,63.47114562988281,126.94229125976562,0.0,0.0,0.0,0.0,126.94229125976562,0.9124646167969331,1.0144797950051725,0.9223800644977018,1.0462234020233154,10.352380119962618,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56308028998319,126.94229125976562,0.0,126.94229125976562,935.2551574707031,31.4076387580717,324.72772849025205
HeteroFL,CIFAR10,resnet10,11,534.5470778859499,0.5908999999999999,14.479501627668549,0.1127,10,0,31.952621459960938,31.952621459960938,63.905242919921875,0.0,0.0,0.0,0.0,63.905242919921875,0.874352363019716,1.0617131110047922,0.883244399598334,1.0713357840431854,9.557461758027785,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.634531179093756,63.905242919921875,0.0,63.905242919921875,999.160400390625,30.626019936986268,355.3537484272383
