method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy
SplitFed,CIFAR10,ResNet10,1,2.020834141254425,0.25075,1.9063678489685059,0.2775
SplitFed,CIFAR10,ResNet10,2,1.7922007493972778,0.3334,1.634034708404541,0.3907
SplitFed,CIFAR10,ResNet10,3,1.6826183588027954,0.3722,1.55675218334198,0.4297
SplitFed,CIFAR10,ResNet10,4,1.6160033367156983,0.406,1.4741311199188232,0.4566
SplitFed,CIFAR10,ResNet10,5,1.5500828313827515,0.4254,1.4011500019073486,0.4885
SplitFed,CIFAR10,ResNet10,6,1.514293321800232,0.4367,1.3714260272979737,0.502
SplitFed,CIFAR10,ResNet10,7,1.4671356819152832,0.467,1.3754226654052735,0.4977
SplitFed,CIFAR10,ResNet10,8,1.425662398147583,0.4773,1.292258373260498,0.5311
SplitFed,CIFAR10,ResNet10,9,1.3943906047821044,0.4924,1.309456361579895,0.5282
SplitFed,CIFAR10,ResNet10,10,1.352877547454834,0.5081,1.24401058177948,0.5508
