method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy
SplitFed,CIFAR10,ResNet10,1,1.8707518778419494,0.3202,1.8627238774299621,0.29
SplitFed,CIFAR10,ResNet10,2,1.5768265555191041,0.43112,1.5847656059265136,0.397
SplitFed,CIFAR10,ResNet10,3,1.472223884525299,0.473,1.4883948554992676,0.45
SplitFed,CIFAR10,ResNet10,4,1.384791441707611,0.50172,1.418785635471344,0.479
SplitFed,CIFAR10,ResNet10,5,1.3099603662490842,0.5308,1.3757823395729065,0.507
SplitFed,CIFAR10,ResNet10,6,1.2350170359230042,0.5591200000000001,1.3113192901611328,0.517
SplitFed,CIFAR10,ResNet10,7,1.1954470339584349,0.57904,1.2868981537818909,0.529
SplitFed,CIFAR10,ResNet10,8,1.1234147549915314,0.6026400000000002,1.2574152054786683,0.558
SplitFed,CIFAR10,ResNet10,9,1.1102265573978425,0.6104800000000001,1.2798337783813476,0.539
SplitFed,CIFAR10,ResNet10,10,1.0873664374351502,0.6208400000000001,1.2222669806480408,0.554
SplitFed,CIFAR10,ResNet10,11,1.0451976145648958,0.63048,1.1896822242736815,0.581
SplitFed,CIFAR10,ResNet10,12,1.0316858234119417,0.63844,1.1199934310913087,0.616
SplitFed,CIFAR10,ResNet10,13,0.9930832296371461,0.6576800000000002,1.128551005601883,0.612
SplitFed,CIFAR10,ResNet10,14,0.9665159352207185,0.6667200000000001,1.1380013010501862,0.608
SplitFed,CIFAR10,ResNet10,15,0.9286103568649291,0.6803599999999999,1.0660930352210998,0.608
SplitFed,CIFAR10,ResNet10,16,0.9199377274990082,0.6873199999999999,1.0695674905776977,0.635
SplitFed,CIFAR10,ResNet10,17,0.9092296780204774,0.6871200000000001,1.0991002225875854,0.612
SplitFed,CIFAR10,ResNet10,18,0.8550934235477448,0.7112,0.993929545879364,0.655
SplitFed,CIFAR10,ResNet10,19,0.8761641868400575,0.7002,1.0094621307849885,0.647
SplitFed,CIFAR10,ResNet10,20,0.8107825782632827,0.7254,0.9483793005943298,0.665
SplitFed,CIFAR10,ResNet10,21,0.8435359813022613,0.70936,0.9582158951759339,0.66
SplitFed,CIFAR10,ResNet10,22,0.7897626992321014,0.7327600000000001,0.9823401892185211,0.669
SplitFed,CIFAR10,ResNet10,23,0.8139187052822112,0.7232000000000001,0.9393705604076386,0.662
SplitFed,CIFAR10,ResNet10,24,0.7872290703487398,0.73476,0.8934854114055634,0.687
SplitFed,CIFAR10,ResNet10,25,0.7503396091413498,0.74924,1.0106462924480437,0.66
SplitFed,CIFAR10,ResNet10,26,0.7327896903038025,0.7528800000000001,0.9100288183689117,0.668
SplitFed,CIFAR10,ResNet10,27,0.7528823580503463,0.7434800000000001,0.9566672186851501,0.674
SplitFed,CIFAR10,ResNet10,28,0.7165635718536377,0.76208,0.929257862329483,0.69
SplitFed,CIFAR10,ResNet10,29,0.6982732920169831,0.7644,0.904757523059845,0.681
SplitFed,CIFAR10,ResNet10,30,0.7119874004268647,0.75972,0.8422003057003021,0.704
SplitFed,CIFAR10,ResNet10,31,0.7007101834726335,0.7682399999999999,0.9229915778636932,0.696
SplitFed,CIFAR10,ResNet10,32,0.6793335203456878,0.7729199999999999,0.9161233415603638,0.687
SplitFed,CIFAR10,ResNet10,33,0.6628171284723281,0.7799200000000001,0.899542240858078,0.688
SplitFed,CIFAR10,ResNet10,34,0.6528090334033967,0.7859199999999998,0.8072984560728073,0.713
SplitFed,CIFAR10,ResNet10,35,0.6589264654445648,0.7787999999999999,0.8354989767074585,0.71
SplitFed,CIFAR10,ResNet10,36,0.6619287263870239,0.7801599999999999,0.8234578728675842,0.716
SplitFed,CIFAR10,ResNet10,37,0.622841102347374,0.79096,0.7542348027229309,0.734
SplitFed,CIFAR10,ResNet10,38,0.5982014709901811,0.8013999999999999,0.8137008469104767,0.706
SplitFed,CIFAR10,ResNet10,39,0.5955072379541397,0.803,0.8171416231393814,0.716
SplitFed,CIFAR10,ResNet10,40,0.6028708205103874,0.79732,0.821446410536766,0.704
SplitFed,CIFAR10,ResNet10,41,0.5838509728527068,0.80596,0.8603882367610931,0.706
SplitFed,CIFAR10,ResNet10,42,0.5792755196332933,0.8096800000000001,0.8119351828098297,0.716
SplitFed,CIFAR10,ResNet10,43,0.5712281955718993,0.8142,0.7498490533828736,0.738
SplitFed,CIFAR10,ResNet10,44,0.5526325371408464,0.81492,0.8565428748130798,0.713
SplitFed,CIFAR10,ResNet10,45,0.545395851175785,0.82124,0.8038992210626602,0.719
SplitFed,CIFAR10,ResNet10,46,0.5377932348895074,0.8238,0.8077051253318787,0.729
SplitFed,CIFAR10,ResNet10,47,0.5532237239480019,0.81792,0.8002040855884552,0.723
SplitFed,CIFAR10,ResNet10,48,0.5479855360889435,0.8190400000000001,0.7311690462827682,0.749
SplitFed,CIFAR10,ResNet10,49,0.5226587073373793,0.8283200000000001,0.7254719874858856,0.743
SplitFed,CIFAR10,ResNet10,50,0.525479562151432,0.8266399999999999,0.7724599397182464,0.728
