method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy
SplitFed,CIFAR10,ResNet10,1,2.028673564529419,0.2485,2.0252577489852905,0.2297
SplitFed,CIFAR10,ResNet10,2,1.7946925291061402,0.3409,1.6161906675338744,0.4027
SplitFed,CIFAR10,ResNet10,3,1.6749237100601195,0.3857,1.5176327991485596,0.4408
SplitFed,CIFAR10,ResNet10,4,1.5927656023025514,0.412,1.4519934476852416,0.4658
SplitFed,CIFAR10,ResNet10,5,1.5441327611923217,0.4358,1.398836743927002,0.4822
SplitFed,CIFAR10,ResNet10,6,1.4967398962020875,0.4544,1.3731090526580811,0.4941
SplitFed,CIFAR10,ResNet10,7,1.461125535583496,0.4692,1.3497776657104492,0.5062
SplitFed,CIFAR10,ResNet10,8,1.4195979429244996,0.4841,1.3010591775894165,0.5243
SplitFed,CIFAR10,ResNet10,9,1.3902180171966552,0.4938,1.2628401132583618,0.5421
SplitFed,CIFAR10,ResNet10,10,1.3607427149772644,0.5068,1.2452859540939332,0.5483
