method,dataset,model,round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,fit_failures,fit_param_down_mb,fit_param_up_mb,fit_param_total_comm_mb,split_train_smashed_forward_mb,split_train_smashed_backward_mb,split_train_label_mb,split_train_total_comm_mb,fit_total_comm_mb,client_train_time_mean_sec,client_train_time_max_sec,fit_total_time_mean_sec,fit_total_time_max_sec,fit_wall_time_sec,num_eval_clients,eval_failures,eval_param_down_mb,eval_param_up_mb,eval_param_total_comm_mb,split_eval_smashed_forward_mb,split_eval_label_mb,split_eval_total_comm_mb,eval_total_comm_mb,client_eval_time_mean_sec,client_eval_time_max_sec,eval_total_time_mean_sec,eval_total_time_max_sec,eval_wall_time_sec,round_param_comm_mb,round_splitfed_comm_mb,round_total_comm_mb,cumulative_total_comm_mb,round_wall_time_sec,cumulative_round_wall_time_sec
SplitFed,CIFAR10,ResNet10,1,1.525229335670471,0.440588,1.367121436214447,0.5058,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.729831525182815,11.319254333968274,10.74218919359846,11.33382875204552,143.0709417180624,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2708668162114918,0.3704423090675846,0.2708668162114918,0.3704423090675846,4.797999281436205e-05,561.7934417724609,128961.98364257812,129523.7770843506,129523.7770843506,146.40705571509898,146.40705571509898
SplitFed,CIFAR10,ResNet10,2,1.1868538871688843,0.573424,1.0172559180736542,0.6383,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.656742962694262,10.95545415894594,10.667613047070336,10.965717823943123,107.67170171800537,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.270594853721559,0.3424985619494691,0.270594853721559,0.3424985619494691,5.221005994826555e-05,561.7934417724609,128961.98364257812,129523.7770843506,259047.5541687012,110.99526456103196,257.4023202761309
SplitFed,CIFAR10,ResNet10,3,0.99057626445961,0.6482400000000001,0.8718798845291138,0.695,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.5457420855877,10.99160721397493,10.555813416687306,11.001785258995367,106.47932070598472,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2584196664160118,0.467164340079762,0.2584196664160118,0.467164340079762,4.75799897685647e-05,561.7934417724609,128961.98364257812,129523.7770843506,388571.33125305176,109.71515464701224,367.1174749231432
SplitFed,CIFAR10,ResNet10,4,0.8627623120832445,0.6965439999999999,0.7756866470813751,0.728,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.486478359787723,10.75240049092099,10.496775791095567,10.764433065080084,105.89346263394692,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2530493668280542,0.3802432890515774,0.2530493668280542,0.3802432890515774,4.197994712740183e-05,561.7934417724609,128961.98364257812,129523.7770843506,518095.1083374024,109.0244865209097,476.14196144405287
SplitFed,CIFAR10,ResNet10,5,0.7659066164798737,0.7317,0.7070717253684997,0.7569,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.416601126396564,10.76524777605664,10.42726682049688,10.774926091078669,105.24812052492052,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2483033759985119,0.3231810940196737,0.2483033759985119,0.3231810940196737,4.657008685171604e-05,561.7934417724609,128961.98364257812,129523.7770843506,647618.8854217529,108.28044676792342,584.4224082119763
SplitFed,CIFAR10,ResNet10,6,0.6923135482053757,0.759708,0.6600615507364274,0.7733,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.43285838967422,10.617428045952693,10.443096435780172,10.627329220995309,105.27669014898127,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2432245902018621,0.2846555340802297,0.2432245902018621,0.2846555340802297,5.638005677610636e-05,561.7934417724609,128961.98364257812,129523.7770843506,777142.6625061035,108.33314495300874,692.755553164985
SplitFed,CIFAR10,ResNet10,7,0.6343850673837662,0.7799280000000001,0.6093581738233567,0.7885,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.371620002610143,10.818147388054058,10.382301785435994,10.830899462103844,104.70673082896974,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2380694478750228,0.2800267559941858,0.2380694478750228,0.2800267559941858,4.578998778015375e-05,561.7934417724609,128961.98364257812,129523.7770843506,906666.439590454,107.7577061059419,800.5132592709269
SplitFed,CIFAR10,ResNet10,8,0.5817880538043976,0.7991720000000001,0.5859624438047409,0.8004,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.418182915600482,10.685281655984,10.428243210294749,10.695108641055413,105.13860906800257,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.243255241587758,0.2729407140286639,0.243255241587758,0.2729407140286639,4.6200002543628216e-05,561.7934417724609,128961.98364257812,129523.7770843506,1036190.2166748048,108.17909477592912,908.692354046856
SplitFed,CIFAR10,ResNet10,9,0.5449498258123397,0.81218,0.5773555752038956,0.8099,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.51882356919814,11.072203974006698,10.529572440881749,11.08196504798252,106.24289625696838,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2512066086987033,0.3216582449385896,0.2512066086987033,0.3216582449385896,4.461000207811594e-05,561.7934417724609,128961.98364257812,129523.7770843506,1165713.9937591553,109.36497225798666,1018.0573263048428
SplitFed,CIFAR10,ResNet10,10,0.5074193311729431,0.8241320000000001,0.546374901008606,0.8175,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.505979593005032,10.767948578926736,10.518928469403182,10.778665203019044,106.2444664509967,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.255513127008453,0.3166964389383793,0.255513127008453,0.3166964389383793,3.827991895377636e-05,561.7934417724609,128961.98364257812,129523.7770843506,1295237.770843506,109.37093042698687,1127.4282567318296
SplitFed,CIFAR10,ResNet10,11,0.4785587693128586,0.834544,0.5207922511100769,0.8266,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.482828340912238,10.896796986926349,10.493489067594057,10.906360393972136,105.8780494859675,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2318685953156091,0.2653423129813745,0.2318685953156091,0.2653423129813745,4.6200002543628216e-05,561.7934417724609,128961.98364257812,129523.7770843506,1424761.5479278564,108.90578277304304,1236.3340395048726
SplitFed,CIFAR10,ResNet10,12,0.4475717532989978,0.8452160000000001,0.5118592912197113,0.8348,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.34870632942766,10.52135757904034,10.359896990307607,10.54034803598188,104.4943569310708,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2486908002174459,0.3300358830019831,0.2486908002174459,0.3300358830019831,4.536006599664688e-05,561.7934417724609,128961.98364257812,129523.7770843506,1554285.325012207,107.64734753407538,1343.981387038948
SplitFed,CIFAR10,ResNet10,13,0.4257730504846572,0.8528999999999999,0.4976891221284866,0.8365,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.22347139158519,10.40287058497779,10.233648866508156,10.412821517093109,103.19337177299894,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2669603338930756,0.4031590069644153,0.2669603338930756,0.4031590069644153,5.1410053856670856e-05,561.7934417724609,128961.98364257812,129523.7770843506,1683809.1020965576,106.44374791695736,1450.4251349559054
SplitFed,CIFAR10,ResNet10,14,0.4038218028349875,0.8603719999999998,0.4744237083673477,0.8465,10,0,187.2644805908203,187.2644805908203,374.5289611816406,63200.0,63200.0,1.9073486328125,126401.9073486328,126776.43630981444,10.47347790863132,10.91635535203386,10.483695874374826,10.925334476982243,105.73674796102569,10,0,187.2644805908203,0.0,187.2644805908203,2560.0,0.0762939453125,2560.0762939453125,2747.340774536133,0.2537480200990103,0.2956691839499399,0.2537480200990103,0.2956691839499399,5.280005279928446e-05,561.7934417724609,128961.98364257812,129523.7770843506,1813332.879180908,108.8753218849888,1559.3004568408942
