========================================
JOB:       12001388
TASK:      0
ALGORITHM: fedavg
PARTITION: iid
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.3377 train_acc=0.1130 test_loss=2.2448 test_acc=0.1801
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.2213 train_acc=0.1702 test_loss=2.1482 test_acc=0.2030
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.1505 train_acc=0.2030 test_loss=2.0730 test_acc=0.1951
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=2.0684 train_acc=0.2262 test_loss=2.0082 test_acc=0.2248
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=1.9976 train_acc=0.2416 test_loss=1.9303 test_acc=0.2617
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.9679 train_acc=0.2570 test_loss=1.8936 test_acc=0.2754
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.9350 train_acc=0.2592 test_loss=1.8466 test_acc=0.2926
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.9016 train_acc=0.2884 test_loss=1.8510 test_acc=0.2966
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.8416 train_acc=0.3158 test_loss=1.7546 test_acc=0.3361
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.8439 train_acc=0.3046 test_loss=1.7780 test_acc=0.3127
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.7978 train_acc=0.3086 test_loss=1.6850 test_acc=0.3680
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.7982 train_acc=0.3244 test_loss=1.7406 test_acc=0.3237
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.7504 train_acc=0.3332 test_loss=1.6616 test_acc=0.3740
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.7234 train_acc=0.3506 test_loss=1.6429 test_acc=0.3814
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.7285 train_acc=0.3444 test_loss=1.6344 test_acc=0.3824
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.7106 train_acc=0.3644 test_loss=1.7064 test_acc=0.3763
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.6890 train_acc=0.3586 test_loss=1.6041 test_acc=0.4021
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
Round 18 | train_loss=1.6868 train_acc=0.3642 test_loss=1.5611 test_acc=0.4178
Round 19 | selected=[52, 47, 4, 89, 94, 56, 17, 16, 24, 84]
Round 19 | train_loss=1.6719 train_acc=0.3732 test_loss=1.5723 test_acc=0.4070
Round 20 | selected=[49, 45, 20, 2, 76, 81, 33, 83, 10, 30]
Round 20 | train_loss=1.6490 train_acc=0.3700 test_loss=1.5882 test_acc=0.4079
Round 21 | selected=[98, 15, 22, 0, 11, 6, 3, 88, 86, 81]
Round 21 | train_loss=1.6679 train_acc=0.3790 test_loss=1.5517 test_acc=0.4199
Round 22 | selected=[48, 92, 30, 72, 47, 93, 42, 14, 91, 28]
Round 22 | train_loss=1.6006 train_acc=0.3928 test_loss=1.5296 test_acc=0.4251
Round 23 | selected=[86, 65, 85, 46, 19, 72, 55, 80, 40, 26]
Round 23 | train_loss=1.6131 train_acc=0.3944 test_loss=1.5347 test_acc=0.4246
Round 24 | selected=[91, 65, 7, 84, 49, 12, 47, 36, 28, 31]
Round 24 | train_loss=1.5961 train_acc=0.4088 test_loss=1.4801 test_acc=0.4472
Round 25 | selected=[13, 78, 9, 41, 0, 68, 72, 96, 95, 58]
Round 25 | train_loss=1.5931 train_acc=0.3988 test_loss=1.4936 test_acc=0.4398
Round 26 | selected=[71, 77, 46, 80, 24, 78, 27, 10, 62, 1]
Round 26 | train_loss=1.5769 train_acc=0.4140 test_loss=1.4694 test_acc=0.4526
Round 27 | selected=[26, 63, 86, 35, 40, 96, 37, 95, 88, 11]
