========================================
JOB:       12001389
TASK:      1
ALGORITHM: fedavg
PARTITION: alpha1
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100 80GB PCIe
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.1072 train_acc=0.2746 test_loss=2.2971 test_acc=0.1344
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.0285 train_acc=0.3340 test_loss=2.3352 test_acc=0.1847
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.0287 train_acc=0.3286 test_loss=2.2857 test_acc=0.1839
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.8714 train_acc=0.3602 test_loss=2.3385 test_acc=0.2043
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=2.0098 train_acc=0.3676 test_loss=2.0942 test_acc=0.2324
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.7525 train_acc=0.4080 test_loss=2.1293 test_acc=0.2444
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.8819 train_acc=0.3466 test_loss=2.0617 test_acc=0.2651
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.7824 train_acc=0.3954 test_loss=2.3055 test_acc=0.2014
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.7719 train_acc=0.3756 test_loss=2.1625 test_acc=0.2376
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.7946 train_acc=0.4182 test_loss=2.1351 test_acc=0.2595
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.7372 train_acc=0.4206 test_loss=1.9409 test_acc=0.2725
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.6461 train_acc=0.4090 test_loss=1.9580 test_acc=0.2789
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.7590 train_acc=0.3776 test_loss=1.8042 test_acc=0.3349
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
