========================================
JOB:       12002562
TASK:      12
ALGORITHM: fedadam
PARTITION: iid
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.3377 train_acc=0.1122 test_loss=5.9452 test_acc=0.1327
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.2097 train_acc=0.2084 test_loss=2.2928 test_acc=0.1638
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.0447 train_acc=0.2530 test_loss=2.3239 test_acc=0.2668
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.9187 train_acc=0.2948 test_loss=2.6958 test_acc=0.2695
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=1.8364 train_acc=0.3160 test_loss=1.7569 test_acc=0.3697
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.7514 train_acc=0.3454 test_loss=1.7872 test_acc=0.3332
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.7268 train_acc=0.3510 test_loss=1.7032 test_acc=0.3852
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.6979 train_acc=0.3688 test_loss=1.8155 test_acc=0.3988
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.6368 train_acc=0.3960 test_loss=1.8284 test_acc=0.3896
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.6192 train_acc=0.3944 test_loss=1.5726 test_acc=0.4278
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.5577 train_acc=0.4136 test_loss=1.5259 test_acc=0.4328
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.5689 train_acc=0.4242 test_loss=1.5236 test_acc=0.4374
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
