========================================
JOB:       12002564
TASK:      13
ALGORITHM: fedadam
PARTITION: alpha1
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-16GB
Round 0 | test_loss=3.2141 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.1081 train_acc=0.2744 test_loss=4.7331 test_acc=0.1009
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=1.9569 train_acc=0.3734 test_loss=2.5174 test_acc=0.1558
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=1.8912 train_acc=0.3880 test_loss=2.0868 test_acc=0.2556
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.6580 train_acc=0.4334 test_loss=1.9880 test_acc=0.2895
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=1.7608 train_acc=0.4140 test_loss=2.0581 test_acc=0.2967
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.5788 train_acc=0.4626 test_loss=1.7502 test_acc=0.3580
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.6097 train_acc=0.4364 test_loss=1.7828 test_acc=0.3621
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.5197 train_acc=0.4772 test_loss=1.8991 test_acc=0.3352
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.5215 train_acc=0.4728 test_loss=1.6186 test_acc=0.4096
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.4027 train_acc=0.5240 test_loss=1.5852 test_acc=0.4171
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.3944 train_acc=0.5150 test_loss=1.4870 test_acc=0.4417
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.4385 train_acc=0.4904 test_loss=1.5347 test_acc=0.4317
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.4628 train_acc=0.4880 test_loss=1.6905 test_acc=0.4029
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.4214 train_acc=0.5002 test_loss=1.7476 test_acc=0.3930
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.3788 train_acc=0.5206 test_loss=1.3945 test_acc=0.4917
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.2131 train_acc=0.5786 test_loss=1.4012 test_acc=0.4967
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.3212 train_acc=0.5598 test_loss=1.4880 test_acc=0.4685
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
