========================================
JOB:       12001387
TASK:      15
ALGORITHM: fedadam
PARTITION: alpha01
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=1.2542 train_acc=0.5838 test_loss=3.2533 test_acc=0.1132
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=1.3189 train_acc=0.6252 test_loss=2.6981 test_acc=0.1098
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=1.3522 train_acc=0.6146 test_loss=2.2675 test_acc=0.1882
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.1484 train_acc=0.6802 test_loss=3.8932 test_acc=0.1369
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=1.2822 train_acc=0.5926 test_loss=2.1065 test_acc=0.2347
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.0110 train_acc=0.7102 test_loss=2.0554 test_acc=0.2366
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.1169 train_acc=0.6472 test_loss=2.0325 test_acc=0.2767
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.1616 train_acc=0.6340 test_loss=2.3868 test_acc=0.2404
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=0.9627 train_acc=0.7272 test_loss=2.3892 test_acc=0.2442
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=0.8652 train_acc=0.7528 test_loss=1.9561 test_acc=0.3009
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=0.9399 train_acc=0.7152 test_loss=1.8602 test_acc=0.3315
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.0328 train_acc=0.6718 test_loss=1.8283 test_acc=0.3248
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.0211 train_acc=0.6958 test_loss=1.7971 test_acc=0.3409
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.0045 train_acc=0.6780 test_loss=1.8199 test_acc=0.3406
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.0944 train_acc=0.6758 test_loss=1.8413 test_acc=0.3401
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.0599 train_acc=0.7230 test_loss=1.8479 test_acc=0.3464
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=0.9396 train_acc=0.7444 test_loss=1.8304 test_acc=0.3490
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
Round 18 | train_loss=0.9904 train_acc=0.7176 test_loss=1.8217 test_acc=0.3312
Round 19 | selected=[52, 47, 4, 89, 94, 56, 17, 16, 24, 84]
Round 19 | train_loss=1.1592 train_acc=0.6396 test_loss=1.6895 test_acc=0.3589
Round 20 | selected=[49, 45, 20, 2, 76, 81, 33, 83, 10, 30]
Round 20 | train_loss=1.1203 train_acc=0.6434 test_loss=1.6343 test_acc=0.3937
Round 21 | selected=[98, 15, 22, 0, 11, 6, 3, 88, 86, 81]
Round 21 | train_loss=1.0103 train_acc=0.6808 test_loss=1.6730 test_acc=0.3883
Round 22 | selected=[48, 92, 30, 72, 47, 93, 42, 14, 91, 28]
Round 22 | train_loss=0.9240 train_acc=0.7230 test_loss=1.6884 test_acc=0.3848
Round 23 | selected=[86, 65, 85, 46, 19, 72, 55, 80, 40, 26]
Round 23 | train_loss=0.9412 train_acc=0.7142 test_loss=1.6918 test_acc=0.3818
Round 24 | selected=[91, 65, 7, 84, 49, 12, 47, 36, 28, 31]
Round 24 | train_loss=1.0204 train_acc=0.7176 test_loss=1.6934 test_acc=0.3797
Round 25 | selected=[13, 78, 9, 41, 0, 68, 72, 96, 95, 58]
Round 25 | train_loss=1.0048 train_acc=0.6958 test_loss=1.6233 test_acc=0.4030
Round 26 | selected=[71, 77, 46, 80, 24, 78, 27, 10, 62, 1]
Round 26 | train_loss=1.0314 train_acc=0.6738 test_loss=1.5485 test_acc=0.4317
Round 27 | selected=[26, 63, 86, 35, 40, 96, 37, 95, 88, 11]
Round 27 | train_loss=0.9258 train_acc=0.6976 test_loss=1.5122 test_acc=0.4406
Round 28 | selected=[35, 45, 88, 82, 6, 74, 57, 19, 9, 14]
Round 28 | train_loss=1.0145 train_acc=0.6986 test_loss=1.5285 test_acc=0.4372
Round 29 | selected=[2, 70, 93, 43, 11, 53, 14, 52, 5, 26]
Round 29 | train_loss=0.8609 train_acc=0.7444 test_loss=1.5599 test_acc=0.4271
Round 30 | selected=[92, 29, 98, 53, 70, 77, 84, 76, 47, 35]
Round 30 | train_loss=0.8191 train_acc=0.7456 test_loss=1.5458 test_acc=0.4357
Round 31 | selected=[4, 38, 89, 35, 0, 26, 88, 10, 51, 86]
Round 31 | train_loss=1.0673 train_acc=0.6592 test_loss=1.5333 test_acc=0.4465
Round 32 | selected=[22, 73, 56, 83, 93, 76, 98, 62, 30, 77]
Round 32 | train_loss=0.9744 train_acc=0.7074 test_loss=1.5281 test_acc=0.4486
Round 33 | selected=[24, 66, 36, 74, 77, 26, 62, 43, 78, 87]
Round 33 | train_loss=0.9999 train_acc=0.7100 test_loss=1.5277 test_acc=0.4492
Round 34 | selected=[69, 33, 23, 46, 36, 41, 31, 67, 17, 34]
Round 34 | train_loss=0.9971 train_acc=0.7006 test_loss=1.5412 test_acc=0.4462
Round 35 | selected=[19, 54, 46, 53, 79, 49, 89, 41, 62, 78]
Round 35 | train_loss=0.8804 train_acc=0.7458 test_loss=1.5395 test_acc=0.4449
Round 36 | selected=[12, 46, 80, 99, 59, 9, 86, 63, 91, 62]
Round 36 | train_loss=0.9176 train_acc=0.7152 test_loss=1.5037 test_acc=0.4535
Round 37 | selected=[55, 96, 73, 92, 77, 94, 42, 75, 37, 15]
Round 37 | train_loss=0.8226 train_acc=0.7568 test_loss=1.4890 test_acc=0.4633
Round 38 | selected=[72, 54, 15, 45, 11, 52, 0, 96, 51, 66]
Round 38 | train_loss=0.9122 train_acc=0.7162 test_loss=1.4986 test_acc=0.4597
Round 39 | selected=[76, 8, 93, 73, 64, 72, 68, 11, 47, 41]
Round 39 | train_loss=0.8961 train_acc=0.7222 test_loss=1.5214 test_acc=0.4466
Round 40 | selected=[51, 34, 15, 96, 30, 25, 74, 97, 69, 58]
Round 40 | train_loss=1.0220 train_acc=0.6760 test_loss=1.5142 test_acc=0.4313
Round 41 | selected=[87, 88, 46, 50, 34, 37, 74, 16, 13, 59]
Round 41 | train_loss=0.9409 train_acc=0.6910 test_loss=1.4709 test_acc=0.4381
Round 42 | selected=[3, 67, 57, 80, 59, 94, 45, 11, 54, 77]
Round 42 | train_loss=0.8425 train_acc=0.7632 test_loss=1.4397 test_acc=0.4608
Round 43 | selected=[88, 76, 1, 11, 40, 48, 71, 28, 53, 93]
Round 43 | train_loss=0.8125 train_acc=0.7610 test_loss=1.4235 test_acc=0.4803
Round 44 | selected=[2, 13, 63, 68, 92, 96, 61, 9, 97, 8]
Round 44 | train_loss=0.8942 train_acc=0.7072 test_loss=1.4248 test_acc=0.4890
Round 45 | selected=[99, 1, 0, 85, 3, 63, 27, 88, 73, 18]
Round 45 | train_loss=1.0012 train_acc=0.7044 test_loss=1.4549 test_acc=0.4775
Round 46 | selected=[22, 76, 98, 92, 5, 77, 62, 84, 11, 89]
Round 46 | train_loss=0.7548 train_acc=0.7724 test_loss=1.5617 test_acc=0.4454
Round 47 | selected=[70, 52, 50, 60, 15, 83, 46, 63, 8, 44]
Round 47 | train_loss=0.8114 train_acc=0.7606 test_loss=1.5224 test_acc=0.4351
Round 48 | selected=[21, 47, 59, 89, 0, 68, 56, 6, 5, 4]
Round 48 | train_loss=1.0015 train_acc=0.6954 test_loss=1.4355 test_acc=0.4617
Round 49 | selected=[34, 55, 75, 57, 62, 43, 24, 86, 90, 51]
Round 49 | train_loss=0.8533 train_acc=0.7440 test_loss=1.3581 test_acc=0.5146
Round 50 | selected=[23, 45, 60, 15, 69, 14, 63, 41, 50, 89]
Round 50 | train_loss=0.8950 train_acc=0.7186 test_loss=1.3595 test_acc=0.5161
Round 51 | selected=[96, 62, 8, 74, 57, 58, 41, 38, 40, 28]
Round 51 | train_loss=0.9264 train_acc=0.7150 test_loss=1.3827 test_acc=0.5121
Round 52 | selected=[9, 3, 27, 45, 38, 21, 44, 56, 35, 14]
Round 52 | train_loss=0.8566 train_acc=0.7446 test_loss=1.3873 test_acc=0.5081
Round 53 | selected=[61, 72, 31, 22, 52, 51, 41, 96, 18, 36]
Round 53 | train_loss=0.9062 train_acc=0.7276 test_loss=1.4014 test_acc=0.4936
Round 54 | selected=[67, 23, 48, 25, 38, 30, 50, 82, 45, 75]
Round 54 | train_loss=0.7791 train_acc=0.7698 test_loss=1.4555 test_acc=0.4638
Round 55 | selected=[6, 52, 30, 25, 70, 46, 16, 31, 7, 74]
Round 55 | train_loss=1.0087 train_acc=0.6734 test_loss=1.4862 test_acc=0.4471
Round 56 | selected=[94, 48, 13, 49, 62, 22, 55, 35, 11, 7]
Round 56 | train_loss=0.5808 train_acc=0.8242 test_loss=1.4247 test_acc=0.4673
Round 57 | selected=[68, 65, 20, 60, 52, 86, 74, 1, 35, 31]
Round 57 | train_loss=0.8619 train_acc=0.7134 test_loss=1.4247 test_acc=0.4745
Round 58 | selected=[44, 13, 84, 18, 49, 94, 62, 50, 78, 75]
Round 58 | train_loss=0.7153 train_acc=0.7950 test_loss=1.4108 test_acc=0.4890
Round 59 | selected=[91, 83, 4, 23, 62, 87, 17, 99, 28, 13]
Round 59 | train_loss=0.8422 train_acc=0.7440 test_loss=1.4406 test_acc=0.4731
Round 60 | selected=[81, 64, 22, 24, 79, 7, 80, 40, 54, 61]
Round 60 | train_loss=0.9082 train_acc=0.7312 test_loss=1.4436 test_acc=0.4653
Round 61 | selected=[46, 75, 68, 80, 86, 31, 51, 85, 94, 79]
Round 61 | train_loss=0.8844 train_acc=0.7416 test_loss=1.4354 test_acc=0.4739
Round 62 | selected=[79, 10, 50, 2, 30, 53, 46, 39, 49, 99]
Round 62 | train_loss=0.8572 train_acc=0.7428 test_loss=1.3851 test_acc=0.4972
Round 63 | selected=[14, 65, 59, 56, 30, 40, 2, 87, 23, 43]
Round 63 | train_loss=0.7814 train_acc=0.7702 test_loss=1.3768 test_acc=0.5014
Round 64 | selected=[73, 94, 89, 82, 98, 96, 45, 51, 57, 63]
Round 64 | train_loss=0.8616 train_acc=0.7404 test_loss=1.3818 test_acc=0.4900
Round 65 | selected=[46, 64, 93, 53, 41, 61, 75, 96, 98, 67]
Round 65 | train_loss=0.7769 train_acc=0.7512 test_loss=1.3452 test_acc=0.5019
Round 66 | selected=[75, 98, 31, 3, 0, 48, 11, 27, 94, 87]
Round 66 | train_loss=0.7742 train_acc=0.7652 test_loss=1.3412 test_acc=0.5096
Round 67 | selected=[25, 52, 51, 7, 90, 76, 82, 44, 59, 20]
Round 67 | train_loss=0.8229 train_acc=0.7596 test_loss=1.3291 test_acc=0.5183
Round 68 | selected=[39, 0, 73, 66, 72, 70, 83, 61, 93, 98]
Round 68 | train_loss=0.8321 train_acc=0.7542 test_loss=1.2455 test_acc=0.5453
Round 69 | selected=[40, 48, 88, 99, 65, 0, 2, 24, 75, 51]
Round 69 | train_loss=0.7107 train_acc=0.7920 test_loss=1.2419 test_acc=0.5513
Round 70 | selected=[68, 39, 11, 31, 84, 71, 57, 43, 28, 79]
Round 70 | train_loss=0.7337 train_acc=0.7878 test_loss=1.3025 test_acc=0.5386
Round 71 | selected=[29, 99, 39, 75, 61, 76, 50, 40, 66, 95]
Round 71 | train_loss=0.7471 train_acc=0.7812 test_loss=1.3422 test_acc=0.5336
Round 72 | selected=[21, 86, 10, 33, 48, 5, 36, 13, 54, 46]
Round 72 | train_loss=0.8477 train_acc=0.7206 test_loss=1.3260 test_acc=0.5393
Round 73 | selected=[75, 32, 87, 86, 95, 81, 58, 94, 42, 40]
Round 73 | train_loss=0.7471 train_acc=0.7712 test_loss=1.3028 test_acc=0.5375
Round 74 | selected=[28, 21, 58, 50, 61, 81, 94, 84, 29, 72]
Round 74 | train_loss=0.7336 train_acc=0.7878 test_loss=1.3490 test_acc=0.4937
Round 75 | selected=[80, 31, 77, 0, 5, 53, 57, 78, 26, 24]
