========================================
JOB:       12001391
TASK:      3
ALGORITHM: fedavg
PARTITION: alpha01
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA L40S
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=1.2545 train_acc=0.5830 test_loss=2.6600 test_acc=0.1100
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=1.7562 train_acc=0.5804 test_loss=3.9701 test_acc=0.1344
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.4658 train_acc=0.5442 test_loss=8.1678 test_acc=0.1000
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.9722 train_acc=0.5820 test_loss=9.7716 test_acc=0.1000
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=2.8435 train_acc=0.4784 test_loss=6.9915 test_acc=0.0942
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.5251 train_acc=0.6460 test_loss=3.9328 test_acc=0.1335
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.7255 train_acc=0.5186 test_loss=3.8722 test_acc=0.1578
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.7337 train_acc=0.5248 test_loss=3.4054 test_acc=0.1000
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.5869 train_acc=0.6018 test_loss=3.3909 test_acc=0.1076
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.5205 train_acc=0.5594 test_loss=2.6077 test_acc=0.1778
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.3028 train_acc=0.6164 test_loss=2.4233 test_acc=0.1733
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.2198 train_acc=0.6010 test_loss=2.3855 test_acc=0.1552
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.3481 train_acc=0.5698 test_loss=2.7311 test_acc=0.1375
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.4382 train_acc=0.5176 test_loss=2.6074 test_acc=0.1176
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.2905 train_acc=0.6306 test_loss=2.2155 test_acc=0.1906
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.0753 train_acc=0.7032 test_loss=2.8404 test_acc=0.1448
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.3380 train_acc=0.5890 test_loss=2.4581 test_acc=0.1797
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
Round 18 | train_loss=1.2206 train_acc=0.6548 test_loss=2.2623 test_acc=0.2171
Round 19 | selected=[52, 47, 4, 89, 94, 56, 17, 16, 24, 84]
Round 19 | train_loss=1.5268 train_acc=0.4980 test_loss=2.5045 test_acc=0.1278
Round 20 | selected=[49, 45, 20, 2, 76, 81, 33, 83, 10, 30]
Round 20 | train_loss=1.5011 train_acc=0.4954 test_loss=3.3548 test_acc=0.1332
Round 21 | selected=[98, 15, 22, 0, 11, 6, 3, 88, 86, 81]
Round 21 | train_loss=1.6140 train_acc=0.5100 test_loss=2.6170 test_acc=0.2233
Round 22 | selected=[48, 92, 30, 72, 47, 93, 42, 14, 91, 28]
Round 22 | train_loss=1.1823 train_acc=0.6806 test_loss=2.5340 test_acc=0.1589
Round 23 | selected=[86, 65, 85, 46, 19, 72, 55, 80, 40, 26]
Round 23 | train_loss=1.4003 train_acc=0.5344 test_loss=2.5872 test_acc=0.1471
Round 24 | selected=[91, 65, 7, 84, 49, 12, 47, 36, 28, 31]
Round 24 | train_loss=1.2732 train_acc=0.5970 test_loss=2.2734 test_acc=0.2561
Round 25 | selected=[13, 78, 9, 41, 0, 68, 72, 96, 95, 58]
Round 25 | train_loss=1.4272 train_acc=0.5636 test_loss=2.1473 test_acc=0.2315
Round 26 | selected=[71, 77, 46, 80, 24, 78, 27, 10, 62, 1]
Round 26 | train_loss=1.4230 train_acc=0.5098 test_loss=2.3234 test_acc=0.2381
Round 27 | selected=[26, 63, 86, 35, 40, 96, 37, 95, 88, 11]
Round 27 | train_loss=1.3594 train_acc=0.5610 test_loss=2.1326 test_acc=0.2151
Round 28 | selected=[35, 45, 88, 82, 6, 74, 57, 19, 9, 14]
