========================================
JOB:       12001648
TASK:      4
ALGORITHM: fedprox
PARTITION: iid
SEED:      42
GPU:       0
========================================
Device: cpu
Round 0 | test_loss=3.2141 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.3393 train_acc=0.1140 test_loss=2.2453 test_acc=0.1870
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.2252 train_acc=0.1658 test_loss=2.1535 test_acc=0.1991
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.1514 train_acc=0.2042 test_loss=2.0732 test_acc=0.1935
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=2.0757 train_acc=0.2222 test_loss=2.0036 test_acc=0.2303
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=2.0058 train_acc=0.2392 test_loss=1.9427 test_acc=0.2561
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.9755 train_acc=0.2558 test_loss=1.8964 test_acc=0.2745
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.9413 train_acc=0.2602 test_loss=1.8517 test_acc=0.2924
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.9085 train_acc=0.2830 test_loss=1.8551 test_acc=0.2964
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.8486 train_acc=0.3082 test_loss=1.7601 test_acc=0.3426
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.8508 train_acc=0.3058 test_loss=1.7877 test_acc=0.3212
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.8083 train_acc=0.3156 test_loss=1.7200 test_acc=0.3478
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.7995 train_acc=0.3164 test_loss=1.7505 test_acc=0.3236
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.7572 train_acc=0.3356 test_loss=1.6681 test_acc=0.3735
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.7312 train_acc=0.3486 test_loss=1.6386 test_acc=0.3869
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.7375 train_acc=0.3434 test_loss=1.7490 test_acc=0.3565
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.7174 train_acc=0.3538 test_loss=1.6843 test_acc=0.3793
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.6893 train_acc=0.3644 test_loss=1.6070 test_acc=0.3961
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
Round 18 | train_loss=1.6918 train_acc=0.3604 test_loss=1.5830 test_acc=0.4097
Round 19 | selected=[52, 47, 4, 89, 94, 56, 17, 16, 24, 84]
Round 19 | train_loss=1.6739 train_acc=0.3686 test_loss=1.5611 test_acc=0.4118
Round 20 | selected=[49, 45, 20, 2, 76, 81, 33, 83, 10, 30]
Round 20 | train_loss=1.6572 train_acc=0.3658 test_loss=1.5754 test_acc=0.4136
Round 21 | selected=[98, 15, 22, 0, 11, 6, 3, 88, 86, 81]
Round 21 | train_loss=1.6696 train_acc=0.3712 test_loss=1.5386 test_acc=0.4293
Round 22 | selected=[48, 92, 30, 72, 47, 93, 42, 14, 91, 28]
Round 22 | train_loss=1.6095 train_acc=0.3892 test_loss=1.5314 test_acc=0.4277
Round 23 | selected=[86, 65, 85, 46, 19, 72, 55, 80, 40, 26]
Round 23 | train_loss=1.6145 train_acc=0.3944 test_loss=1.5136 test_acc=0.4307
Round 24 | selected=[91, 65, 7, 84, 49, 12, 47, 36, 28, 31]
Round 24 | train_loss=1.6004 train_acc=0.4024 test_loss=1.4981 test_acc=0.4413
Round 25 | selected=[13, 78, 9, 41, 0, 68, 72, 96, 95, 58]
Round 25 | train_loss=1.5957 train_acc=0.3928 test_loss=1.4821 test_acc=0.4444
Round 26 | selected=[71, 77, 46, 80, 24, 78, 27, 10, 62, 1]
Round 26 | train_loss=1.5830 train_acc=0.4164 test_loss=1.4616 test_acc=0.4522
Round 27 | selected=[26, 63, 86, 35, 40, 96, 37, 95, 88, 11]
Round 27 | train_loss=1.5810 train_acc=0.4086 test_loss=1.4529 test_acc=0.4553
Round 28 | selected=[35, 45, 88, 82, 6, 74, 57, 19, 9, 14]
Round 28 | train_loss=1.5679 train_acc=0.4118 test_loss=1.4517 test_acc=0.4541
Round 29 | selected=[2, 70, 93, 43, 11, 53, 14, 52, 5, 26]
Round 29 | train_loss=1.5825 train_acc=0.4102 test_loss=1.4572 test_acc=0.4626
Round 30 | selected=[92, 29, 98, 53, 70, 77, 84, 76, 47, 35]
Round 30 | train_loss=1.5567 train_acc=0.4202 test_loss=1.4392 test_acc=0.4614
Round 31 | selected=[4, 38, 89, 35, 0, 26, 88, 10, 51, 86]
Round 31 | train_loss=1.5569 train_acc=0.4236 test_loss=1.4327 test_acc=0.4724
Round 32 | selected=[22, 73, 56, 83, 93, 76, 98, 62, 30, 77]
Round 32 | train_loss=1.5315 train_acc=0.4328 test_loss=1.4389 test_acc=0.4642
Round 33 | selected=[24, 66, 36, 74, 77, 26, 62, 43, 78, 87]
Round 33 | train_loss=1.5204 train_acc=0.4268 test_loss=1.4192 test_acc=0.4702
Round 34 | selected=[69, 33, 23, 46, 36, 41, 31, 67, 17, 34]
Round 34 | train_loss=1.5081 train_acc=0.4374 test_loss=1.3971 test_acc=0.4844
Round 35 | selected=[19, 54, 46, 53, 79, 49, 89, 41, 62, 78]
Round 35 | train_loss=1.4857 train_acc=0.4430 test_loss=1.3714 test_acc=0.4910
Round 36 | selected=[12, 46, 80, 99, 59, 9, 86, 63, 91, 62]
Round 36 | train_loss=1.4812 train_acc=0.4452 test_loss=1.4088 test_acc=0.4782
Round 37 | selected=[55, 96, 73, 92, 77, 94, 42, 75, 37, 15]
Round 37 | train_loss=1.5307 train_acc=0.4434 test_loss=1.4506 test_acc=0.4599
Round 38 | selected=[72, 54, 15, 45, 11, 52, 0, 96, 51, 66]
Round 38 | train_loss=1.4886 train_acc=0.4484 test_loss=1.3504 test_acc=0.4978
Round 39 | selected=[76, 8, 93, 73, 64, 72, 68, 11, 47, 41]
Round 39 | train_loss=1.4803 train_acc=0.4602 test_loss=1.3564 test_acc=0.4925
Round 40 | selected=[51, 34, 15, 96, 30, 25, 74, 97, 69, 58]
Round 40 | train_loss=1.4756 train_acc=0.4572 test_loss=1.3866 test_acc=0.4877
Round 41 | selected=[87, 88, 46, 50, 34, 37, 74, 16, 13, 59]
Round 41 | train_loss=1.4508 train_acc=0.4608 test_loss=1.3362 test_acc=0.5045
Round 42 | selected=[3, 67, 57, 80, 59, 94, 45, 11, 54, 77]
Round 42 | train_loss=1.4390 train_acc=0.4714 test_loss=1.4440 test_acc=0.4784
Round 43 | selected=[88, 76, 1, 11, 40, 48, 71, 28, 53, 93]
Round 43 | train_loss=1.4596 train_acc=0.4594 test_loss=1.3444 test_acc=0.5062
Round 44 | selected=[2, 13, 63, 68, 92, 96, 61, 9, 97, 8]
Round 44 | train_loss=1.4753 train_acc=0.4466 test_loss=1.3523 test_acc=0.5068
Round 45 | selected=[99, 1, 0, 85, 3, 63, 27, 88, 73, 18]
Round 45 | train_loss=1.4298 train_acc=0.4748 test_loss=1.3217 test_acc=0.5158
Round 46 | selected=[22, 76, 98, 92, 5, 77, 62, 84, 11, 89]
Round 46 | train_loss=1.4366 train_acc=0.4716 test_loss=1.3554 test_acc=0.5017
Round 47 | selected=[70, 52, 50, 60, 15, 83, 46, 63, 8, 44]
Round 47 | train_loss=1.4535 train_acc=0.4620 test_loss=1.2764 test_acc=0.5267
Round 48 | selected=[21, 47, 59, 89, 0, 68, 56, 6, 5, 4]
Round 48 | train_loss=1.4416 train_acc=0.4656 test_loss=1.3319 test_acc=0.5111
Round 49 | selected=[34, 55, 75, 57, 62, 43, 24, 86, 90, 51]
Round 49 | train_loss=1.4300 train_acc=0.4750 test_loss=1.3119 test_acc=0.5155
Round 50 | selected=[23, 45, 60, 15, 69, 14, 63, 41, 50, 89]
Round 50 | train_loss=1.4381 train_acc=0.4718 test_loss=1.2946 test_acc=0.5229
Round 51 | selected=[96, 62, 8, 74, 57, 58, 41, 38, 40, 28]
Round 51 | train_loss=1.4010 train_acc=0.4814 test_loss=1.3282 test_acc=0.5206
Round 52 | selected=[9, 3, 27, 45, 38, 21, 44, 56, 35, 14]
Round 52 | train_loss=1.3924 train_acc=0.4846 test_loss=1.2974 test_acc=0.5243
Round 53 | selected=[61, 72, 31, 22, 52, 51, 41, 96, 18, 36]
Round 53 | train_loss=1.3903 train_acc=0.4824 test_loss=1.2727 test_acc=0.5328
Round 54 | selected=[67, 23, 48, 25, 38, 30, 50, 82, 45, 75]
Round 54 | train_loss=1.3747 train_acc=0.4998 test_loss=1.2511 test_acc=0.5422
Round 55 | selected=[6, 52, 30, 25, 70, 46, 16, 31, 7, 74]
Round 55 | train_loss=1.3780 train_acc=0.4966 test_loss=1.2444 test_acc=0.5415
Round 56 | selected=[94, 48, 13, 49, 62, 22, 55, 35, 11, 7]
Round 56 | train_loss=1.3563 train_acc=0.5050 test_loss=1.3249 test_acc=0.5180
Round 57 | selected=[68, 65, 20, 60, 52, 86, 74, 1, 35, 31]
Round 57 | train_loss=1.3611 train_acc=0.4980 test_loss=1.3267 test_acc=0.5160
Round 58 | selected=[44, 13, 84, 18, 49, 94, 62, 50, 78, 75]
Round 58 | train_loss=1.3605 train_acc=0.4976 test_loss=1.2234 test_acc=0.5487
Round 59 | selected=[91, 83, 4, 23, 62, 87, 17, 99, 28, 13]
Round 59 | train_loss=1.3293 train_acc=0.5148 test_loss=1.2095 test_acc=0.5536
