========================================
JOB:       12001649
TASK:      5
ALGORITHM: fedprox
PARTITION: alpha1
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.1077 train_acc=0.2732 test_loss=2.3002 test_acc=0.1340
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.0304 train_acc=0.3322 test_loss=2.3610 test_acc=0.1874
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=2.0290 train_acc=0.3278 test_loss=2.2856 test_acc=0.1823
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.8738 train_acc=0.3588 test_loss=2.2983 test_acc=0.2068
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=2.0127 train_acc=0.3638 test_loss=2.0926 test_acc=0.2330
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.7534 train_acc=0.4060 test_loss=2.1330 test_acc=0.2418
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.8837 train_acc=0.3482 test_loss=2.0561 test_acc=0.2667
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.7818 train_acc=0.3962 test_loss=2.4038 test_acc=0.1949
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.7755 train_acc=0.3746 test_loss=2.1907 test_acc=0.2298
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.7963 train_acc=0.4142 test_loss=2.1732 test_acc=0.2452
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.7358 train_acc=0.4156 test_loss=1.9822 test_acc=0.2638
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.6482 train_acc=0.4064 test_loss=1.9466 test_acc=0.2873
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.7575 train_acc=0.3732 test_loss=1.8355 test_acc=0.3293
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.6626 train_acc=0.4156 test_loss=1.8687 test_acc=0.2817
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.6311 train_acc=0.4330 test_loss=2.0061 test_acc=0.3187
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.5784 train_acc=0.4596 test_loss=1.9953 test_acc=0.2661
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.6584 train_acc=0.4476 test_loss=2.1069 test_acc=0.2952
