========================================
JOB:       12002270
TASK:      9
ALGORITHM: fedavgm
PARTITION: alpha1
SEED:      42
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=3.2142 test_acc=0.1000
Round 1 | selected=[96, 71, 8, 60, 41, 94, 68, 9, 19, 82]
Round 1 | train_loss=2.1077 train_acc=0.2720 test_loss=2.2990 test_acc=0.1353
Round 2 | selected=[75, 39, 34, 62, 81, 17, 40, 46, 54, 88]
Round 2 | train_loss=2.0293 train_acc=0.3298 test_loss=2.3452 test_acc=0.1619
Round 3 | selected=[66, 71, 25, 44, 34, 15, 58, 89, 95, 6]
Round 3 | train_loss=1.9533 train_acc=0.3480 test_loss=2.1113 test_acc=0.2179
Round 4 | selected=[93, 40, 70, 32, 63, 68, 35, 90, 14, 86]
Round 4 | train_loss=1.8403 train_acc=0.3640 test_loss=2.3842 test_acc=0.1953
Round 5 | selected=[70, 81, 20, 62, 89, 98, 41, 15, 52, 30]
Round 5 | train_loss=2.0894 train_acc=0.3578 test_loss=2.3255 test_acc=0.2305
Round 6 | selected=[63, 26, 0, 19, 22, 13, 59, 79, 99, 78]
Round 6 | train_loss=1.7799 train_acc=0.4208 test_loss=2.3407 test_acc=0.2431
Round 7 | selected=[23, 65, 52, 3, 42, 13, 47, 46, 10, 64]
Round 7 | train_loss=1.7674 train_acc=0.3872 test_loss=2.3540 test_acc=0.2168
Round 8 | selected=[33, 56, 28, 96, 27, 73, 50, 42, 21, 2]
Round 8 | train_loss=1.7831 train_acc=0.4130 test_loss=2.6577 test_acc=0.2070
Round 9 | selected=[76, 40, 66, 48, 83, 27, 53, 98, 62, 11]
Round 9 | train_loss=1.8016 train_acc=0.4042 test_loss=3.0081 test_acc=0.2433
Round 10 | selected=[15, 88, 49, 93, 8, 67, 65, 68, 43, 70]
Round 10 | train_loss=1.7292 train_acc=0.4504 test_loss=2.7877 test_acc=0.2746
Round 11 | selected=[33, 62, 8, 11, 57, 56, 91, 96, 98, 34]
Round 11 | train_loss=1.8055 train_acc=0.4346 test_loss=2.7090 test_acc=0.2612
Round 12 | selected=[70, 26, 66, 95, 7, 9, 42, 74, 24, 44]
Round 12 | train_loss=1.7928 train_acc=0.4110 test_loss=4.0287 test_acc=0.2137
Round 13 | selected=[47, 70, 65, 43, 99, 49, 1, 16, 72, 80]
Round 13 | train_loss=1.9188 train_acc=0.4036 test_loss=2.6233 test_acc=0.3152
Round 14 | selected=[37, 64, 3, 16, 31, 14, 18, 46, 67, 72]
Round 14 | train_loss=1.8020 train_acc=0.4324 test_loss=2.8150 test_acc=0.3103
Round 15 | selected=[55, 14, 2, 48, 56, 31, 41, 40, 93, 28]
Round 15 | train_loss=1.5695 train_acc=0.4736 test_loss=1.7655 test_acc=0.3786
Round 16 | selected=[53, 44, 54, 32, 25, 85, 14, 50, 93, 77]
Round 16 | train_loss=1.4643 train_acc=0.4964 test_loss=2.7035 test_acc=0.2532
Round 17 | selected=[99, 29, 49, 12, 52, 64, 65, 11, 10, 28]
Round 17 | train_loss=1.6005 train_acc=0.4738 test_loss=2.3596 test_acc=0.2853
Round 18 | selected=[21, 83, 30, 22, 13, 89, 97, 53, 3, 36]
Round 18 | train_loss=1.9487 train_acc=0.3950 test_loss=3.0340 test_acc=0.2974
Round 19 | selected=[52, 47, 4, 89, 94, 56, 17, 16, 24, 84]
Round 19 | train_loss=1.5631 train_acc=0.4566 test_loss=2.5827 test_acc=0.3462
Round 20 | selected=[49, 45, 20, 2, 76, 81, 33, 83, 10, 30]
Round 20 | train_loss=1.8076 train_acc=0.4492 test_loss=2.1951 test_acc=0.3732
Round 21 | selected=[98, 15, 22, 0, 11, 6, 3, 88, 86, 81]
Round 21 | train_loss=1.4981 train_acc=0.5032 test_loss=2.1113 test_acc=0.3321
Round 22 | selected=[48, 92, 30, 72, 47, 93, 42, 14, 91, 28]
Round 22 | train_loss=1.6630 train_acc=0.4372 test_loss=2.6049 test_acc=0.3156
Round 23 | selected=[86, 65, 85, 46, 19, 72, 55, 80, 40, 26]
Round 23 | train_loss=1.6035 train_acc=0.4282 test_loss=2.3201 test_acc=0.3374
Round 24 | selected=[91, 65, 7, 84, 49, 12, 47, 36, 28, 31]
Round 24 | train_loss=1.5325 train_acc=0.4564 test_loss=1.8056 test_acc=0.4232
Round 25 | selected=[13, 78, 9, 41, 0, 68, 72, 96, 95, 58]
Round 25 | train_loss=1.5568 train_acc=0.4668 test_loss=1.7571 test_acc=0.4224
Round 26 | selected=[71, 77, 46, 80, 24, 78, 27, 10, 62, 1]
Round 26 | train_loss=1.5083 train_acc=0.5034 test_loss=1.6009 test_acc=0.4324
Round 27 | selected=[26, 63, 86, 35, 40, 96, 37, 95, 88, 11]
Round 27 | train_loss=1.4575 train_acc=0.5052 test_loss=1.6914 test_acc=0.3656
Round 28 | selected=[35, 45, 88, 82, 6, 74, 57, 19, 9, 14]
Round 28 | train_loss=1.4172 train_acc=0.5172 test_loss=1.8370 test_acc=0.3337
Round 29 | selected=[2, 70, 93, 43, 11, 53, 14, 52, 5, 26]
Round 29 | train_loss=1.5211 train_acc=0.4708 test_loss=1.7371 test_acc=0.4049
Round 30 | selected=[92, 29, 98, 53, 70, 77, 84, 76, 47, 35]
