========================================
JOB:       12003806
TASK:      0
ALGORITHM: fedavg
PARTITION: iid
SEED:      43
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=2.8590 test_acc=0.1084
Round 1 | selected=[45, 82, 4, 54, 60, 98, 1, 26, 37, 58]
Round 1 | train_loss=2.3489 train_acc=0.1112 test_loss=2.2693 test_acc=0.1442
Round 2 | selected=[98, 18, 76, 36, 27, 13, 88, 41, 89, 84]
Round 2 | train_loss=2.2548 train_acc=0.1526 test_loss=2.1886 test_acc=0.2042
Round 3 | selected=[49, 78, 43, 90, 96, 45, 58, 36, 69, 94]
Round 3 | train_loss=2.1770 train_acc=0.1932 test_loss=2.1134 test_acc=0.2068
Round 4 | selected=[67, 79, 53, 5, 31, 11, 59, 99, 9, 28]
Round 4 | train_loss=2.0940 train_acc=0.2256 test_loss=2.0114 test_acc=0.2539
Round 5 | selected=[52, 9, 39, 27, 68, 31, 25, 58, 3, 95]
Round 5 | train_loss=2.0552 train_acc=0.2358 test_loss=1.9596 test_acc=0.2619
Round 6 | selected=[26, 64, 42, 36, 16, 77, 7, 22, 20, 31]
Round 6 | train_loss=1.9916 train_acc=0.2508 test_loss=1.9194 test_acc=0.2635
Round 7 | selected=[12, 64, 62, 75, 73, 84, 79, 40, 32, 52]
Round 7 | train_loss=1.9412 train_acc=0.2752 test_loss=1.9426 test_acc=0.2628
Round 8 | selected=[48, 84, 78, 81, 73, 93, 51, 12, 16, 66]
Round 8 | train_loss=1.9116 train_acc=0.2760 test_loss=1.8601 test_acc=0.2940
Round 9 | selected=[59, 44, 87, 73, 64, 76, 16, 97, 39, 99]
Round 9 | train_loss=1.8657 train_acc=0.3066 test_loss=1.8083 test_acc=0.3155
Round 10 | selected=[66, 45, 67, 21, 94, 50, 49, 73, 97, 28]
Round 10 | train_loss=1.8285 train_acc=0.3076 test_loss=1.7712 test_acc=0.3369
Round 11 | selected=[71, 91, 81, 50, 27, 52, 61, 25, 63, 75]
Round 11 | train_loss=1.8002 train_acc=0.3210 test_loss=1.7402 test_acc=0.3517
Round 12 | selected=[78, 91, 66, 74, 93, 33, 92, 18, 68, 20]
Round 12 | train_loss=1.7901 train_acc=0.3252 test_loss=1.7862 test_acc=0.3363
Round 13 | selected=[84, 70, 72, 43, 26, 95, 74, 53, 98, 13]
Round 13 | train_loss=1.7633 train_acc=0.3330 test_loss=1.6560 test_acc=0.3811
Round 14 | selected=[62, 88, 39, 53, 68, 8, 45, 26, 50, 17]
Round 14 | train_loss=1.7181 train_acc=0.3438 test_loss=1.7238 test_acc=0.3591
Round 15 | selected=[81, 84, 25, 29, 3, 45, 13, 0, 44, 9]
Round 15 | train_loss=1.7348 train_acc=0.3448 test_loss=1.6476 test_acc=0.3791
Round 16 | selected=[45, 82, 93, 92, 91, 3, 83, 59, 66, 11]
Round 16 | train_loss=1.7236 train_acc=0.3424 test_loss=1.6487 test_acc=0.3897
