========================================
JOB:       12004040
TASK:      11
ALGORITHM: fedavgm
PARTITION: alpha01
SEED:      43
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=2.8590 test_acc=0.1084
Round 1 | selected=[45, 82, 4, 54, 60, 98, 1, 26, 37, 58]
Round 1 | train_loss=1.3586 train_acc=0.6116 test_loss=2.9038 test_acc=0.1000
Round 2 | selected=[98, 18, 76, 36, 27, 13, 88, 41, 89, 84]
Round 2 | train_loss=1.9216 train_acc=0.5082 test_loss=3.1506 test_acc=0.1528
Round 3 | selected=[49, 78, 43, 90, 96, 45, 58, 36, 69, 94]
Round 3 | train_loss=1.3758 train_acc=0.5862 test_loss=4.6926 test_acc=0.1178
Round 4 | selected=[67, 79, 53, 5, 31, 11, 59, 99, 9, 28]
Round 4 | train_loss=1.7581 train_acc=0.6164 test_loss=5.9483 test_acc=0.1000
Round 5 | selected=[52, 9, 39, 27, 68, 31, 25, 58, 3, 95]
Round 5 | train_loss=2.0406 train_acc=0.5336 test_loss=9.3887 test_acc=0.1697
Round 6 | selected=[26, 64, 42, 36, 16, 77, 7, 22, 20, 31]
Round 6 | train_loss=2.2909 train_acc=0.5404 test_loss=21.8561 test_acc=0.1365
Round 7 | selected=[12, 64, 62, 75, 73, 84, 79, 40, 32, 52]
Round 7 | train_loss=2.6010 train_acc=0.5402 test_loss=31.6741 test_acc=0.1383
Round 8 | selected=[48, 84, 78, 81, 73, 93, 51, 12, 16, 66]
Round 8 | train_loss=2.0021 train_acc=0.4870 test_loss=54.9357 test_acc=0.1441
Round 9 | selected=[59, 44, 87, 73, 64, 76, 16, 97, 39, 99]
Round 9 | train_loss=1.9780 train_acc=0.4414 test_loss=36.7048 test_acc=0.1332
Round 10 | selected=[66, 45, 67, 21, 94, 50, 49, 73, 97, 28]
Round 10 | train_loss=2.1649 train_acc=0.4200 test_loss=18.6777 test_acc=0.1440
Round 11 | selected=[71, 91, 81, 50, 27, 52, 61, 25, 63, 75]
Round 11 | train_loss=1.7818 train_acc=0.4484 test_loss=7.9049 test_acc=0.1166
Round 12 | selected=[78, 91, 66, 74, 93, 33, 92, 18, 68, 20]
Round 12 | train_loss=1.8132 train_acc=0.4978 test_loss=8.7230 test_acc=0.1013
Round 13 | selected=[84, 70, 72, 43, 26, 95, 74, 53, 98, 13]
