========================================
JOB:       12004241
TASK:      18
ALGORITHM: fedavg
PARTITION: alpha03
SEED:      44
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=3.0410 test_acc=0.1229
Round 1 | selected=[38, 24, 76, 63, 8, 52, 11, 60, 94, 16]
Round 1 | train_loss=1.6743 train_acc=0.4494 test_loss=2.3387 test_acc=0.1172
Round 2 | selected=[38, 88, 40, 98, 58, 91, 39, 56, 35, 96]
Round 2 | train_loss=1.8187 train_acc=0.4100 test_loss=2.6329 test_acc=0.1651
Round 3 | selected=[63, 8, 77, 16, 70, 81, 90, 68, 18, 54]
Round 3 | train_loss=2.0472 train_acc=0.4346 test_loss=4.1350 test_acc=0.1511
Round 4 | selected=[62, 58, 33, 61, 76, 14, 29, 71, 39, 27]
Round 4 | train_loss=2.5365 train_acc=0.4244 test_loss=4.0776 test_acc=0.1710
Round 5 | selected=[10, 71, 32, 79, 27, 87, 48, 53, 59, 76]
Round 5 | train_loss=2.3098 train_acc=0.4960 test_loss=3.0236 test_acc=0.1677
Round 6 | selected=[96, 43, 42, 70, 26, 67, 35, 12, 51, 55]
Round 6 | train_loss=1.7825 train_acc=0.4588 test_loss=2.7381 test_acc=0.1272
Round 7 | selected=[41, 62, 97, 46, 72, 24, 32, 30, 19, 21]
Round 7 | train_loss=1.8257 train_acc=0.4464 test_loss=2.4190 test_acc=0.1681
Round 8 | selected=[14, 39, 84, 69, 58, 11, 79, 44, 99, 86]
Round 8 | train_loss=1.7305 train_acc=0.4914 test_loss=3.2619 test_acc=0.1528
Round 9 | selected=[65, 67, 19, 15, 83, 72, 91, 25, 0, 3]
Round 9 | train_loss=1.8689 train_acc=0.4522 test_loss=2.8254 test_acc=0.2050
Round 10 | selected=[41, 79, 99, 18, 46, 7, 20, 74, 73, 33]
Round 10 | train_loss=1.8495 train_acc=0.4814 test_loss=2.9866 test_acc=0.1976
Round 11 | selected=[26, 48, 65, 63, 77, 20, 12, 81, 83, 30]
Round 11 | train_loss=1.6818 train_acc=0.5006 test_loss=2.5917 test_acc=0.1799
Round 12 | selected=[17, 12, 30, 9, 67, 97, 87, 35, 65, 14]
Round 12 | train_loss=1.7427 train_acc=0.4506 test_loss=2.3488 test_acc=0.2131
Round 13 | selected=[38, 49, 87, 82, 5, 97, 31, 93, 80, 58]
Round 13 | train_loss=1.6138 train_acc=0.4836 test_loss=2.2049 test_acc=0.2097
