========================================
JOB:       12004487
TASK:      20
ALGORITHM: fedprox
PARTITION: iid
SEED:      44
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=3.0410 test_acc=0.1229
Round 1 | selected=[38, 24, 76, 63, 8, 52, 11, 60, 94, 16]
Round 1 | train_loss=2.3219 train_acc=0.1218 test_loss=2.2364 test_acc=0.1620
Round 2 | selected=[38, 88, 40, 98, 58, 91, 39, 56, 35, 96]
Round 2 | train_loss=2.1906 train_acc=0.1732 test_loss=2.1046 test_acc=0.2151
Round 3 | selected=[63, 8, 77, 16, 70, 81, 90, 68, 18, 54]
Round 3 | train_loss=2.1103 train_acc=0.2128 test_loss=2.0355 test_acc=0.2325
Round 4 | selected=[62, 58, 33, 61, 76, 14, 29, 71, 39, 27]
Round 4 | train_loss=2.0702 train_acc=0.2336 test_loss=1.9794 test_acc=0.2713
Round 5 | selected=[10, 71, 32, 79, 27, 87, 48, 53, 59, 76]
Round 5 | train_loss=2.0184 train_acc=0.2386 test_loss=1.9242 test_acc=0.2701
Round 6 | selected=[96, 43, 42, 70, 26, 67, 35, 12, 51, 55]
Round 6 | train_loss=1.9676 train_acc=0.2536 test_loss=1.9062 test_acc=0.2779
Round 7 | selected=[41, 62, 97, 46, 72, 24, 32, 30, 19, 21]
Round 7 | train_loss=1.9155 train_acc=0.2840 test_loss=1.8316 test_acc=0.3118
Round 8 | selected=[14, 39, 84, 69, 58, 11, 79, 44, 99, 86]
Round 8 | train_loss=1.8809 train_acc=0.2926 test_loss=1.8079 test_acc=0.3287
Round 9 | selected=[65, 67, 19, 15, 83, 72, 91, 25, 0, 3]
Round 9 | train_loss=1.8546 train_acc=0.3042 test_loss=1.7652 test_acc=0.3345
Round 10 | selected=[41, 79, 99, 18, 46, 7, 20, 74, 73, 33]
Round 10 | train_loss=1.8480 train_acc=0.2982 test_loss=1.8748 test_acc=0.2860
Round 11 | selected=[26, 48, 65, 63, 77, 20, 12, 81, 83, 30]
Round 11 | train_loss=1.8185 train_acc=0.3174 test_loss=1.7673 test_acc=0.3265
Round 12 | selected=[17, 12, 30, 9, 67, 97, 87, 35, 65, 14]
Round 12 | train_loss=1.7935 train_acc=0.3328 test_loss=1.7284 test_acc=0.3414
Round 13 | selected=[38, 49, 87, 82, 5, 97, 31, 93, 80, 58]
Round 13 | train_loss=1.7751 train_acc=0.3308 test_loss=1.6704 test_acc=0.3770
Round 14 | selected=[76, 65, 90, 20, 87, 52, 7, 28, 4, 81]
Round 14 | train_loss=1.7475 train_acc=0.3484 test_loss=1.6961 test_acc=0.3701
Round 15 | selected=[67, 29, 12, 96, 70, 48, 17, 83, 93, 62]
Round 15 | train_loss=1.7387 train_acc=0.3520 test_loss=1.6500 test_acc=0.3856
Round 16 | selected=[31, 16, 28, 87, 57, 21, 71, 24, 37, 83]
Round 16 | train_loss=1.7476 train_acc=0.3398 test_loss=1.6712 test_acc=0.3753
Round 17 | selected=[11, 21, 65, 34, 43, 10, 99, 71, 40, 14]
Round 17 | train_loss=1.7177 train_acc=0.3662 test_loss=1.6079 test_acc=0.4021
Round 18 | selected=[49, 17, 56, 0, 16, 99, 80, 6, 44, 40]
Round 18 | train_loss=1.6761 train_acc=0.3592 test_loss=1.5862 test_acc=0.4135
Round 19 | selected=[70, 38, 57, 98, 74, 14, 71, 81, 28, 97]
Round 19 | train_loss=1.6777 train_acc=0.3684 test_loss=1.6002 test_acc=0.3976
Round 20 | selected=[1, 16, 49, 67, 22, 27, 88, 76, 21, 15]
Round 20 | train_loss=1.6762 train_acc=0.3664 test_loss=1.5773 test_acc=0.4170
Round 21 | selected=[83, 43, 56, 50, 16, 18, 32, 15, 74, 62]
Round 21 | train_loss=1.6521 train_acc=0.3792 test_loss=1.6483 test_acc=0.3975
Round 22 | selected=[24, 34, 96, 18, 44, 92, 8, 32, 95, 90]
Round 22 | train_loss=1.6598 train_acc=0.3824 test_loss=1.5622 test_acc=0.4183
Round 23 | selected=[64, 65, 0, 57, 52, 97, 73, 19, 58, 4]
Round 23 | train_loss=1.6180 train_acc=0.3882 test_loss=1.5530 test_acc=0.4232
Round 24 | selected=[19, 94, 23, 25, 64, 77, 8, 81, 41, 10]
Round 24 | train_loss=1.6534 train_acc=0.3820 test_loss=1.5598 test_acc=0.4205
Round 25 | selected=[70, 34, 47, 84, 12, 40, 32, 64, 18, 83]
Round 25 | train_loss=1.6159 train_acc=0.3914 test_loss=1.4952 test_acc=0.4407
Round 26 | selected=[43, 79, 40, 96, 47, 24, 64, 11, 48, 42]
Round 26 | train_loss=1.6046 train_acc=0.4052 test_loss=1.5284 test_acc=0.4357
Round 27 | selected=[67, 41, 12, 54, 98, 21, 83, 13, 30, 1]
Round 27 | train_loss=1.5834 train_acc=0.4104 test_loss=1.5240 test_acc=0.4454
