========================================
JOB:       12003942
TASK:      3
ALGORITHM: fedavg
PARTITION: alpha01
SEED:      43
GPU:       0
========================================
Device: cuda
GPU: NVIDIA A100-SXM4-80GB
Round 0 | test_loss=2.8588 test_acc=0.1082
Round 1 | selected=[45, 82, 4, 54, 60, 98, 1, 26, 37, 58]
Round 1 | train_loss=1.3587 train_acc=0.6108 test_loss=2.9085 test_acc=0.1000
Round 2 | selected=[98, 18, 76, 36, 27, 13, 88, 41, 89, 84]
Round 2 | train_loss=1.9230 train_acc=0.5086 test_loss=3.6383 test_acc=0.1075
Round 3 | selected=[49, 78, 43, 90, 96, 45, 58, 36, 69, 94]
Round 3 | train_loss=1.5765 train_acc=0.5796 test_loss=3.5967 test_acc=0.1044
Round 4 | selected=[67, 79, 53, 5, 31, 11, 59, 99, 9, 28]
Round 4 | train_loss=1.7458 train_acc=0.6034 test_loss=5.4101 test_acc=0.1000
Round 5 | selected=[52, 9, 39, 27, 68, 31, 25, 58, 3, 95]
Round 5 | train_loss=2.1470 train_acc=0.5250 test_loss=9.0607 test_acc=0.1423
Round 6 | selected=[26, 64, 42, 36, 16, 77, 7, 22, 20, 31]
Round 6 | train_loss=2.1132 train_acc=0.5488 test_loss=6.0713 test_acc=0.1318
Round 7 | selected=[12, 64, 62, 75, 73, 84, 79, 40, 32, 52]
Round 7 | train_loss=2.1519 train_acc=0.5154 test_loss=9.1679 test_acc=0.1000
Round 8 | selected=[48, 84, 78, 81, 73, 93, 51, 12, 16, 66]
Round 8 | train_loss=2.4889 train_acc=0.4300 test_loss=4.9193 test_acc=0.1000
Round 9 | selected=[59, 44, 87, 73, 64, 76, 16, 97, 39, 99]
Round 9 | train_loss=2.1398 train_acc=0.4664 test_loss=2.8405 test_acc=0.1404
Round 10 | selected=[66, 45, 67, 21, 94, 50, 49, 73, 97, 28]
Round 10 | train_loss=1.8686 train_acc=0.4882 test_loss=3.3727 test_acc=0.1248
Round 11 | selected=[71, 91, 81, 50, 27, 52, 61, 25, 63, 75]
Round 11 | train_loss=1.4552 train_acc=0.5522 test_loss=2.5998 test_acc=0.1860
Round 12 | selected=[78, 91, 66, 74, 93, 33, 92, 18, 68, 20]
Round 12 | train_loss=1.4351 train_acc=0.5636 test_loss=2.6798 test_acc=0.1265
Round 13 | selected=[84, 70, 72, 43, 26, 95, 74, 53, 98, 13]
Round 13 | train_loss=1.2706 train_acc=0.6532 test_loss=2.8639 test_acc=0.1096
Round 14 | selected=[62, 88, 39, 53, 68, 8, 45, 26, 50, 17]
Round 14 | train_loss=1.4086 train_acc=0.5950 test_loss=2.4095 test_acc=0.1081
Round 15 | selected=[81, 84, 25, 29, 3, 45, 13, 0, 44, 9]
Round 15 | train_loss=1.3723 train_acc=0.5608 test_loss=2.4134 test_acc=0.2198
Round 16 | selected=[45, 82, 93, 92, 91, 3, 83, 59, 66, 11]
Round 16 | train_loss=1.3681 train_acc=0.5872 test_loss=2.2728 test_acc=0.1683
Round 17 | selected=[15, 4, 66, 46, 8, 75, 62, 35, 57, 53]
Round 17 | train_loss=1.2721 train_acc=0.6156 test_loss=2.3885 test_acc=0.1823
Round 18 | selected=[70, 85, 99, 21, 88, 16, 37, 23, 91, 0]
Round 18 | train_loss=1.4089 train_acc=0.5620 test_loss=2.4424 test_acc=0.1677
Round 19 | selected=[36, 15, 31, 92, 98, 73, 83, 7, 11, 20]
Round 19 | train_loss=1.3241 train_acc=0.5848 test_loss=2.3187 test_acc=0.1820
Round 20 | selected=[39, 89, 40, 95, 37, 0, 15, 60, 59, 74]
Round 20 | train_loss=1.2782 train_acc=0.5688 test_loss=2.3470 test_acc=0.1701
Round 21 | selected=[35, 57, 89, 86, 46, 36, 54, 30, 84, 77]
Round 21 | train_loss=1.2862 train_acc=0.5932 test_loss=2.0311 test_acc=0.2352
Round 22 | selected=[76, 10, 70, 46, 58, 89, 67, 66, 32, 0]
Round 22 | train_loss=1.3439 train_acc=0.5266 test_loss=2.2881 test_acc=0.2247
Round 23 | selected=[14, 0, 41, 64, 71, 15, 68, 98, 46, 6]
Round 23 | train_loss=1.3145 train_acc=0.5698 test_loss=2.2417 test_acc=0.1797
Round 24 | selected=[43, 83, 13, 65, 78, 79, 35, 15, 47, 3]
Round 24 | train_loss=1.2396 train_acc=0.6118 test_loss=2.2199 test_acc=0.2411
Round 25 | selected=[22, 9, 27, 36, 31, 89, 71, 86, 11, 29]
Round 25 | train_loss=1.2824 train_acc=0.6044 test_loss=2.3058 test_acc=0.1485
Round 26 | selected=[55, 61, 4, 90, 51, 94, 45, 0, 31, 96]
Round 26 | train_loss=1.4348 train_acc=0.5278 test_loss=2.1657 test_acc=0.1887
Round 27 | selected=[60, 6, 30, 69, 19, 1, 52, 34, 7, 5]
Round 27 | train_loss=1.1664 train_acc=0.6488 test_loss=2.2438 test_acc=0.1779
Round 28 | selected=[37, 27, 52, 59, 18, 21, 57, 61, 99, 41]
Round 28 | train_loss=1.1621 train_acc=0.6080 test_loss=2.4379 test_acc=0.1915
Round 29 | selected=[29, 67, 19, 12, 59, 89, 94, 39, 76, 98]
Round 29 | train_loss=1.5392 train_acc=0.4776 test_loss=2.6634 test_acc=0.1716
Round 30 | selected=[61, 99, 64, 39, 12, 29, 85, 37, 28, 14]
Round 30 | train_loss=1.5571 train_acc=0.4916 test_loss=2.2583 test_acc=0.2003
Round 31 | selected=[59, 92, 69, 23, 11, 93, 88, 57, 30, 8]
Round 31 | train_loss=1.1383 train_acc=0.6334 test_loss=2.4182 test_acc=0.1193
