========================================
JOB:       12003943
TASK:      4
ALGORITHM: fedprox
PARTITION: iid
SEED:      43
GPU:       0
========================================
Device: cpu
Round 0 | test_loss=2.8590 test_acc=0.1084
Round 1 | selected=[45, 82, 4, 54, 60, 98, 1, 26, 37, 58]
Round 1 | train_loss=2.3500 train_acc=0.1110 test_loss=2.2698 test_acc=0.1455
Round 2 | selected=[98, 18, 76, 36, 27, 13, 88, 41, 89, 84]
Round 2 | train_loss=2.2552 train_acc=0.1530 test_loss=2.1885 test_acc=0.1969
Round 3 | selected=[49, 78, 43, 90, 96, 45, 58, 36, 69, 94]
Round 3 | train_loss=2.1774 train_acc=0.1898 test_loss=2.1008 test_acc=0.2146
Round 4 | selected=[67, 79, 53, 5, 31, 11, 59, 99, 9, 28]
Round 4 | train_loss=2.0942 train_acc=0.2260 test_loss=2.0050 test_acc=0.2660
Round 5 | selected=[52, 9, 39, 27, 68, 31, 25, 58, 3, 95]
Round 5 | train_loss=2.0575 train_acc=0.2326 test_loss=1.9589 test_acc=0.2588
Round 6 | selected=[26, 64, 42, 36, 16, 77, 7, 22, 20, 31]
Round 6 | train_loss=1.9968 train_acc=0.2432 test_loss=1.9227 test_acc=0.2612
Round 7 | selected=[12, 64, 62, 75, 73, 84, 79, 40, 32, 52]
Round 7 | train_loss=1.9470 train_acc=0.2714 test_loss=1.9168 test_acc=0.2654
Round 8 | selected=[48, 84, 78, 81, 73, 93, 51, 12, 16, 66]
Round 8 | train_loss=1.9109 train_acc=0.2776 test_loss=1.8565 test_acc=0.2880
Round 9 | selected=[59, 44, 87, 73, 64, 76, 16, 97, 39, 99]
Round 9 | train_loss=1.8689 train_acc=0.3004 test_loss=1.8066 test_acc=0.3100
Round 10 | selected=[66, 45, 67, 21, 94, 50, 49, 73, 97, 28]
Round 10 | train_loss=1.8316 train_acc=0.3042 test_loss=1.7551 test_acc=0.3426
Round 11 | selected=[71, 91, 81, 50, 27, 52, 61, 25, 63, 75]
Round 11 | train_loss=1.8037 train_acc=0.3216 test_loss=1.7286 test_acc=0.3551
Round 12 | selected=[78, 91, 66, 74, 93, 33, 92, 18, 68, 20]
Round 12 | train_loss=1.7943 train_acc=0.3232 test_loss=1.7633 test_acc=0.3373
Round 13 | selected=[84, 70, 72, 43, 26, 95, 74, 53, 98, 13]
Round 13 | train_loss=1.7690 train_acc=0.3286 test_loss=1.6872 test_acc=0.3677
Round 14 | selected=[62, 88, 39, 53, 68, 8, 45, 26, 50, 17]
Round 14 | train_loss=1.7228 train_acc=0.3414 test_loss=1.7438 test_acc=0.3536
Round 15 | selected=[81, 84, 25, 29, 3, 45, 13, 0, 44, 9]
Round 15 | train_loss=1.7382 train_acc=0.3476 test_loss=1.6282 test_acc=0.3836
Round 16 | selected=[45, 82, 93, 92, 91, 3, 83, 59, 66, 11]
Round 16 | train_loss=1.7270 train_acc=0.3430 test_loss=1.6331 test_acc=0.3960
Round 17 | selected=[15, 4, 66, 46, 8, 75, 62, 35, 57, 53]
Round 17 | train_loss=1.7090 train_acc=0.3564 test_loss=1.6018 test_acc=0.3972
Round 18 | selected=[70, 85, 99, 21, 88, 16, 37, 23, 91, 0]
Round 18 | train_loss=1.6740 train_acc=0.3716 test_loss=1.5509 test_acc=0.4188
Round 19 | selected=[36, 15, 31, 92, 98, 73, 83, 7, 11, 20]
Round 19 | train_loss=1.6816 train_acc=0.3716 test_loss=1.5611 test_acc=0.4148
Round 20 | selected=[39, 89, 40, 95, 37, 0, 15, 60, 59, 74]
Round 20 | train_loss=1.6193 train_acc=0.3904 test_loss=1.5366 test_acc=0.4297
Round 21 | selected=[35, 57, 89, 86, 46, 36, 54, 30, 84, 77]
Round 21 | train_loss=1.6637 train_acc=0.3726 test_loss=1.5311 test_acc=0.4304
Round 22 | selected=[76, 10, 70, 46, 58, 89, 67, 66, 32, 0]
Round 22 | train_loss=1.6224 train_acc=0.3946 test_loss=1.5449 test_acc=0.4252
Round 23 | selected=[14, 0, 41, 64, 71, 15, 68, 98, 46, 6]
Round 23 | train_loss=1.6013 train_acc=0.3976 test_loss=1.5885 test_acc=0.4233
Round 24 | selected=[43, 83, 13, 65, 78, 79, 35, 15, 47, 3]
Round 24 | train_loss=1.5948 train_acc=0.3950 test_loss=1.5671 test_acc=0.4225
Round 25 | selected=[22, 9, 27, 36, 31, 89, 71, 86, 11, 29]
Round 25 | train_loss=1.6218 train_acc=0.4014 test_loss=1.5301 test_acc=0.4344
Round 26 | selected=[55, 61, 4, 90, 51, 94, 45, 0, 31, 96]
Round 26 | train_loss=1.5938 train_acc=0.4044 test_loss=1.5612 test_acc=0.4297
Round 27 | selected=[60, 6, 30, 69, 19, 1, 52, 34, 7, 5]
Round 27 | train_loss=1.5970 train_acc=0.3998 test_loss=1.4919 test_acc=0.4496
Round 28 | selected=[37, 27, 52, 59, 18, 21, 57, 61, 99, 41]
Round 28 | train_loss=1.5507 train_acc=0.4224 test_loss=1.5144 test_acc=0.4394
Round 29 | selected=[29, 67, 19, 12, 59, 89, 94, 39, 76, 98]
Round 29 | train_loss=1.5374 train_acc=0.4212 test_loss=1.4412 test_acc=0.4621
Round 30 | selected=[61, 99, 64, 39, 12, 29, 85, 37, 28, 14]
Round 30 | train_loss=1.5447 train_acc=0.4324 test_loss=1.4554 test_acc=0.4630
Round 31 | selected=[59, 92, 69, 23, 11, 93, 88, 57, 30, 8]
Round 31 | train_loss=1.5229 train_acc=0.4360 test_loss=1.4582 test_acc=0.4654
Round 32 | selected=[27, 33, 32, 41, 88, 49, 39, 44, 71, 67]
Round 32 | train_loss=1.5359 train_acc=0.4300 test_loss=1.4960 test_acc=0.4535
Round 33 | selected=[83, 58, 19, 10, 51, 40, 75, 59, 70, 17]
Round 33 | train_loss=1.5051 train_acc=0.4392 test_loss=1.4478 test_acc=0.4647
Round 34 | selected=[53, 62, 57, 4, 60, 76, 98, 31, 90, 23]
Round 34 | train_loss=1.5236 train_acc=0.4368 test_loss=1.4038 test_acc=0.4820
Round 35 | selected=[40, 41, 53, 13, 35, 90, 85, 73, 68, 15]
Round 35 | train_loss=1.4901 train_acc=0.4460 test_loss=1.3809 test_acc=0.4914
Round 36 | selected=[18, 9, 0, 24, 23, 20, 39, 94, 29, 41]
Round 36 | train_loss=1.4922 train_acc=0.4420 test_loss=1.4572 test_acc=0.4611
Round 37 | selected=[0, 56, 76, 25, 77, 24, 43, 8, 35, 78]
Round 37 | train_loss=1.4816 train_acc=0.4540 test_loss=1.4427 test_acc=0.4766
Round 38 | selected=[53, 77, 74, 63, 22, 80, 28, 67, 24, 41]
Round 38 | train_loss=1.4963 train_acc=0.4414 test_loss=1.4082 test_acc=0.4791
Round 39 | selected=[18, 83, 80, 4, 69, 89, 92, 61, 21, 73]
Round 39 | train_loss=1.4680 train_acc=0.4554 test_loss=1.3506 test_acc=0.5041
Round 40 | selected=[60, 71, 66, 28, 27, 54, 99, 6, 55, 74]
Round 40 | train_loss=1.4907 train_acc=0.4426 test_loss=1.3734 test_acc=0.4922
Round 41 | selected=[75, 13, 68, 32, 20, 2, 10, 79, 41, 89]
Round 41 | train_loss=1.4315 train_acc=0.4732 test_loss=1.3906 test_acc=0.4906
Round 42 | selected=[21, 6, 71, 85, 94, 56, 29, 95, 27, 87]
Round 42 | train_loss=1.4633 train_acc=0.4614 test_loss=1.3587 test_acc=0.4966
Round 43 | selected=[71, 34, 79, 90, 87, 39, 89, 18, 81, 96]
Round 43 | train_loss=1.4480 train_acc=0.4680 test_loss=1.4017 test_acc=0.4860
Round 44 | selected=[39, 94, 2, 85, 60, 12, 89, 36, 44, 98]
Round 44 | train_loss=1.4357 train_acc=0.4668 test_loss=1.3578 test_acc=0.5016
Round 45 | selected=[11, 68, 5, 85, 51, 12, 83, 32, 73, 29]
Round 45 | train_loss=1.4407 train_acc=0.4682 test_loss=1.3279 test_acc=0.5109
Round 46 | selected=[63, 47, 4, 13, 49, 41, 19, 99, 91, 79]
Round 46 | train_loss=1.4125 train_acc=0.4770 test_loss=1.3437 test_acc=0.5030
Round 47 | selected=[30, 90, 52, 15, 32, 41, 66, 49, 64, 25]
Round 47 | train_loss=1.4275 train_acc=0.4776 test_loss=1.4346 test_acc=0.4821
Round 48 | selected=[24, 88, 14, 52, 68, 8, 46, 9, 10, 6]
Round 48 | train_loss=1.4034 train_acc=0.4898 test_loss=1.3148 test_acc=0.5135
Round 49 | selected=[66, 60, 59, 76, 0, 92, 43, 42, 30, 29]
Round 49 | train_loss=1.3807 train_acc=0.4944 test_loss=1.3623 test_acc=0.5102
Round 50 | selected=[91, 16, 57, 32, 42, 70, 5, 80, 29, 68]
Round 50 | train_loss=1.3790 train_acc=0.4914 test_loss=1.3035 test_acc=0.5210
Round 51 | selected=[30, 25, 6, 51, 79, 11, 40, 2, 85, 31]
Round 51 | train_loss=1.3906 train_acc=0.4870 test_loss=1.3456 test_acc=0.5040
Round 52 | selected=[44, 49, 52, 17, 63, 20, 28, 16, 78, 30]
