========================================
JOB:       12007687
TASK:      40
ALGORITHM: fedavgm
PARTITION: iid
SEED:      45
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=2.8279 test_acc=0.0938
Round 1 | selected=[84, 96, 49, 52, 68, 55, 73, 51, 79, 50]
Round 1 | train_loss=2.3509 train_acc=0.1180 test_loss=2.2622 test_acc=0.1448
Round 2 | selected=[61, 70, 47, 11, 92, 52, 58, 77, 79, 57]
Round 2 | train_loss=2.2695 train_acc=0.1522 test_loss=2.1897 test_acc=0.2136
Round 3 | selected=[68, 28, 99, 76, 4, 11, 39, 98, 40, 5]
Round 3 | train_loss=2.1630 train_acc=0.1834 test_loss=2.0946 test_acc=0.2075
Round 4 | selected=[26, 11, 9, 16, 70, 81, 96, 73, 29, 19]
Round 4 | train_loss=2.0545 train_acc=0.2198 test_loss=2.2535 test_acc=0.2088
Round 5 | selected=[11, 19, 35, 99, 1, 3, 45, 97, 31, 91]
Round 5 | train_loss=1.9899 train_acc=0.2486 test_loss=2.2453 test_acc=0.2212
Round 6 | selected=[65, 92, 81, 94, 48, 86, 77, 43, 30, 68]
Round 6 | train_loss=1.9564 train_acc=0.2676 test_loss=2.0274 test_acc=0.2852
Round 7 | selected=[35, 74, 98, 56, 37, 62, 89, 49, 80, 13]
Round 7 | train_loss=1.8841 train_acc=0.3000 test_loss=2.0738 test_acc=0.2724
Round 8 | selected=[29, 13, 46, 2, 67, 30, 38, 4, 60, 73]
Round 8 | train_loss=1.8269 train_acc=0.3106 test_loss=2.1228 test_acc=0.2991
Round 9 | selected=[69, 44, 76, 74, 34, 79, 22, 60, 16, 15]
Round 9 | train_loss=1.8080 train_acc=0.3226 test_loss=1.8575 test_acc=0.3334
Round 10 | selected=[8, 64, 44, 23, 48, 9, 69, 1, 29, 86]
Round 10 | train_loss=1.7593 train_acc=0.3366 test_loss=2.0068 test_acc=0.2844
Round 11 | selected=[73, 27, 86, 10, 22, 92, 9, 36, 43, 21]
Round 11 | train_loss=1.7140 train_acc=0.3580 test_loss=1.8204 test_acc=0.3358
Round 12 | selected=[19, 10, 46, 11, 4, 42, 16, 99, 96, 21]
Round 12 | train_loss=1.6681 train_acc=0.3704 test_loss=1.6132 test_acc=0.4135
Round 13 | selected=[31, 94, 27, 21, 48, 46, 69, 72, 24, 19]
Round 13 | train_loss=1.6497 train_acc=0.3866 test_loss=1.5031 test_acc=0.4495
Round 14 | selected=[25, 64, 96, 46, 42, 85, 98, 20, 65, 89]
Round 14 | train_loss=1.6007 train_acc=0.4018 test_loss=1.5110 test_acc=0.4462
Round 15 | selected=[94, 59, 89, 13, 76, 48, 39, 55, 44, 60]
Round 15 | train_loss=1.5570 train_acc=0.4276 test_loss=1.5840 test_acc=0.4306
Round 16 | selected=[44, 33, 28, 69, 36, 32, 46, 3, 35, 5]
Round 16 | train_loss=1.5135 train_acc=0.4468 test_loss=1.5766 test_acc=0.4395
Round 17 | selected=[56, 86, 33, 90, 8, 44, 94, 74, 83, 93]
Round 17 | train_loss=1.5415 train_acc=0.4332 test_loss=1.5060 test_acc=0.4582
Round 18 | selected=[37, 96, 61, 80, 73, 86, 52, 2, 81, 38]
Round 18 | train_loss=1.4993 train_acc=0.4446 test_loss=1.4666 test_acc=0.4817
Round 19 | selected=[66, 82, 91, 49, 25, 42, 15, 74, 75, 13]
Round 19 | train_loss=1.4740 train_acc=0.4562 test_loss=1.4271 test_acc=0.4781
Round 20 | selected=[99, 42, 96, 30, 8, 88, 93, 46, 90, 82]
Round 20 | train_loss=1.4440 train_acc=0.4664 test_loss=1.4470 test_acc=0.4717
Round 21 | selected=[91, 8, 48, 72, 47, 73, 24, 60, 98, 50]
Round 21 | train_loss=1.4132 train_acc=0.4816 test_loss=1.4030 test_acc=0.4976
Round 22 | selected=[77, 27, 23, 18, 4, 45, 66, 71, 72, 51]
Round 22 | train_loss=1.4176 train_acc=0.4796 test_loss=1.5397 test_acc=0.4862
Round 23 | selected=[5, 69, 78, 15, 35, 44, 28, 19, 61, 59]
Round 23 | train_loss=1.3612 train_acc=0.5034 test_loss=1.5399 test_acc=0.4863
Round 24 | selected=[85, 67, 48, 41, 94, 11, 53, 22, 20, 52]
Round 24 | train_loss=1.3903 train_acc=0.4992 test_loss=1.3054 test_acc=0.5247
Round 25 | selected=[46, 96, 40, 57, 45, 30, 99, 94, 9, 5]
Round 25 | train_loss=1.3331 train_acc=0.5080 test_loss=1.3818 test_acc=0.5050
Round 26 | selected=[60, 99, 84, 0, 28, 13, 19, 55, 9, 96]
Round 26 | train_loss=1.3017 train_acc=0.5304 test_loss=1.3617 test_acc=0.5150
Round 27 | selected=[85, 18, 27, 88, 21, 73, 6, 62, 2, 82]
Round 27 | train_loss=1.2849 train_acc=0.5268 test_loss=1.2697 test_acc=0.5338
Round 28 | selected=[59, 40, 9, 65, 22, 53, 44, 72, 79, 45]
Round 28 | train_loss=1.2690 train_acc=0.5368 test_loss=1.2683 test_acc=0.5553
Round 29 | selected=[15, 11, 81, 91, 12, 35, 43, 26, 44, 94]
Round 29 | train_loss=1.2471 train_acc=0.5416 test_loss=1.2069 test_acc=0.5693
Round 30 | selected=[61, 1, 5, 70, 21, 6, 92, 75, 45, 40]
Round 30 | train_loss=1.2228 train_acc=0.5558 test_loss=1.2619 test_acc=0.5600
Round 31 | selected=[3, 14, 15, 90, 86, 96, 47, 45, 63, 10]
Round 31 | train_loss=1.1993 train_acc=0.5664 test_loss=1.2143 test_acc=0.5703
Round 32 | selected=[33, 35, 79, 59, 54, 96, 60, 67, 61, 39]
Round 32 | train_loss=1.1759 train_acc=0.5780 test_loss=1.2511 test_acc=0.5589
Round 33 | selected=[72, 49, 39, 77, 98, 10, 59, 17, 29, 9]
Round 33 | train_loss=1.1520 train_acc=0.5852 test_loss=1.2968 test_acc=0.5413
Round 34 | selected=[15, 59, 57, 88, 60, 13, 70, 47, 76, 26]
Round 34 | train_loss=1.1419 train_acc=0.5866 test_loss=1.1893 test_acc=0.5774
Round 35 | selected=[76, 4, 23, 69, 56, 13, 43, 54, 99, 88]
Round 35 | train_loss=1.1654 train_acc=0.5874 test_loss=1.2345 test_acc=0.5740
Round 36 | selected=[3, 50, 71, 29, 88, 11, 13, 2, 7, 47]
Round 36 | train_loss=1.0988 train_acc=0.6036 test_loss=1.1650 test_acc=0.5981
Round 37 | selected=[47, 27, 28, 8, 2, 88, 30, 16, 45, 60]
Round 37 | train_loss=1.0639 train_acc=0.6212 test_loss=1.1329 test_acc=0.6047
Round 38 | selected=[50, 29, 85, 86, 64, 10, 7, 16, 49, 48]
Round 38 | train_loss=1.1058 train_acc=0.6082 test_loss=1.2502 test_acc=0.5753
Round 39 | selected=[3, 88, 98, 97, 23, 40, 74, 61, 79, 59]
Round 39 | train_loss=1.0768 train_acc=0.6104 test_loss=1.1465 test_acc=0.5998
Round 40 | selected=[29, 47, 55, 25, 13, 65, 91, 10, 8, 89]
Round 40 | train_loss=1.0570 train_acc=0.6190 test_loss=1.2034 test_acc=0.5967
Round 41 | selected=[51, 18, 44, 36, 79, 62, 64, 43, 11, 96]
Round 41 | train_loss=1.0638 train_acc=0.6232 test_loss=1.1447 test_acc=0.6098
Round 42 | selected=[41, 24, 80, 14, 5, 27, 42, 90, 73, 47]
Round 42 | train_loss=1.0590 train_acc=0.6234 test_loss=1.0887 test_acc=0.6305
Round 43 | selected=[23, 81, 54, 52, 62, 9, 6, 38, 79, 2]
Round 43 | train_loss=1.0476 train_acc=0.6302 test_loss=1.1635 test_acc=0.6037
Round 44 | selected=[47, 85, 84, 78, 86, 3, 36, 7, 5, 81]
Round 44 | train_loss=0.9980 train_acc=0.6436 test_loss=1.0828 test_acc=0.6219
Round 45 | selected=[11, 75, 46, 15, 87, 21, 51, 99, 61, 90]
Round 45 | train_loss=1.0087 train_acc=0.6390 test_loss=1.0426 test_acc=0.6432
Round 46 | selected=[69, 76, 10, 45, 22, 62, 23, 65, 12, 3]
Round 46 | train_loss=0.9714 train_acc=0.6542 test_loss=0.9559 test_acc=0.6651
Round 47 | selected=[67, 90, 35, 54, 81, 44, 49, 39, 59, 23]
Round 47 | train_loss=0.9795 train_acc=0.6600 test_loss=1.0603 test_acc=0.6416
Round 48 | selected=[21, 14, 50, 90, 26, 19, 13, 68, 34, 48]
