========================================
JOB:       12003984
TASK:      6
ALGORITHM: fedprox
PARTITION: alpha03
SEED:      43
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=2.8590 test_acc=0.1084
Round 1 | selected=[45, 82, 4, 54, 60, 98, 1, 26, 37, 58]
Round 1 | train_loss=1.7244 train_acc=0.4164 test_loss=2.3211 test_acc=0.1382
Round 2 | selected=[98, 18, 76, 36, 27, 13, 88, 41, 89, 84]
Round 2 | train_loss=1.6875 train_acc=0.4558 test_loss=2.4954 test_acc=0.1087
Round 3 | selected=[49, 78, 43, 90, 96, 45, 58, 36, 69, 94]
Round 3 | train_loss=1.6530 train_acc=0.5034 test_loss=3.1928 test_acc=0.1653
Round 4 | selected=[67, 79, 53, 5, 31, 11, 59, 99, 9, 28]
Round 4 | train_loss=2.3895 train_acc=0.4186 test_loss=3.7370 test_acc=0.1525
Round 5 | selected=[52, 9, 39, 27, 68, 31, 25, 58, 3, 95]
Round 5 | train_loss=2.1836 train_acc=0.3926 test_loss=4.5863 test_acc=0.1156
Round 6 | selected=[26, 64, 42, 36, 16, 77, 7, 22, 20, 31]
Round 6 | train_loss=2.3146 train_acc=0.3826 test_loss=3.5672 test_acc=0.2382
Round 7 | selected=[12, 64, 62, 75, 73, 84, 79, 40, 32, 52]
Round 7 | train_loss=1.8742 train_acc=0.4788 test_loss=2.3383 test_acc=0.2224
Round 8 | selected=[48, 84, 78, 81, 73, 93, 51, 12, 16, 66]
Round 8 | train_loss=1.7051 train_acc=0.4178 test_loss=2.3146 test_acc=0.2152
Round 9 | selected=[59, 44, 87, 73, 64, 76, 16, 97, 39, 99]
Round 9 | train_loss=1.7771 train_acc=0.4582 test_loss=2.4187 test_acc=0.2127
Round 10 | selected=[66, 45, 67, 21, 94, 50, 49, 73, 97, 28]
Round 10 | train_loss=1.5051 train_acc=0.5220 test_loss=2.3007 test_acc=0.2235
Round 11 | selected=[71, 91, 81, 50, 27, 52, 61, 25, 63, 75]
Round 11 | train_loss=1.5421 train_acc=0.5084 test_loss=2.6088 test_acc=0.1967
Round 12 | selected=[78, 91, 66, 74, 93, 33, 92, 18, 68, 20]
Round 12 | train_loss=1.7406 train_acc=0.4456 test_loss=2.5895 test_acc=0.1826
Round 13 | selected=[84, 70, 72, 43, 26, 95, 74, 53, 98, 13]
Round 13 | train_loss=1.8378 train_acc=0.4300 test_loss=2.7599 test_acc=0.2081
Round 14 | selected=[62, 88, 39, 53, 68, 8, 45, 26, 50, 17]
Round 14 | train_loss=1.6307 train_acc=0.4642 test_loss=2.2392 test_acc=0.2355
Round 15 | selected=[81, 84, 25, 29, 3, 45, 13, 0, 44, 9]
Round 15 | train_loss=1.6329 train_acc=0.4668 test_loss=2.1691 test_acc=0.3148
Round 16 | selected=[45, 82, 93, 92, 91, 3, 83, 59, 66, 11]
Round 16 | train_loss=1.3965 train_acc=0.5388 test_loss=1.8856 test_acc=0.2917
Round 17 | selected=[15, 4, 66, 46, 8, 75, 62, 35, 57, 53]
Round 17 | train_loss=1.4805 train_acc=0.5394 test_loss=2.6119 test_acc=0.2600
Round 18 | selected=[70, 85, 99, 21, 88, 16, 37, 23, 91, 0]
Round 18 | train_loss=1.4662 train_acc=0.5044 test_loss=2.0845 test_acc=0.2026
Round 19 | selected=[36, 15, 31, 92, 98, 73, 83, 7, 11, 20]
Round 19 | train_loss=1.5314 train_acc=0.5042 test_loss=2.6859 test_acc=0.2210
Round 20 | selected=[39, 89, 40, 95, 37, 0, 15, 60, 59, 74]
Round 20 | train_loss=1.6267 train_acc=0.5014 test_loss=2.1911 test_acc=0.2579
Round 21 | selected=[35, 57, 89, 86, 46, 36, 54, 30, 84, 77]
Round 21 | train_loss=1.6337 train_acc=0.4856 test_loss=2.8312 test_acc=0.2442
Round 22 | selected=[76, 10, 70, 46, 58, 89, 67, 66, 32, 0]
Round 22 | train_loss=1.6465 train_acc=0.5152 test_loss=2.3034 test_acc=0.2481
Round 23 | selected=[14, 0, 41, 64, 71, 15, 68, 98, 46, 6]
Round 23 | train_loss=1.4896 train_acc=0.5348 test_loss=2.1846 test_acc=0.2646
Round 24 | selected=[43, 83, 13, 65, 78, 79, 35, 15, 47, 3]
Round 24 | train_loss=1.6916 train_acc=0.4638 test_loss=2.3400 test_acc=0.1978
Round 25 | selected=[22, 9, 27, 36, 31, 89, 71, 86, 11, 29]
Round 25 | train_loss=1.4323 train_acc=0.5348 test_loss=2.4154 test_acc=0.2932
Round 26 | selected=[55, 61, 4, 90, 51, 94, 45, 0, 31, 96]
Round 26 | train_loss=1.4177 train_acc=0.5604 test_loss=2.1626 test_acc=0.2603
Round 27 | selected=[60, 6, 30, 69, 19, 1, 52, 34, 7, 5]
Round 27 | train_loss=1.5453 train_acc=0.5090 test_loss=2.2451 test_acc=0.2410
Round 28 | selected=[37, 27, 52, 59, 18, 21, 57, 61, 99, 41]
Round 28 | train_loss=1.4444 train_acc=0.5392 test_loss=2.4292 test_acc=0.2357
Round 29 | selected=[29, 67, 19, 12, 59, 89, 94, 39, 76, 98]
