========================================
JOB:       12010293
TASK:      60
ALGORITHM: fedadam
PARTITION: iid
SEED:      46
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=3.1277 test_acc=0.0954
Round 1 | selected=[20, 26, 83, 93, 7, 60, 52, 24, 45, 13]
Round 1 | train_loss=2.3536 train_acc=0.1190 test_loss=8.1956 test_acc=0.1036
Round 2 | selected=[5, 81, 53, 62, 47, 68, 49, 77, 66, 75]
Round 2 | train_loss=2.2595 train_acc=0.1970 test_loss=2.1258 test_acc=0.2155
Round 3 | selected=[30, 93, 0, 98, 81, 24, 18, 94, 80, 23]
Round 3 | train_loss=2.0333 train_acc=0.2584 test_loss=2.9221 test_acc=0.2256
Round 4 | selected=[68, 96, 87, 66, 5, 62, 61, 57, 80, 99]
Round 4 | train_loss=1.9147 train_acc=0.2912 test_loss=4.1215 test_acc=0.2010
Round 5 | selected=[43, 63, 24, 13, 36, 72, 18, 51, 46, 15]
Round 5 | train_loss=1.8475 train_acc=0.3170 test_loss=2.2737 test_acc=0.3077
Round 6 | selected=[93, 15, 46, 55, 45, 4, 23, 83, 27, 40]
Round 6 | train_loss=1.7903 train_acc=0.3304 test_loss=1.8360 test_acc=0.3509
Round 7 | selected=[18, 23, 22, 31, 88, 68, 42, 38, 92, 98]
Round 7 | train_loss=1.7722 train_acc=0.3486 test_loss=1.6655 test_acc=0.3936
Round 8 | selected=[85, 34, 62, 61, 35, 72, 26, 71, 28, 9]
Round 8 | train_loss=1.7222 train_acc=0.3640 test_loss=1.6535 test_acc=0.3885
Round 9 | selected=[59, 12, 51, 64, 11, 73, 8, 38, 31, 63]
Round 9 | train_loss=1.6535 train_acc=0.3884 test_loss=1.6234 test_acc=0.4087
Round 10 | selected=[65, 57, 19, 80, 71, 67, 32, 59, 47, 58]
Round 10 | train_loss=1.6223 train_acc=0.3984 test_loss=1.6613 test_acc=0.4111
Round 11 | selected=[1, 49, 56, 28, 42, 16, 35, 11, 40, 61]
Round 11 | train_loss=1.5895 train_acc=0.4102 test_loss=1.7422 test_acc=0.4021
Round 12 | selected=[71, 22, 31, 34, 4, 78, 38, 11, 55, 82]
Round 12 | train_loss=1.5606 train_acc=0.4228 test_loss=1.5997 test_acc=0.4192
Round 13 | selected=[12, 80, 53, 65, 90, 75, 5, 16, 10, 43]
Round 13 | train_loss=1.5413 train_acc=0.4292 test_loss=1.5530 test_acc=0.4366
Round 14 | selected=[32, 76, 31, 47, 99, 18, 53, 8, 65, 51]
Round 14 | train_loss=1.5194 train_acc=0.4406 test_loss=1.5022 test_acc=0.4496
Round 15 | selected=[71, 40, 96, 38, 82, 7, 28, 24, 55, 13]
Round 15 | train_loss=1.4800 train_acc=0.4606 test_loss=1.4332 test_acc=0.4789
Round 16 | selected=[53, 33, 17, 23, 30, 28, 65, 13, 92, 19]
Round 16 | train_loss=1.4583 train_acc=0.4706 test_loss=1.3926 test_acc=0.4902
Round 17 | selected=[77, 54, 38, 21, 13, 2, 72, 51, 28, 66]
Round 17 | train_loss=1.4436 train_acc=0.4750 test_loss=1.4286 test_acc=0.4793
Round 18 | selected=[20, 65, 44, 11, 51, 22, 72, 37, 35, 96]
Round 18 | train_loss=1.4404 train_acc=0.4714 test_loss=1.4447 test_acc=0.4722
Round 19 | selected=[10, 94, 29, 60, 99, 16, 92, 35, 54, 96]
Round 19 | train_loss=1.4124 train_acc=0.4876 test_loss=1.3680 test_acc=0.4990
Round 20 | selected=[47, 20, 53, 40, 37, 75, 48, 27, 94, 4]
Round 20 | train_loss=1.3722 train_acc=0.4924 test_loss=1.2962 test_acc=0.5270
Round 21 | selected=[87, 63, 53, 36, 77, 37, 11, 24, 70, 28]
Round 21 | train_loss=1.3318 train_acc=0.5086 test_loss=1.3432 test_acc=0.5085
Round 22 | selected=[19, 94, 3, 74, 10, 66, 12, 15, 34, 96]
Round 22 | train_loss=1.3340 train_acc=0.5108 test_loss=1.3468 test_acc=0.5119
Round 23 | selected=[21, 65, 82, 31, 87, 4, 24, 43, 1, 37]
Round 23 | train_loss=1.3339 train_acc=0.5164 test_loss=1.3249 test_acc=0.5261
Round 24 | selected=[80, 26, 7, 40, 51, 3, 38, 69, 81, 6]
Round 24 | train_loss=1.2987 train_acc=0.5292 test_loss=1.3489 test_acc=0.5177
Round 25 | selected=[67, 33, 68, 23, 69, 46, 84, 74, 17, 39]
Round 25 | train_loss=1.3266 train_acc=0.5250 test_loss=1.3894 test_acc=0.5062
Round 26 | selected=[35, 73, 94, 20, 13, 11, 29, 70, 87, 55]
Round 26 | train_loss=1.2494 train_acc=0.5512 test_loss=1.3215 test_acc=0.5300
Round 27 | selected=[36, 34, 32, 97, 17, 73, 92, 31, 65, 22]
Round 27 | train_loss=1.2482 train_acc=0.5558 test_loss=1.2269 test_acc=0.5594
Round 28 | selected=[55, 47, 35, 83, 29, 69, 49, 84, 52, 80]
Round 28 | train_loss=1.2107 train_acc=0.5562 test_loss=1.2114 test_acc=0.5705
Round 29 | selected=[64, 84, 49, 55, 35, 88, 37, 68, 51, 77]
Round 29 | train_loss=1.2197 train_acc=0.5584 test_loss=1.2028 test_acc=0.5710
