========================================
JOB:       12003936
TASK:      63
ALGORITHM: fedadam
PARTITION: alpha01
SEED:      46
GPU:       0
========================================
Device: cuda
GPU: Tesla V100-PCIE-32GB
Round 0 | test_loss=3.1277 test_acc=0.0954
Round 1 | selected=[20, 26, 83, 93, 7, 60, 52, 24, 45, 13]
Round 1 | train_loss=1.2809 train_acc=0.6182 test_loss=3.6298 test_acc=0.1048
Round 2 | selected=[5, 81, 53, 62, 47, 68, 49, 77, 66, 75]
Round 2 | train_loss=1.3223 train_acc=0.6082 test_loss=2.3710 test_acc=0.1512
Round 3 | selected=[30, 93, 0, 98, 81, 24, 18, 94, 80, 23]
Round 3 | train_loss=1.1885 train_acc=0.6518 test_loss=4.7330 test_acc=0.1635
Round 4 | selected=[68, 96, 87, 66, 5, 62, 61, 57, 80, 99]
Round 4 | train_loss=1.3289 train_acc=0.5932 test_loss=2.2688 test_acc=0.2683
Round 5 | selected=[43, 63, 24, 13, 36, 72, 18, 51, 46, 15]
Round 5 | train_loss=1.1916 train_acc=0.6360 test_loss=2.4956 test_acc=0.2595
Round 6 | selected=[93, 15, 46, 55, 45, 4, 23, 83, 27, 40]
Round 6 | train_loss=1.0831 train_acc=0.6778 test_loss=2.4909 test_acc=0.2487
Round 7 | selected=[18, 23, 22, 31, 88, 68, 42, 38, 92, 98]
Round 7 | train_loss=1.0806 train_acc=0.6594 test_loss=2.0815 test_acc=0.2685
Round 8 | selected=[85, 34, 62, 61, 35, 72, 26, 71, 28, 9]
Round 8 | train_loss=1.1224 train_acc=0.6664 test_loss=1.9066 test_acc=0.2600
Round 9 | selected=[59, 12, 51, 64, 11, 73, 8, 38, 31, 63]
Round 9 | train_loss=1.1403 train_acc=0.6530 test_loss=1.8760 test_acc=0.3202
Round 10 | selected=[65, 57, 19, 80, 71, 67, 32, 59, 47, 58]
Round 10 | train_loss=1.1351 train_acc=0.6784 test_loss=1.9391 test_acc=0.2890
Round 11 | selected=[1, 49, 56, 28, 42, 16, 35, 11, 40, 61]
Round 11 | train_loss=1.0214 train_acc=0.7116 test_loss=1.8774 test_acc=0.3075
Round 12 | selected=[71, 22, 31, 34, 4, 78, 38, 11, 55, 82]
Round 12 | train_loss=1.0212 train_acc=0.6932 test_loss=1.8921 test_acc=0.3116
Round 13 | selected=[12, 80, 53, 65, 90, 75, 5, 16, 10, 43]
Round 13 | train_loss=0.9814 train_acc=0.7052 test_loss=1.8766 test_acc=0.3204
Round 14 | selected=[32, 76, 31, 47, 99, 18, 53, 8, 65, 51]
Round 14 | train_loss=0.9938 train_acc=0.6960 test_loss=1.7458 test_acc=0.3550
Round 15 | selected=[71, 40, 96, 38, 82, 7, 28, 24, 55, 13]
Round 15 | train_loss=0.9838 train_acc=0.7082 test_loss=1.8145 test_acc=0.3331
Round 16 | selected=[53, 33, 17, 23, 30, 28, 65, 13, 92, 19]
Round 16 | train_loss=0.8878 train_acc=0.7482 test_loss=1.8788 test_acc=0.3281
Round 17 | selected=[77, 54, 38, 21, 13, 2, 72, 51, 28, 66]
Round 17 | train_loss=0.9490 train_acc=0.7270 test_loss=1.8085 test_acc=0.3356
Round 18 | selected=[20, 65, 44, 11, 51, 22, 72, 37, 35, 96]
Round 18 | train_loss=0.9570 train_acc=0.7398 test_loss=1.7568 test_acc=0.3480
Round 19 | selected=[10, 94, 29, 60, 99, 16, 92, 35, 54, 96]
Round 19 | train_loss=0.9754 train_acc=0.6752 test_loss=1.8245 test_acc=0.3206
Round 20 | selected=[47, 20, 53, 40, 37, 75, 48, 27, 94, 4]
Round 20 | train_loss=0.9205 train_acc=0.7186 test_loss=1.7631 test_acc=0.3529
Round 21 | selected=[87, 63, 53, 36, 77, 37, 11, 24, 70, 28]
Round 21 | train_loss=0.9357 train_acc=0.7368 test_loss=1.7227 test_acc=0.3739
Round 22 | selected=[19, 94, 3, 74, 10, 66, 12, 15, 34, 96]
Round 22 | train_loss=1.0347 train_acc=0.6984 test_loss=1.6502 test_acc=0.3948
Round 23 | selected=[21, 65, 82, 31, 87, 4, 24, 43, 1, 37]
Round 23 | train_loss=0.9058 train_acc=0.7350 test_loss=1.6499 test_acc=0.3799
Round 24 | selected=[80, 26, 7, 40, 51, 3, 38, 69, 81, 6]
Round 24 | train_loss=1.0651 train_acc=0.6834 test_loss=1.7021 test_acc=0.3607
Round 25 | selected=[67, 33, 68, 23, 69, 46, 84, 74, 17, 39]
Round 25 | train_loss=0.8117 train_acc=0.7598 test_loss=1.7777 test_acc=0.3406
Round 26 | selected=[35, 73, 94, 20, 13, 11, 29, 70, 87, 55]
Round 26 | train_loss=0.8481 train_acc=0.7620 test_loss=1.7505 test_acc=0.3647
Round 27 | selected=[36, 34, 32, 97, 17, 73, 92, 31, 65, 22]
Round 27 | train_loss=0.8035 train_acc=0.7602 test_loss=1.6884 test_acc=0.3865
Round 28 | selected=[55, 47, 35, 83, 29, 69, 49, 84, 52, 80]
Round 28 | train_loss=1.0319 train_acc=0.7052 test_loss=1.6302 test_acc=0.4083
Round 29 | selected=[64, 84, 49, 55, 35, 88, 37, 68, 51, 77]
Round 29 | train_loss=0.8402 train_acc=0.7686 test_loss=1.6009 test_acc=0.4305
Round 30 | selected=[44, 58, 83, 37, 38, 24, 16, 86, 19, 97]
Round 30 | train_loss=0.9037 train_acc=0.7370 test_loss=1.5762 test_acc=0.4407
Round 31 | selected=[91, 12, 26, 97, 28, 19, 27, 29, 50, 37]
Round 31 | train_loss=0.9231 train_acc=0.7456 test_loss=1.5968 test_acc=0.4213
Round 32 | selected=[18, 48, 87, 47, 37, 8, 99, 29, 42, 27]
Round 32 | train_loss=0.9749 train_acc=0.6842 test_loss=1.6332 test_acc=0.3924
Round 33 | selected=[91, 10, 70, 33, 85, 48, 46, 36, 44, 68]
Round 33 | train_loss=0.8660 train_acc=0.7588 test_loss=1.6334 test_acc=0.3775
Round 34 | selected=[15, 77, 58, 63, 47, 18, 34, 98, 25, 97]
Round 34 | train_loss=0.8547 train_acc=0.7440 test_loss=1.5964 test_acc=0.3994
Round 35 | selected=[95, 82, 19, 77, 83, 25, 30, 0, 87, 69]
Round 35 | train_loss=1.0076 train_acc=0.7054 test_loss=1.5489 test_acc=0.4452
Round 36 | selected=[57, 41, 2, 99, 9, 38, 87, 39, 80, 48]
Round 36 | train_loss=1.0141 train_acc=0.6928 test_loss=1.5126 test_acc=0.4687
Round 37 | selected=[6, 47, 4, 5, 82, 33, 91, 38, 59, 98]
Round 37 | train_loss=0.9714 train_acc=0.6968 test_loss=1.5264 test_acc=0.4383
Round 38 | selected=[8, 30, 11, 0, 86, 68, 93, 67, 60, 40]
Round 38 | train_loss=0.8525 train_acc=0.7318 test_loss=1.5528 test_acc=0.4176
Round 39 | selected=[5, 84, 28, 83, 34, 74, 2, 3, 53, 50]
Round 39 | train_loss=0.9008 train_acc=0.7222 test_loss=1.5222 test_acc=0.4217
Round 40 | selected=[10, 22, 74, 23, 38, 30, 0, 93, 44, 57]
Round 40 | train_loss=0.8593 train_acc=0.7416 test_loss=1.5005 test_acc=0.4292
Round 41 | selected=[67, 8, 13, 28, 34, 37, 77, 14, 49, 47]
Round 41 | train_loss=0.8240 train_acc=0.7624 test_loss=1.4792 test_acc=0.4279
Round 42 | selected=[86, 57, 24, 4, 23, 55, 94, 59, 50, 21]
Round 42 | train_loss=0.8898 train_acc=0.7292 test_loss=1.4730 test_acc=0.4390
Round 43 | selected=[17, 72, 35, 18, 5, 86, 95, 23, 77, 25]
Round 43 | train_loss=0.8683 train_acc=0.7448 test_loss=1.5113 test_acc=0.4389
Round 44 | selected=[54, 13, 62, 81, 94, 17, 47, 22, 50, 21]
Round 44 | train_loss=0.8238 train_acc=0.7600 test_loss=1.5782 test_acc=0.4192
Round 45 | selected=[4, 35, 52, 85, 71, 51, 61, 3, 72, 91]
Round 45 | train_loss=0.9924 train_acc=0.7310 test_loss=1.5730 test_acc=0.4245
Round 46 | selected=[32, 47, 83, 65, 75, 56, 4, 51, 52, 79]
Round 46 | train_loss=0.9262 train_acc=0.7062 test_loss=1.5048 test_acc=0.4735
Round 47 | selected=[50, 13, 94, 72, 14, 31, 27, 97, 9, 59]
Round 47 | train_loss=0.8051 train_acc=0.7594 test_loss=1.5339 test_acc=0.4611
Round 48 | selected=[59, 80, 54, 0, 68, 39, 88, 72, 42, 5]
Round 48 | train_loss=0.9878 train_acc=0.6796 test_loss=1.5002 test_acc=0.4731
Round 49 | selected=[45, 33, 23, 97, 88, 1, 0, 58, 21, 74]
Round 49 | train_loss=0.8230 train_acc=0.7440 test_loss=1.4752 test_acc=0.4802
Round 50 | selected=[73, 88, 96, 64, 4, 0, 17, 86, 14, 95]
Round 50 | train_loss=0.8833 train_acc=0.7258 test_loss=1.4982 test_acc=0.4534
Round 51 | selected=[2, 25, 22, 72, 33, 66, 11, 56, 59, 4]
Round 51 | train_loss=0.8585 train_acc=0.7356 test_loss=1.5003 test_acc=0.4405
Round 52 | selected=[25, 55, 52, 51, 65, 15, 77, 67, 10, 49]
Round 52 | train_loss=0.7725 train_acc=0.7812 test_loss=1.4676 test_acc=0.4618
Round 53 | selected=[45, 17, 75, 29, 88, 55, 6, 34, 7, 22]
Round 53 | train_loss=0.7597 train_acc=0.7728 test_loss=1.4711 test_acc=0.4550
Round 54 | selected=[90, 89, 22, 45, 85, 2, 64, 27, 99, 34]
Round 54 | train_loss=0.8147 train_acc=0.7516 test_loss=1.4816 test_acc=0.4494
Round 55 | selected=[41, 82, 22, 88, 56, 8, 72, 93, 24, 5]
Round 55 | train_loss=0.9662 train_acc=0.7076 test_loss=1.4720 test_acc=0.4468
Round 56 | selected=[23, 38, 99, 11, 58, 0, 75, 34, 94, 74]
Round 56 | train_loss=0.7787 train_acc=0.7440 test_loss=1.4485 test_acc=0.4609
Round 57 | selected=[15, 97, 73, 19, 40, 83, 85, 58, 89, 45]
Round 57 | train_loss=0.8375 train_acc=0.7444 test_loss=1.4561 test_acc=0.4634
Round 58 | selected=[78, 55, 41, 22, 89, 88, 93, 85, 86, 98]
Round 58 | train_loss=0.8166 train_acc=0.7568 test_loss=1.4808 test_acc=0.4506
Round 59 | selected=[85, 47, 15, 62, 50, 82, 38, 90, 52, 33]
Round 59 | train_loss=0.9148 train_acc=0.7098 test_loss=1.4948 test_acc=0.4404
Round 60 | selected=[46, 25, 40, 86, 31, 50, 84, 13, 19, 72]
Round 60 | train_loss=0.8030 train_acc=0.7572 test_loss=1.4429 test_acc=0.4557
Round 61 | selected=[3, 8, 54, 52, 77, 81, 60, 93, 25, 79]
Round 61 | train_loss=0.8241 train_acc=0.7476 test_loss=1.3901 test_acc=0.4889
Round 62 | selected=[77, 76, 7, 30, 74, 47, 93, 33, 42, 98]
Round 62 | train_loss=0.7033 train_acc=0.8006 test_loss=1.3810 test_acc=0.4844
Round 63 | selected=[17, 52, 91, 21, 85, 47, 44, 87, 42, 10]
Round 63 | train_loss=0.8198 train_acc=0.7500 test_loss=1.4043 test_acc=0.4616
Round 64 | selected=[1, 79, 93, 32, 29, 10, 47, 78, 58, 19]
Round 64 | train_loss=0.7814 train_acc=0.7676 test_loss=1.3660 test_acc=0.4810
Round 65 | selected=[55, 10, 46, 74, 54, 15, 81, 66, 12, 93]
Round 65 | train_loss=0.7372 train_acc=0.7792 test_loss=1.3864 test_acc=0.4524
Round 66 | selected=[56, 11, 93, 73, 94, 26, 22, 52, 36, 29]
Round 66 | train_loss=0.8178 train_acc=0.7478 test_loss=1.4282 test_acc=0.4379
Round 67 | selected=[82, 22, 31, 16, 28, 33, 56, 41, 76, 11]
Round 67 | train_loss=0.8231 train_acc=0.7596 test_loss=1.4536 test_acc=0.4427
Round 68 | selected=[81, 97, 82, 70, 39, 55, 89, 85, 36, 83]
Round 68 | train_loss=0.7963 train_acc=0.7550 test_loss=1.5404 test_acc=0.4193
Round 69 | selected=[80, 73, 18, 98, 55, 49, 43, 61, 8, 82]
Round 69 | train_loss=0.7927 train_acc=0.7740 test_loss=1.4592 test_acc=0.4391
Round 70 | selected=[17, 6, 47, 63, 96, 3, 81, 41, 21, 46]
Round 70 | train_loss=0.8003 train_acc=0.7468 test_loss=1.3933 test_acc=0.4828
Round 71 | selected=[85, 20, 24, 98, 21, 64, 11, 58, 68, 62]
Round 71 | train_loss=0.7666 train_acc=0.7766 test_loss=1.3802 test_acc=0.5033
Round 72 | selected=[5, 16, 63, 59, 66, 92, 17, 31, 74, 64]
Round 72 | train_loss=0.7748 train_acc=0.7578 test_loss=1.3994 test_acc=0.4962
Round 73 | selected=[14, 92, 71, 69, 4, 54, 23, 62, 43, 7]
Round 73 | train_loss=0.8241 train_acc=0.7488 test_loss=1.3532 test_acc=0.5105
Round 74 | selected=[72, 6, 11, 52, 57, 59, 55, 28, 94, 82]
Round 74 | train_loss=0.8145 train_acc=0.7546 test_loss=1.3149 test_acc=0.5296
Round 75 | selected=[81, 43, 26, 4, 87, 50, 59, 40, 47, 95]
Round 75 | train_loss=0.9180 train_acc=0.7078 test_loss=1.3493 test_acc=0.5101
Round 76 | selected=[17, 59, 12, 15, 38, 40, 57, 21, 47, 49]
Round 76 | train_loss=0.7792 train_acc=0.7468 test_loss=1.3846 test_acc=0.4886
Round 77 | selected=[8, 57, 39, 27, 96, 6, 59, 44, 66, 86]
Round 77 | train_loss=0.8878 train_acc=0.7076 test_loss=1.3335 test_acc=0.5074
Round 78 | selected=[73, 79, 56, 35, 47, 30, 52, 15, 97, 66]
Round 78 | train_loss=0.7490 train_acc=0.7696 test_loss=1.2968 test_acc=0.5206
Round 79 | selected=[8, 44, 75, 17, 20, 80, 60, 53, 16, 95]
Round 79 | train_loss=0.6786 train_acc=0.7958 test_loss=1.3285 test_acc=0.5056
Round 80 | selected=[4, 88, 83, 15, 45, 78, 92, 58, 46, 52]
Round 80 | train_loss=0.8209 train_acc=0.7304 test_loss=1.3146 test_acc=0.5159
Round 81 | selected=[80, 91, 48, 38, 41, 49, 0, 71, 4, 1]
Round 81 | train_loss=0.9228 train_acc=0.7196 test_loss=1.3272 test_acc=0.5174
Round 82 | selected=[52, 98, 54, 45, 61, 36, 76, 27, 22, 25]
Round 82 | train_loss=0.6939 train_acc=0.7944 test_loss=1.3288 test_acc=0.5164
Round 83 | selected=[96, 15, 80, 66, 98, 0, 44, 70, 38, 10]
Round 83 | train_loss=0.7919 train_acc=0.7380 test_loss=1.3107 test_acc=0.5385
Round 84 | selected=[69, 9, 45, 35, 99, 84, 58, 73, 18, 3]
Round 84 | train_loss=0.7078 train_acc=0.7878 test_loss=1.2875 test_acc=0.5534
Round 85 | selected=[81, 71, 9, 53, 89, 98, 26, 91, 43, 68]
Round 85 | train_loss=0.7456 train_acc=0.7740 test_loss=1.2391 test_acc=0.5624
Round 86 | selected=[39, 82, 72, 29, 95, 53, 75, 79, 90, 32]
