round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,2.348993603134155,0.11,6.234730187988281,0.1196,10,False
2,2.2724392826080324,0.2016,2.281202437210083,0.1688,10,False
3,2.1210215044021608,0.2288,2.2351288871765136,0.2405,10,False
4,1.8802149471282958,0.296,2.011067879486084,0.2961,10,False
5,1.8436644689559936,0.3096,2.0256162994384765,0.3151,10,False
6,1.7935552384376525,0.3364,1.8612576299667358,0.3305,10,False
7,1.6765116987228394,0.3812,1.8899546781539918,0.3596,10,False
8,1.666927512741089,0.3776,2.0260021774291994,0.3473,10,False
9,1.61453553981781,0.4054,1.7070447275161744,0.391,10,False
10,1.584980746936798,0.4082,1.5585931396484376,0.4233,10,False
11,1.5652179217338562,0.4264,1.4994570386886596,0.4545,10,False
12,1.5094986104011536,0.4398,1.4844744895935058,0.4615,10,False
13,1.4922413058280946,0.4474,1.5991348316192626,0.436,10,False
14,1.4310410369873048,0.4738,1.6502690856933593,0.4277,10,False
15,1.437631342124939,0.4792,1.4228115020751952,0.4965,10,False
16,1.4283467502593994,0.477,1.3775672243118287,0.5068,10,False
17,1.4050766667366028,0.4844,1.3080287563323976,0.5255,10,False
18,1.369024116420746,0.5038,1.3035012725830077,0.5289,10,False
19,1.3586073099136353,0.5092,1.3675875659942627,0.5052,10,False
20,1.2983854522705078,0.5222,1.329134288787842,0.5215,10,False
21,1.3417152574539184,0.5054,1.2988887910842895,0.5382,10,False
22,1.3055908415794373,0.5276,1.2822225877761841,0.5466,10,False
23,1.2606326409339905,0.5406,1.2607680158615113,0.5484,10,False
24,1.2391803161621093,0.5534,1.2034541187286376,0.5667,10,False
25,1.2599696103096008,0.5432,1.1535282304763794,0.5777,10,False
26,1.223162022972107,0.5532,1.1663579608917236,0.5735,10,False
27,1.2259054645061493,0.5492,1.210515264892578,0.5626,10,False
28,1.1734910258293152,0.5824,1.167061343383789,0.5857,10,False
29,1.1505385215759278,0.5878,1.2688903985977174,0.5683,10,False
30,1.1594641537666321,0.5896,1.1383726421356202,0.6053,10,False
31,1.1173620646953584,0.5986,1.0720858522415162,0.6205,10,False
32,1.127544901752472,0.594,1.0863259376525878,0.6063,10,False
33,1.1087619673728943,0.6016,1.1485357707977295,0.5924,10,False
34,1.1121844212532044,0.6052,1.0820697427749635,0.6166,10,False
35,1.072935347032547,0.6164,1.059212515258789,0.6281,10,False
36,1.0414132632732391,0.6288,1.0255897243499756,0.639,10,False
37,1.0313558596134185,0.6274,1.068876598548889,0.6247,10,False
38,1.0544204027175903,0.6296,1.0635865062713623,0.6282,10,False
39,1.017380181837082,0.6318,1.012445595264435,0.6458,10,False
40,1.0564947382450103,0.6158,1.0367445169448852,0.6374,10,False
41,0.9904763424396514,0.6434,1.0895352331161499,0.6254,10,False
42,0.9874427947521209,0.6466,1.003682924938202,0.6485,10,False
43,0.9744240918636322,0.6532,0.9713700420379638,0.6557,10,False
44,0.9299216912269592,0.6722,1.013114450931549,0.6457,10,False
45,0.9365373815059662,0.6664,0.986186165523529,0.656,10,False
46,0.9245743959903717,0.6668,1.0122372225761413,0.6483,10,False
47,0.9548210644245148,0.6564,1.0199581162452698,0.6495,10,False
48,0.9098060983657837,0.6694,0.9216263863563537,0.6776,10,False
49,0.8836767893314361,0.677,0.9137767816543579,0.6818,10,False
50,0.858987861585617,0.7018,0.8964910572528839,0.691,10,False
51,0.8652383062839508,0.6858,0.9331252882957458,0.6778,10,False
52,0.9055839706897736,0.677,0.8762882534980774,0.6937,10,False
53,0.8617804163932801,0.6948,0.8586583139419556,0.7052,10,False
54,0.8442107866764068,0.6934,0.903086919593811,0.6923,10,False
55,0.8700013245582581,0.6902,0.8456347882270813,0.7022,10,False
56,0.8378447107315063,0.699,0.8176035747528076,0.7172,10,False
57,0.8316882856845855,0.7026,0.80282317943573,0.723,10,False
58,0.8520260727405549,0.6968,0.8052701475143432,0.7204,10,False
59,0.8252574840068817,0.7068,0.8173753893852234,0.716,10,False
60,0.7739284852981567,0.722,0.8097994740486145,0.719,10,False
61,0.8377622532844543,0.702,0.8827541432380677,0.6965,10,False
62,0.7512004066467285,0.729,0.9452562857627869,0.679,10,False
63,0.7731032722473145,0.7298,0.8989535921573639,0.6911,10,False
64,0.8035432058811188,0.7228,0.8037731033802032,0.7206,10,False
65,0.7707471664428711,0.7294,0.7581936018943787,0.7366,10,False
66,0.7303969707012177,0.7412,0.7651185276031495,0.738,10,False
67,0.7267968500614166,0.7394,0.8319011912822724,0.7161,10,False
68,0.7499461644649505,0.7294,0.7651985950946808,0.7376,10,False
69,0.7620816734313964,0.7316,0.7606327451705933,0.7417,10,False
70,0.6987526940822602,0.7536,0.7821502297401428,0.7353,10,False
71,0.7278631474733352,0.747,0.7835034241676331,0.7371,10,False
72,0.7021266131401062,0.7552,0.7875672122955323,0.7363,10,False
73,0.6965378034591675,0.7538,0.779215072631836,0.7416,10,False
74,0.6832712819814682,0.7536,0.7755770811080933,0.7443,10,False
75,0.6505241034984589,0.7658,0.7695659316062927,0.7441,10,False
76,0.7056313258171082,0.7508,0.7481142024040223,0.7516,10,False
77,0.6620558906078339,0.7682,0.7339307767868042,0.7485,10,False
78,0.6596360199451446,0.7658,0.7597858888626099,0.746,10,False
79,0.6590200348615647,0.7656,0.7022580154418945,0.7641,10,False
80,0.6442893374204636,0.777,0.7166303706169128,0.7616,10,False
81,0.6518674931764603,0.776,0.742600675868988,0.7498,10,False
82,0.6347653985500336,0.7858,0.6667933659553528,0.7723,10,False
83,0.6176890150547028,0.7816,0.6602585114955902,0.7736,10,False
84,0.6229083498001099,0.78,0.674027691411972,0.7713,10,False
85,0.6190143960237503,0.778,0.6752800531864166,0.773,10,False
86,0.6209332318782806,0.7786,0.7431064999580383,0.7552,10,False
87,0.6281824571371079,0.7804,0.7005060511589051,0.7658,10,False
88,0.597375308251381,0.7836,0.6584139951705933,0.7833,10,False
89,0.6218937470436097,0.7862,0.660737455368042,0.7794,10,False
90,0.5866116025447845,0.7958,0.6767764698028564,0.7756,10,False
91,0.59207834815979,0.8,0.6532059400558472,0.7793,10,False
92,0.5873896223068237,0.7992,0.6274931818008422,0.7839,10,False
93,0.5633332795858383,0.803,0.6258690121650696,0.7869,10,False
94,0.5702689557313919,0.796,0.6550144989967346,0.7781,10,False
95,0.5596775495529175,0.8092,0.650489094543457,0.7757,10,False
96,0.5595938921928406,0.8062,0.6676701025009155,0.7793,10,False
97,0.5966211432695389,0.7894,0.6991992609977722,0.7701,10,False
98,0.5562118604660035,0.8058,0.6565686143875122,0.7857,10,False
99,0.5601142824411393,0.8002,0.6334586246967315,0.7914,10,False
100,0.5419510038375854,0.8108,0.6328645742416382,0.788,10,False
101,0.5768643901586532,0.797,0.6402920451641083,0.7848,10,False
102,0.5735392877578736,0.8018,0.615327841758728,0.7927,10,False
103,0.5335034442901612,0.8046,0.5851751838684082,0.8033,10,False
104,0.52211553170681,0.8162,0.5940390186309814,0.803,10,False
105,0.5625172660827636,0.8054,0.5882939889907837,0.804,10,False
