round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,1.3589015827655793,0.6124,2.8971775108337403,0.1,10,8.0,0.4532989950643341,11.336645625554562,False
2,2.1238860166072846,0.4926,3.735392306137085,0.1075,10,8.0,0.7669292632687229,16.40353434490301,False
3,2.875341947285347,0.4868,5.133648788452148,0.1241,10,8.0,0.8279051790470215,17.940314169103818,False
4,1.9173585577891532,0.583,7.562161241149902,0.1,10,8.0,1.0156697686075826,15.597436949717899,False
5,2.781827204942703,0.4136,7.419206281280518,0.151,10,8.0,1.2096343000051448,24.343769930833155,False
6,2.712043977546692,0.4428,10.870464590454102,0.1494,10,8.0,1.7078539751578554,26.02890134072595,False
7,4.012931786870957,0.3124,11.440951740264893,0.1179,10,8.0,2.16146244712775,26.41515081476154,False
8,4.5516788451194765,0.2252,5.827650045776367,0.1003,10,8.0,2.270187330638283,28.825177935392936,False
9,4.0489971073150635,0.2456,3.732660890579224,0.1,10,8.0,2.8765239026440317,43.01113768807664,False
10,7.997264991056919,0.1514,4.191870252990722,0.1,10,8.0,3.2718457815636874,55.465832360415774,False
11,5.288533368754387,0.2408,3.3021254280090333,0.1005,10,8.0,3.7084515273697276,44.42764902323085,False
12,5.526118312168121,0.1202,3.3763758350372313,0.105,10,8.0,4.126715105965284,47.325428117426256,False
13,5.500654224872589,0.0962,7.186842122650146,0.1,10,8.0,4.729577814619922,66.35067457201521,False
14,4.533925935554504,0.2548,4.068321845245361,0.1,10,8.0,5.746539114078833,101.35210805238926,False
15,10.457369618034363,0.127,7.179497631835938,0.1269,10,8.0,8.394514507673177,157.73401255065164,False
16,10.028391091275216,0.2028,12.193949603271484,0.1,10,8.0,10.71962486876738,214.78539302857294,False
17,15.942715846252442,0.178,22.449902137756347,0.1,10,8.0,13.519742149204424,157.9173574050547,False
18,9.254698503112794,0.0472,15.759637271118164,0.1569,10,8.0,16.383086456300756,123.3160111023233,False
19,7.464392845439911,0.1982,4.567979355621338,0.1342,10,8.0,18.853336329600584,212.60578396903702,False
20,8.16344529876709,0.1858,30.698957305908202,0.1,10,8.0,22.885333469436432,193.68365320662653,False
21,9.322807278633118,0.103,5.026377677154541,0.1,10,8.0,25.018372933869234,279.2048338561142,False
22,22.25332375049591,0.0542,4.7796276050567625,0.1,10,8.0,30.68860445148035,344.48589162451424,False
23,29.643886308288575,0.0406,5.301619180297852,0.1,10,8.0,36.78974826797873,602.1164233096493,False
24,14.204220641708375,0.2028,2.6246788402557373,0.1,10,8.0,46.10518895015159,612.4788420901014,False
25,7.23795854511261,0.122,2.7655137153625486,0.1,10,8.0,52.01447299713424,431.62819284423693,False
26,32.34747888450622,0.0802,2.516077481842041,0.1,10,8.0,54.15144742224387,832.9100230871381,False
27,3.7968128929138185,0.014,2.6205930961608885,0.1,10,8.0,65.04593935892993,197.34488806108098,False
28,3.2530784501075747,0.0824,2.8210499160766602,0.1,10,8.0,69.78694228997519,455.24116981912067,False
29,6.615672405815125,0.0272,45.81608696289062,0.1,10,8.0,74.35712542885568,803.4709537170329,False
30,5.834306879806519,0.0876,27.385497973632813,0.1131,10,8.0,69.80710283404983,724.9210821118568,False
31,8.66927706899196,0.1662,15.386414675903321,0.1243,10,8.0,77.65230330780311,949.9386830240508,False
32,6.432771782684326,0.133,113.60657009277344,0.1237,10,8.0,100.89083352653246,1008.6596276528775,False
33,81.40577785348893,0.1362,39.697958142089846,0.119,10,8.0,132.4789755262341,1506.473502617699,False
34,8.18792856168747,0.161,12.977653515625,0.1073,10,8.0,151.2872201894307,1359.153678284563,False
35,176.42371367702484,0.1764,4.020922576904296,0.1,10,8.0,152.27021109946648,2179.4814750114606,False
36,86.9212546444893,0.1824,5.631343234252929,0.1,10,8.0,186.90506432504762,3036.9361281634224,False
37,849.3899714881896,0.0896,97.94404575195313,0.1,10,8.0,236.3655053160814,3368.3538071957423,False
38,173.90219952087403,0.1124,65.11833479003906,0.1,10,8.0,284.591825180974,3331.063210957111,False
39,218.46650329877437,0.2768,233.93061430664062,0.1,10,8.0,325.36286371732007,2491.760424949493,False
40,235.44083009796142,0.1214,1998.962975390625,0.1,10,8.0,394.8856428776679,2183.64783536857,False
