round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,2.321740277671814,0.1238,2.2352149681091307,0.1619,10,False
2,2.1921254338264466,0.1768,2.1041607322692872,0.2158,10,False
3,2.109392880821228,0.213,2.0339134269714356,0.2393,10,False
4,2.066741118144989,0.2388,1.9558575691223143,0.281,10,False
5,2.0140013710021973,0.2424,1.916069702911377,0.2681,10,False
6,1.9698679368019103,0.2522,1.8903128662109374,0.2818,10,False
7,1.9116002157211305,0.2852,1.8277506647109985,0.3068,10,False
8,1.8779687015533448,0.2994,1.7935972023010254,0.3347,10,False
9,1.8550638640403747,0.3044,1.767204542541504,0.3382,10,False
10,1.8439458980560304,0.303,1.8883266040802003,0.2851,10,False
11,1.81394761800766,0.318,1.7739515907287597,0.3243,10,False
12,1.7908628469467163,0.331,1.7347647296905517,0.3341,10,False
13,1.7726690748214722,0.3346,1.6906824211120606,0.3665,10,False
14,1.740250397014618,0.3476,1.668358402633667,0.3794,10,False
15,1.7327137537956239,0.3556,1.6466796026229857,0.3925,10,False
16,1.737018910217285,0.3488,1.624481252670288,0.3963,10,False
17,1.7066406134605407,0.3624,1.5905525623321533,0.4053,10,False
18,1.6703064666748046,0.362,1.57144794921875,0.4146,10,False
19,1.6731776783943175,0.3664,1.6153935508728028,0.397,10,False
20,1.6701651843070984,0.3716,1.569651284790039,0.4144,10,False
21,1.6428856572151185,0.3846,1.6179265617370606,0.403,10,False
22,1.6578885892868043,0.3796,1.5493754461288451,0.4196,10,False
23,1.6164510440826416,0.3974,1.5661900764465333,0.4187,10,False
24,1.6514705060958863,0.382,1.5459490283966064,0.4321,10,False
25,1.6098751591682434,0.3934,1.4972296459197998,0.4434,10,False
26,1.6014154545783996,0.412,1.4906362991333009,0.444,10,False
27,1.5771497806549073,0.4082,1.517015435409546,0.4449,10,False
28,1.5926901534080506,0.403,1.4625531833648682,0.4636,10,False
29,1.5882546851158141,0.422,1.5166332973480225,0.438,10,False
30,1.591463554573059,0.4036,1.4792850103378297,0.4466,10,False
31,1.5698615634918214,0.4124,1.5009252605438232,0.4494,10,False
32,1.562719031906128,0.4188,1.4258462257385254,0.4683,10,False
33,1.567332569026947,0.4202,1.4377355491638184,0.4671,10,False
34,1.535805784893036,0.4284,1.4217550771713257,0.4723,10,False
35,1.523900987148285,0.434,1.440536699295044,0.4678,10,False
36,1.5048748728752137,0.443,1.3964591697692872,0.4843,10,False
37,1.5282990971565247,0.4314,1.3819608924865723,0.486,10,False
38,1.5152802528381348,0.442,1.4236582180023194,0.4773,10,False
39,1.4872755228042602,0.4506,1.3778727542877198,0.4886,10,False
40,1.4826680968284607,0.4542,1.3538858600616455,0.5052,10,False
41,1.4738733492851257,0.4586,1.4424382278442383,0.4791,10,False
42,1.4842367042541504,0.4504,1.3575786846160889,0.4992,10,False
43,1.4848321069717407,0.4546,1.350439538192749,0.5016,10,False
44,1.4365599362373351,0.4702,1.3604912040710448,0.5001,10,False
45,1.4655290955543518,0.4648,1.347184236907959,0.5086,10,False
46,1.4498773573875428,0.4716,1.3261132064819336,0.5164,10,False
47,1.429872546005249,0.48,1.3151362140655518,0.5164,10,False
48,1.4207707783699035,0.482,1.3092690114974976,0.5144,10,False
49,1.4401326977729798,0.4656,1.3175368644714356,0.5162,10,False
50,1.3966996384620667,0.487,1.3110411661148071,0.5137,10,False
51,1.4306149636268615,0.4804,1.3004628648757934,0.5235,10,False
52,1.41342877035141,0.4836,1.3248772205352783,0.5147,10,False
53,1.3988653179168702,0.49,1.264692977142334,0.5308,10,False
54,1.4006389430999755,0.481,1.272277095413208,0.5367,10,False
55,1.3732477408409118,0.5006,1.2553412614822388,0.5397,10,False
56,1.3714714413642883,0.4878,1.2560810441970824,0.5357,10,False
57,1.3821660717964173,0.5014,1.2597220140457153,0.5379,10,False
58,1.3838253475189208,0.4912,1.2535779930114745,0.5395,10,False
59,1.3546530603408813,0.509,1.2661719882965088,0.5374,10,False
60,1.3802895532608033,0.4998,1.2120693912506104,0.556,10,False
61,1.3710473484039307,0.5012,1.289664149093628,0.5234,10,False
