round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,2.322148773765564,0.1216,2.2388589698791503,0.1597,10,False
2,2.1923915404319763,0.1786,2.292348585510254,0.2029,10,False
3,2.1284046073913574,0.2122,2.1187210330963135,0.2372,10,False
4,2.0581791169166563,0.2416,1.9831614091873169,0.2669,10,False
5,1.9811167624473571,0.2656,2.007007067871094,0.2593,10,False
6,1.9155758038520814,0.2904,2.1828925479888914,0.2475,10,False
7,1.8750200931549073,0.301,2.082304878234863,0.2918,10,False
8,1.818024744796753,0.3244,1.8668247543334962,0.3233,10,False
9,1.7330591528892516,0.3542,1.7488402973175048,0.3279,10,False
10,1.7202599472999573,0.3558,1.8278088525772094,0.3132,10,False
11,1.702766575908661,0.3704,1.682236060142517,0.3877,10,False
12,1.655121826171875,0.3844,1.7114451290130615,0.3779,10,False
13,1.6393597645759583,0.3914,2.1630651138305663,0.3101,10,False
14,1.5863924360275268,0.412,1.5305583278656005,0.4338,10,False
15,1.5298939734458923,0.433,1.5965740558624268,0.4189,10,False
16,1.5581959984779359,0.4244,1.5162139541625976,0.4427,10,False
17,1.5525423996925354,0.4268,1.4814362743377685,0.4648,10,False
18,1.474025166606903,0.4622,1.5228189323425294,0.4591,10,False
19,1.4529210894584657,0.4614,1.4116948734283448,0.4814,10,False
20,1.4277685671806335,0.4796,1.3743317386627196,0.5075,10,False
21,1.394602370262146,0.4898,1.4160067449569702,0.5031,10,False
22,1.3981629313468933,0.4806,1.478894369506836,0.4926,10,False
23,1.3524939529418945,0.5116,1.2770662897109986,0.5347,10,False
24,1.3730002725601196,0.5052,1.2964887645721435,0.5329,10,False
25,1.3143982592582704,0.5162,1.2920728799819947,0.5444,10,False
26,1.2761028695106507,0.5394,1.3118562702178955,0.5408,10,False
27,1.2805600651741027,0.534,1.199724530029297,0.5647,10,False
28,1.291090502357483,0.5254,1.240638180923462,0.5471,10,False
29,1.2458122712135316,0.5584,1.23749069480896,0.5566,10,False
30,1.2235285183906555,0.553,1.277589442062378,0.556,10,False
31,1.2186989370346069,0.5588,1.1885019248962403,0.5902,10,False
32,1.2273646297454834,0.5638,1.1401536031723023,0.5911,10,False
33,1.1836939854621886,0.565,1.16110597820282,0.5839,10,False
34,1.1393834391593933,0.5926,1.1745136154174804,0.5847,10,False
35,1.1409032396793366,0.5894,1.164610973739624,0.5961,10,False
36,1.1334227305412292,0.5932,1.2366408044815063,0.5788,10,False
37,1.145905307674408,0.588,1.0964050788879394,0.6059,10,False
38,1.1365499432086945,0.5944,1.1334288875579834,0.5957,10,False
39,1.0941025027751923,0.6078,1.0533871196746827,0.6247,10,False
40,1.0543579850196838,0.6236,1.1080632884025574,0.6153,10,False
41,1.0731910771369935,0.616,1.0838661931991578,0.6304,10,False
42,1.0682815222263335,0.6198,1.0659645745277404,0.6244,10,False
43,1.0339962974071504,0.6228,1.102730554008484,0.6065,10,False
44,1.0085606814861297,0.6392,1.0119828368186952,0.6443,10,False
45,1.0165416141033172,0.6428,1.0211122982025147,0.642,10,False
46,1.0010152216911317,0.6416,1.0565003218650817,0.633,10,False
47,0.97113184466362,0.6496,1.1417125782966613,0.6109,10,False
48,0.9522958568572998,0.6648,0.9726949808120727,0.6568,10,False
49,0.9528102414131164,0.6604,1.0267103290557862,0.6477,10,False
50,0.9370666683197022,0.6648,1.0098987265586854,0.6505,10,False
51,0.9544510641098023,0.6596,0.9059266143321991,0.681,10,False
52,0.9398763679504395,0.6668,0.8856911879062652,0.6876,10,False
53,0.9093302412986756,0.6812,0.9231170323371887,0.6786,10,False
54,0.8751615037918091,0.6836,0.9383678040504455,0.6788,10,False
55,0.898186331987381,0.6794,0.9199466731071472,0.6841,10,False
56,0.8781383335113525,0.6876,0.9264262330055237,0.6842,10,False
57,0.8753763004779815,0.6934,0.9375732067108155,0.6817,10,False
58,0.8677921097755432,0.6942,0.8897425416946411,0.6987,10,False
59,0.8438230668067932,0.704,0.8919249095916748,0.6928,10,False
60,0.8668185601711274,0.6922,0.9374180083274841,0.6832,10,False
61,0.8450949182987213,0.6974,0.8420415281295777,0.7085,10,False
62,0.8367552142620087,0.7036,0.8547915361881256,0.7028,10,False
63,0.8567778747558594,0.6982,0.8168528381347656,0.7156,10,False
64,0.7984820354938507,0.7204,0.7961208800315857,0.7203,10,False
65,0.807964189529419,0.7104,0.7974062690734863,0.7204,10,False
66,0.8094997016906739,0.7144,0.8828864281654358,0.699,10,False
67,0.7903993947982788,0.7294,0.8937847836494446,0.6934,10,False
68,0.7721120518684387,0.7252,0.8697480134010315,0.7049,10,False
69,0.7579405958175659,0.7286,0.8398331291198731,0.7141,10,False
70,0.746146011543274,0.7412,0.8145342699050904,0.7185,10,False
71,0.7679265405654907,0.7322,0.8344821865081787,0.7162,10,False
