round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,2.321936509513855,0.1218,2.236441967010498,0.162,10,False
2,2.190571731567383,0.1732,2.1045666454315186,0.2151,10,False
3,2.1103238290786743,0.2128,2.035514656448364,0.2325,10,False
4,2.070217105293274,0.2336,1.9794033519744874,0.2713,10,False
5,2.01843976354599,0.2386,1.924245503616333,0.2701,10,False
6,1.9675602633476257,0.2536,1.9062179443359375,0.2779,10,False
7,1.9155121828079225,0.284,1.8316188455581666,0.3118,10,False
8,1.880929123878479,0.2926,1.807892135810852,0.3287,10,False
9,1.8545648321151733,0.3042,1.7652031288146972,0.3345,10,False
10,1.8479979075431823,0.2982,1.8748158601760865,0.286,10,False
11,1.8185372798919677,0.3174,1.767335892677307,0.3265,10,False
12,1.7934684127807616,0.3328,1.7283976856231689,0.3414,10,False
13,1.7751195838928222,0.3308,1.6703596504211426,0.377,10,False
14,1.7475096382141113,0.3484,1.696149179649353,0.3701,10,False
15,1.7387038340568544,0.352,1.6499925594329834,0.3856,10,False
16,1.7476368856430053,0.3398,1.6712470657348633,0.3753,10,False
17,1.7177330261230468,0.3662,1.6079021621704102,0.4021,10,False
18,1.6761106964111327,0.3592,1.5861856212615968,0.4135,10,False
19,1.6777020663261413,0.3684,1.6001516759872436,0.3976,10,False
20,1.676222560596466,0.3664,1.5772790071487426,0.417,10,False
21,1.6521156237602235,0.3792,1.648279446029663,0.3975,10,False
22,1.659789542579651,0.3824,1.5622128755569458,0.4183,10,False
23,1.618006606388092,0.3882,1.553005253601074,0.4232,10,False
24,1.6534284397125245,0.382,1.5598094745635986,0.4205,10,False
25,1.6158983821868897,0.3914,1.4951677810668946,0.4407,10,False
26,1.6046451167106628,0.4052,1.5284111522674562,0.4357,10,False
27,1.5833856884002686,0.4104,1.5240240116119386,0.4454,10,False
28,1.5942787274360657,0.404,1.4970745958328247,0.4489,10,False
29,1.589007715511322,0.4172,1.5332912994384766,0.4376,10,False
30,1.5898051303863525,0.4028,1.5133700931549072,0.4387,10,False
31,1.5698736233711243,0.4224,1.4757041208267212,0.4511,10,False
32,1.5626830047607423,0.42,1.4401114280700684,0.4698,10,False
33,1.564323779964447,0.4164,1.4633439945220947,0.4568,10,False
34,1.531263208580017,0.4302,1.4202506519317626,0.4697,10,False
35,1.5225981806755067,0.4346,1.450150386428833,0.4595,10,False
