round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,2.0200035774230956,0.2824,2.279340043258667,0.1451,10,False
2,2.0532514107704163,0.2582,2.212537436294556,0.1643,10,False
3,1.9421948098182678,0.3208,2.0690692461013795,0.2065,10,False
4,1.8291788119316101,0.3532,2.1673742191314695,0.1966,10,False
5,1.898081422805786,0.3194,2.059313003921509,0.2486,10,False
6,1.688045553302765,0.4108,2.627037899017334,0.2252,10,False
7,1.8875034766197205,0.372,2.1183850551605223,0.2656,10,False
8,1.6312799110412597,0.4154,2.0533474655151367,0.273,10,False
9,1.6721936985492707,0.423,2.1218722450256347,0.2878,10,False
10,1.6164852600097657,0.469,2.580437026596069,0.28,10,False
11,1.7930163622856141,0.435,3.0525193393707277,0.2796,10,False
12,1.7422671833992005,0.4226,3.263977936935425,0.2606,10,False
13,1.9281431146621704,0.3972,2.127668599700928,0.3182,10,False
14,1.7337534552574159,0.4476,2.5739050857543946,0.3244,10,False
15,1.8605927508354188,0.4176,2.4685897880554197,0.3409,10,False
16,1.7548164418458938,0.4272,3.808687590789795,0.261,10,False
17,1.6800157601594925,0.4194,3.4829942134857177,0.2263,10,False
18,1.820549511528015,0.4068,5.424474669647217,0.2578,10,False
19,1.5995027339699839,0.483,2.8202843360900878,0.2983,10,False
20,1.8986984327028156,0.4322,2.2244880187988283,0.3519,10,False
21,1.529585327386856,0.5002,6.679254051208496,0.2177,10,False
22,1.705803553390503,0.4404,2.144914175796509,0.3746,10,False
23,1.5903882327079772,0.4672,2.274080545043945,0.2841,10,False
24,1.5961112300872802,0.4566,2.0591910446166994,0.3377,10,False
25,1.593861904478073,0.4618,1.8252870632171632,0.3624,10,False
26,1.5016670535087586,0.486,2.217457262802124,0.3594,10,False
27,1.6249170980555587,0.4694,1.9001578050613404,0.3452,10,False
28,1.4784362056732179,0.5006,1.7833568283081054,0.3767,10,False
29,1.5786239535808564,0.454,1.8548018869400025,0.3338,10,False
30,1.512311294555664,0.4784,1.6987953300476075,0.3764,10,False
31,1.4169044771671295,0.5108,1.7386565048217772,0.3874,10,False
32,1.3982653198719024,0.5118,1.9852204036712646,0.3885,10,False
33,1.5139051804065704,0.5004,2.0436985488891604,0.3706,10,False
34,1.5246720811843872,0.4708,1.9830499610900878,0.3667,10,False
35,1.5612183127403259,0.4802,2.19228395652771,0.2747,10,False
36,1.5436277947425843,0.4654,2.3044727432250975,0.3252,10,False
37,1.5452719563484192,0.4562,2.102337130737305,0.3781,10,False
38,1.315730354642868,0.5502,2.053750457763672,0.3866,10,False
39,1.410703720331192,0.5156,1.5045674369812012,0.4365,10,False
40,1.244765328836441,0.5596,1.568250248336792,0.3945,10,False
41,1.499584812927246,0.48,1.5176067569732665,0.439,10,False
42,1.35706209025383,0.5154,1.7699796264648437,0.4317,10,False
43,1.3598324615478516,0.5208,1.5737476505279542,0.4441,10,False
44,1.3744211251735687,0.5144,1.6917569057464599,0.4178,10,False
45,1.493240614938736,0.4664,1.4604106395721435,0.4677,10,False
46,1.3476084816932679,0.5248,1.5760982894897462,0.418,10,False
47,1.358300428390503,0.52,1.6160177984237671,0.4152,10,False
48,1.2896449581623077,0.551,1.5430984432220458,0.4562,10,False
49,1.3345391211509705,0.5554,1.7743528381347655,0.4178,10,False
50,1.427994964981079,0.5154,1.6159269086837769,0.4358,10,False
51,1.2867674515247345,0.5406,1.6627339263916017,0.4156,10,False
52,1.4332398571908473,0.506,1.4917746074676514,0.4814,10,False
53,1.3386086748600006,0.5338,1.6609487056732177,0.405,10,False
54,1.3981580780029297,0.497,1.5867528507232667,0.4327,10,False
55,1.420689086151123,0.5024,1.3086539516448974,0.5186,10,False
56,1.2583823066711426,0.5472,1.4787583980560304,0.4485,10,False
57,1.2823509945392608,0.5462,1.4747222648620606,0.444,10,False
58,1.378562762594223,0.5084,1.278104905128479,0.5261,10,False
59,1.218217570924759,0.5844,1.4408021997451783,0.5145,10,False
60,1.347784302854538,0.5304,1.5402625366210938,0.4869,10,False
61,1.2198399963378905,0.5864,1.423620151901245,0.4749,10,False
62,1.2612753506183625,0.5394,1.296912560272217,0.5174,10,False
63,1.2136375973701476,0.5748,1.465488786315918,0.4774,10,False
64,1.2163657653331756,0.572,1.621567062187195,0.4466,10,False
65,1.2913149134635926,0.5514,1.2958538595199585,0.5256,10,False
66,1.1719549880981446,0.5824,1.2473733253479005,0.5636,10,False
67,1.157490989923477,0.5972,1.330484659576416,0.5205,10,False
68,1.151689774632454,0.5954,1.2222993957519532,0.5521,10,False
69,1.1302036906719208,0.6034,1.2765062492370605,0.535,10,False
70,1.0901255331993103,0.6264,1.3626143793106078,0.5115,10,False
71,1.198514800977707,0.5688,1.179395594024658,0.568,10,False
72,1.1222476978302003,0.6056,1.3111607555389404,0.5339,10,False
73,1.1796162144660949,0.5878,1.5409153717041015,0.4615,10,False
74,1.2147148361206055,0.5782,1.2459196975708007,0.5589,10,False
75,1.1130911486625672,0.6262,1.2623211454391479,0.5388,10,False
76,1.129235482788086,0.6072,1.4243321815490724,0.5286,10,False
77,1.1356609311819077,0.6094,1.527887100982666,0.5359,10,False
78,1.2343395310282708,0.6076,1.4791700035095214,0.5308,10,False
79,1.2077685514211656,0.6074,1.368008462715149,0.5192,10,False
80,1.2287976243972778,0.5776,1.330767263031006,0.5343,10,False
81,1.1300054016828538,0.6012,1.3277948150634766,0.5128,10,False
82,1.170441857433319,0.586,1.1957265645980835,0.5624,10,False
83,1.0660109589815139,0.6288,1.2295204303741456,0.5694,10,False
84,1.0693247553825378,0.627,1.348401789855957,0.5333,10,False
85,1.1206543266773223,0.6106,1.174448376274109,0.5757,10,False
86,1.040919627714157,0.6426,1.1938485977172852,0.5703,10,False
87,1.083591390132904,0.615,1.297409042930603,0.5417,10,False
88,1.027706969344616,0.6456,1.3760216472625733,0.551,10,False
89,1.0727050339221955,0.63,1.230668334197998,0.5779,10,False
90,1.1007637490272522,0.612,1.5039541961669922,0.5064,10,False
91,1.0555328954696654,0.6336,1.380978966140747,0.5352,10,False
92,1.0351207708358765,0.648,1.1790178547859191,0.5606,10,False
93,1.0733092139482499,0.6112,1.3404742483139038,0.5776,10,False
94,1.0959421431541443,0.621,1.2375146007537843,0.5549,10,False
95,0.9967830665588379,0.6374,1.1829864879608154,0.583,10,False
96,1.1254058176517487,0.6028,1.2278711833953857,0.5588,10,False
97,1.0219957425117492,0.6406,1.049302561569214,0.6188,10,False
98,0.9836137546062469,0.6562,1.2066158781051635,0.5709,10,False
99,0.9962241202354432,0.643,1.06229781332016,0.6191,10,False
100,1.010991331553459,0.6286,1.1317251504898072,0.6062,10,False
101,1.0700980543136596,0.64,1.281523725128174,0.57,10,False
102,1.00326964199543,0.6464,1.1468862373352051,0.586,10,False
103,1.0223657382369042,0.6366,1.1000943202972413,0.5944,10,False
104,0.9502997183322907,0.6642,1.3178338771820068,0.5286,10,False
105,0.953753525018692,0.6726,1.1815316001892089,0.5785,10,False
106,0.9618039586782455,0.6614,1.0550233619689942,0.6241,10,False
107,1.1028475281246006,0.6362,1.1341465635299683,0.5986,10,False
108,1.1414976920604705,0.593,1.139065015411377,0.5942,10,False
109,0.9832589653015137,0.6598,1.3503751184463502,0.5046,10,False
110,1.0534954499721527,0.6238,1.2849297159194946,0.5348,10,False
111,1.0445218743801117,0.6244,1.0668415130615234,0.6136,10,False
112,0.9554037559986115,0.6702,1.2832762363433838,0.5686,10,False
113,0.962554016661644,0.6642,1.3466336097717284,0.585,10,False
114,1.1071622017353773,0.6326,1.2355411924362183,0.5892,10,False
115,1.096290567970276,0.615,1.0794098945617676,0.6221,10,False
116,0.9973973972320557,0.6588,1.2395315929412842,0.558,10,False
117,1.048989895105362,0.6222,1.233204408454895,0.549,10,False
118,0.9668195816040039,0.6604,1.0535046285629273,0.6175,10,False
119,1.0087093002319336,0.6564,0.9558071581840515,0.6608,10,False
120,0.945327411699295,0.6722,1.08732642288208,0.6326,10,False
121,0.9986579309940338,0.6548,1.0271088846206664,0.6412,10,False
122,0.9602069474697114,0.668,1.015549338912964,0.6419,10,False
123,0.8850957217216492,0.6954,1.0468209756851197,0.6227,10,False
124,0.9262029085159301,0.6814,0.9826356048583984,0.6506,10,False
125,0.8903075098276139,0.6878,0.9848342720031739,0.6462,10,False
126,0.859283510351181,0.7014,1.0887935081481934,0.6337,10,False
127,0.9132161490440369,0.6898,0.9761837068557739,0.6666,10,False
128,0.8759387899637222,0.6898,1.0537821660995483,0.6377,10,False
129,0.8519709218427539,0.7164,1.2701815662384033,0.5879,10,False
130,0.900147024345398,0.6866,1.0111863738059998,0.6476,10,False
131,0.9624694412469864,0.669,1.0481115949630737,0.632,10,False
132,0.8185513008594513,0.7156,1.083222409248352,0.6269,10,False
133,0.9032387091636658,0.6872,0.9998660890579224,0.653,10,False
134,0.8918500960230827,0.689,1.0434138219833373,0.6432,10,False
135,0.8495798859357834,0.7084,0.9439782703399658,0.6623,10,False
136,0.8913147343397141,0.6862,0.9294812278747558,0.6676,10,False
137,0.8696510214805603,0.6964,0.919359295463562,0.6751,10,False
138,0.7513435835838318,0.742,0.9422492448806763,0.6679,10,False
139,0.8399875895738602,0.708,0.9053023500442505,0.6787,10,False
140,0.8667797765731812,0.6876,0.9932901880264282,0.6584,10,False
141,0.7891906811285764,0.7298,1.094945484161377,0.6107,10,False
142,0.8124519981145859,0.7258,0.8636234639167786,0.6875,10,False
143,0.7605054360389709,0.7364,0.9172540874481201,0.6862,10,False
144,0.8486014904260636,0.7106,0.8541530504226684,0.6985,10,False
145,0.7495034359693528,0.7414,0.9502576477050781,0.6637,10,False
146,0.8314639412879944,0.7042,0.9243883186340333,0.6796,10,False
147,0.812604397392273,0.7252,0.8621006749153137,0.6982,10,False
148,0.7124812945365906,0.7572,1.0933508325576782,0.6263,10,False
149,0.840271808218956,0.7014,0.9663523393630982,0.6712,10,False
150,0.710488254237175,0.7594,1.255847912788391,0.6106,10,False
151,0.6790513281822205,0.7676,1.0631884037017822,0.6614,10,False
152,0.749327236366272,0.738,1.069853974533081,0.6577,10,False
153,0.7299195873260498,0.7516,0.8590783591270447,0.7123,10,False
154,0.7012055013179779,0.7624,0.947216480255127,0.6501,10,False
155,0.7809003328204155,0.717,0.8382212671279907,0.6924,10,False
156,0.7276285761117935,0.7412,0.7469059402465821,0.7377,10,False
157,0.7038291354179382,0.753,0.8846018983840942,0.7029,10,False
158,0.7642704788446426,0.7384,0.9292558368682862,0.696,10,False
159,0.7242916722297669,0.7508,0.9180573383331299,0.6849,10,False
160,0.7302613311052323,0.7424,1.024369668006897,0.653,10,False
161,0.7322787549734115,0.7448,0.9317193443298339,0.6777,10,False
162,0.7381689953327178,0.7332,0.8591138450622559,0.6924,10,False
163,0.7880309319019317,0.7178,0.9891815567016602,0.6754,10,False
164,0.6685970882592723,0.7804,0.9511483808517456,0.6843,10,False
165,0.7124600510179997,0.759,1.0379867574691772,0.6668,10,False
166,0.739074895888567,0.7476,1.0113289726257324,0.6477,10,False
167,0.7071548075675964,0.749,0.892005249786377,0.6909,10,False
168,0.7518431551933289,0.7412,0.9887746263504028,0.669,10,False
169,0.7220270333170891,0.7514,0.9625861438751221,0.6839,10,False
170,0.686845423746109,0.7646,0.8823664328575135,0.7059,10,False
171,0.6616347107172013,0.7692,0.8561172548294067,0.705,10,False
172,0.6955218319654465,0.7588,0.8004573133468628,0.7182,10,False
173,0.6434235792636871,0.7682,0.8232544290542603,0.7138,10,False
174,0.6685056939601898,0.7636,0.8507394256591797,0.702,10,False
175,0.7254863010883331,0.7416,0.862424635887146,0.7051,10,False
176,0.6357801131725311,0.7816,0.8728016053199769,0.7189,10,False
177,0.6702009015798569,0.7668,0.9141804576873779,0.6999,10,False
178,0.6616469505786896,0.7746,0.7467409021377563,0.7485,10,False
179,0.687189065337181,0.763,0.8142844635009766,0.717,10,False
180,0.6471195101737977,0.7788,1.0283083205223083,0.6521,10,False
181,0.6652198390960693,0.7664,0.7779884130477905,0.729,10,False
182,0.6350219383716583,0.7778,0.6624409784793853,0.7682,10,False
183,0.6159721073389053,0.7902,0.9500166840553284,0.6934,10,False
184,0.6058317903518676,0.7836,0.8494259376525879,0.7167,10,False
185,0.6074415231227874,0.7896,0.7126185318946838,0.7581,10,False
186,0.5723075151324272,0.8034,0.792118776512146,0.7395,10,False
187,0.60494228079319,0.7908,0.7560135845184326,0.7423,10,False
188,0.5421806312322617,0.8174,0.8139060361862183,0.7217,10,False
189,0.6554635765314102,0.7782,0.7029694759368896,0.7594,10,False
190,0.5713891788959503,0.8052,0.7982458660125732,0.7249,10,False
191,0.6197655326128007,0.7788,0.670080552816391,0.7621,10,False
192,0.5484478069454432,0.818,0.6609723443984985,0.7708,10,False
193,0.5623186521291733,0.816,0.6247579711914063,0.7882,10,False
194,0.50985620521307,0.8302,0.6684399739265442,0.7747,10,False
195,0.6386449644804001,0.7826,0.6320893909454346,0.778,10,False
196,0.5631278531074524,0.8038,0.9674498384475708,0.6808,10,False
197,0.6103512957334518,0.7926,0.6699559858322144,0.7632,10,False
198,0.5483702244281768,0.813,0.9481419624328613,0.6973,10,False
199,0.577423758149147,0.807,0.877152466583252,0.7175,10,False
