round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,tau_eff,mean_local_normalizer,mean_local_steps,run_completed
1,2.351027869415283,0.1176,2.2622308807373046,0.1433,10,28.742048900000007,28.742048899999993,8.0,False
2,2.268851141357422,0.1504,2.2022520530700684,0.1952,10,28.742048900000007,28.742048899999993,8.0,False
3,2.177484546852112,0.1772,2.1027469718933105,0.2189,10,28.742048900000007,28.742048899999993,8.0,False
4,2.0973984741210936,0.215,2.060399617385864,0.2088,10,28.742048900000007,28.742048899999993,8.0,False
5,2.0284502531051634,0.2276,1.9772425407409668,0.2499,10,28.742048900000007,28.742048899999993,8.0,False
6,2.0043847745895387,0.236,1.9104499528884888,0.2616,10,28.742048900000007,28.742048899999993,8.0,False
7,1.945091243839264,0.2614,1.868137017059326,0.2776,10,28.742048900000007,28.742048899999993,8.0,False
8,1.910909547805786,0.272,1.8362456176757813,0.3033,10,28.742048900000007,28.742048899999993,8.0,False
9,1.8896028170585633,0.2826,1.8377846933364868,0.2939,10,28.742048900000007,28.742048899999993,8.0,False
10,1.8694526264190674,0.285,1.7792688999176025,0.3132,10,28.742048900000007,28.742048899999993,8.0,False
11,1.8352851448059082,0.3112,1.7576475357055663,0.33,10,28.742048900000007,28.742048899999993,8.0,False
12,1.8162796742439271,0.3054,1.7359781608581544,0.3396,10,28.742048900000007,28.742048899999993,8.0,False
13,1.811989420890808,0.3022,1.730009878540039,0.339,10,28.742048900000007,28.742048899999993,8.0,False
14,1.7880998642921448,0.32,1.678989719772339,0.3577,10,28.742048900000007,28.742048899999993,8.0,False
15,1.7524318139076234,0.3314,1.6832133050918578,0.3713,10,28.742048900000007,28.742048899999993,8.0,False
16,1.7072963225364686,0.3534,1.8207916019439698,0.337,10,28.742048900000007,28.742048899999993,8.0,False
17,1.7504695886611938,0.3442,1.6799295362472535,0.3732,10,28.742048900000007,28.742048899999993,8.0,False
18,1.7261785808563233,0.3484,1.654123053741455,0.3743,10,28.742048900000007,28.742048899999993,8.0,False
19,1.674709261703491,0.3606,1.5933494621276856,0.4009,10,28.742048900000007,28.742048899999993,8.0,False
20,1.692268747138977,0.36,1.63122080078125,0.388,10,28.742048900000007,28.742048899999993,8.0,False
21,1.662089151096344,0.3724,1.5948677089691161,0.4039,10,28.742048900000007,28.742048899999993,8.0,False
22,1.671400246143341,0.368,1.5904982509613037,0.3998,10,28.742048900000007,28.742048899999993,8.0,False
23,1.6395529943466187,0.378,1.628814221572876,0.3852,10,28.742048900000007,28.742048899999993,8.0,False
24,1.6694839728355408,0.3732,1.5750554975509643,0.4132,10,28.742048900000007,28.742048899999993,8.0,False
25,1.6344668082237244,0.3828,1.5459751934051513,0.4235,10,28.742048900000007,28.742048899999993,8.0,False
26,1.5951444853782655,0.3982,1.5156160961151124,0.4339,10,28.742048900000007,28.742048899999993,8.0,False
27,1.597243385028839,0.4,1.5896509601593019,0.4059,10,28.742048900000007,28.742048899999993,8.0,False
28,1.5910706413269042,0.3974,1.483835004043579,0.4475,10,28.742048900000007,28.742048899999993,8.0,False
29,1.5841727199554443,0.401,1.50951920337677,0.4412,10,28.742048900000007,28.742048899999993,8.0,False
30,1.5658460261344909,0.4122,1.4475159879684447,0.4589,10,28.742048900000007,28.742048899999993,8.0,False
31,1.5502217321395875,0.4126,1.504057100868225,0.4384,10,28.742048900000007,28.742048899999993,8.0,False
