round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,1.5937406592369079,0.4782,2.662579210662842,0.1,10,False
2,2.0296303649425504,0.4052,2.6052618560791014,0.1641,10,False
3,2.1067389183521272,0.4232,3.603961074066162,0.1,10,False
4,2.2257979644298556,0.412,3.1295317832946776,0.1442,10,False
5,1.806115104007721,0.473,3.034775975227356,0.1717,10,False
6,2.009042061662674,0.3806,3.1397505989074705,0.1523,10,False
7,1.7418550473213197,0.4804,3.3618826179504393,0.1837,10,False
8,1.714819688653946,0.4806,2.3592881107330324,0.1996,10,False
9,1.4653502849578857,0.5416,2.1705899024963378,0.1848,10,False
10,1.6476444675922395,0.4614,2.308969108200073,0.1712,10,False
11,1.5705927326202394,0.4396,2.4044145767211913,0.1679,10,False
12,1.6679638864994049,0.4786,2.783330084991455,0.2038,10,False
13,1.6866363945484162,0.4782,2.443237010192871,0.2337,10,False
14,1.5303865294557064,0.517,2.13797670249939,0.1922,10,False
15,1.479257092142105,0.5294,2.097281364250183,0.2415,10,False
16,1.4493850240707398,0.5284,2.3326426706314085,0.1767,10,False
17,1.5790357392311096,0.4656,2.562575791168213,0.1755,10,False
18,1.7402501816749574,0.4024,2.2513372524261475,0.2381,10,False
19,1.5786969522714616,0.5202,2.136542175292969,0.2056,10,False
20,1.595584662914276,0.4934,2.146369596672058,0.196,10,False
21,1.6141021976470946,0.4736,2.1568259124755857,0.1899,10,False
22,1.5120953391075134,0.5124,2.0533626415252684,0.1974,10,False
23,1.567556634426117,0.4656,2.1136582935333252,0.2357,10,False
24,1.4410745111882686,0.5326,2.209487475204468,0.2233,10,False
25,1.6731741344451905,0.456,2.158624642944336,0.2134,10,False
26,1.3965554308891297,0.538,2.0074987216949465,0.2382,10,False
27,1.5259529479026794,0.4946,2.0333001903533936,0.2579,10,False
28,1.4600791553020478,0.5136,2.104360008239746,0.2106,10,False
29,1.4810617271900177,0.4976,2.0629738132476807,0.2031,10,False
30,1.569074005651474,0.434,2.0185363651275634,0.2615,10,False
31,1.5762679287910462,0.4668,2.0380086776733397,0.218,10,False
32,1.475706742286682,0.5106,2.4392329120635985,0.1985,10,False
33,1.5993075060844422,0.496,2.0427081535339355,0.2392,10,False
34,1.4842844721794128,0.4934,2.0960434314727783,0.2017,10,False
35,1.5290839043140412,0.4874,2.3869965265274047,0.2229,10,False
36,1.5784865732431412,0.487,2.0931330547332765,0.1899,10,False
37,1.5326830553054809,0.4942,1.8639796554565429,0.2674,10,False
38,1.3268620960235595,0.5684,2.0591815925598143,0.2139,10,False
39,1.6194344321727752,0.451,2.449511846923828,0.1832,10,False
40,1.6775308452129365,0.4474,2.099615534591675,0.2267,10,False
41,1.3666501924991608,0.5794,2.0485908988952635,0.2579,10,False
42,1.4737385169506072,0.5102,2.1179712867736815,0.2212,10,False
43,1.7540289818763732,0.4152,2.463341304588318,0.2108,10,False
44,1.852935679769516,0.4284,1.8763534048080444,0.2707,10,False
45,1.394007717180252,0.516,1.7595653968811036,0.3005,10,False
46,1.328011837911606,0.5576,1.757647791671753,0.3134,10,False
47,1.4376397085294128,0.5228,1.9728369987487793,0.2311,10,False
48,1.4281211977958679,0.5008,1.7887952192306518,0.3051,10,False
49,1.4417508833885193,0.517,1.8512435558319091,0.2789,10,False
50,1.326591244149208,0.5606,1.7037222789764404,0.3221,10,False
51,1.3413328549984842,0.54,1.8181275871276856,0.323,10,False
52,1.410919716501236,0.5136,1.8293121728897095,0.2915,10,False
53,1.489340114736557,0.5074,1.7655498485565186,0.3131,10,False
54,1.2550247249603272,0.5968,1.732849333190918,0.3349,10,False
55,1.413849757385254,0.5128,1.8123703317642212,0.3026,10,False
56,1.3871195495128632,0.5152,1.6994489112854003,0.3414,10,False
57,1.350171792936325,0.5494,1.890519144821167,0.2607,10,False
58,1.452753939294815,0.5032,1.7489518665313721,0.3222,10,False
59,1.3766069721460343,0.5414,1.8229097480773926,0.3468,10,False
60,1.2610757014274596,0.5822,1.8334582479476929,0.3117,10,False
61,1.314570006120205,0.5444,1.8265429691314696,0.2909,10,False
62,1.312123426437378,0.548,1.8874870552062988,0.2504,10,False
63,1.2452745777130128,0.5698,1.8482900356292724,0.3279,10,False
64,1.390738454914093,0.505,1.8549722980499268,0.3245,10,False
65,1.3163692963600158,0.5582,1.8557558855056762,0.2982,10,False
66,1.4220478573322297,0.5212,1.7509885913848877,0.3207,10,False
67,1.4021721873760224,0.5334,1.7629117877960205,0.3145,10,False
68,1.517892276620865,0.4698,1.7395831169128417,0.336,10,False
69,1.3808981563568115,0.5292,1.7373218435287476,0.3161,10,False
70,1.4041784385442733,0.5242,1.7345396011352539,0.3326,10,False
71,1.3791061347961426,0.5224,2.2642864696502687,0.2378,10,False
72,1.4750558393001556,0.5098,1.7009822519302369,0.3566,10,False
73,1.2445420649528502,0.5872,1.6743160758972169,0.3379,10,False
74,1.2395339657306672,0.5602,1.8419507902145387,0.2824,10,False
75,1.3621096229076386,0.5438,2.1220786758422854,0.2978,10,False
76,1.534600478744507,0.509,1.8936171056747437,0.2677,10,False
77,1.4584076573371887,0.4686,1.7181369729995728,0.3373,10,False
78,1.277906158697605,0.573,1.8106298667907714,0.3285,10,False
79,1.498103900909424,0.4732,1.7726528553009033,0.3392,10,False
80,1.384721708226204,0.5294,1.7902532787322998,0.3074,10,False
81,1.3731928398132325,0.5318,1.6591237949371338,0.3666,10,False
82,1.2324836808919906,0.5848,1.603885700416565,0.4053,10,False
83,1.3374202377319335,0.5504,1.6918399368286132,0.3596,10,False
84,1.2824419058799743,0.5602,1.7187712543487548,0.3203,10,False
85,1.4294097269535064,0.514,1.9967884155273437,0.3102,10,False
86,1.370594924020767,0.526,1.8534481338500977,0.3207,10,False
87,1.3983527915000915,0.5398,1.7091186506271363,0.3272,10,False
88,1.3354040318489075,0.5424,1.5465823211669922,0.4309,10,False
89,1.3205396474838256,0.554,1.5989555616378783,0.3792,10,False
90,1.2267584994792937,0.5816,1.6120492164611817,0.3659,10,False
91,1.3127805217504502,0.5342,1.6160218133926392,0.3822,10,False
92,1.2359640189647674,0.59,1.6578441097259522,0.3327,10,False
93,1.1610077885389327,0.6216,1.6734985904693604,0.3601,10,False
94,1.2933880911231042,0.5794,1.6149157485961914,0.3812,10,False
95,1.2712385572433471,0.5798,1.801849439430237,0.2982,10,False
96,1.2855714637756348,0.5912,1.7335292999267577,0.3513,10,False
97,1.2499878103494644,0.5734,1.6828829038619995,0.3329,10,False
98,1.2213970622062682,0.5936,1.7814960243225098,0.3115,10,False
99,1.3090460554122925,0.5532,1.5064004653930665,0.4488,10,False
