round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,2.350992046928406,0.118,2.262250113296509,0.1442,10,8.0,0.29939875922414944,6.455810364667039,False
2,2.296435961151123,0.1448,2.217665993499756,0.192,10,8.0,0.44069531249710603,9.444093632361138,False
3,2.213883473968506,0.1678,2.1530131828308106,0.2144,10,8.0,0.6129241477323788,9.756366669514623,False
4,2.1665261661529542,0.1904,2.1290151416778564,0.1994,10,8.0,0.9398152278837462,16.719279346246108,False
5,2.1150609112739565,0.202,2.132671427154541,0.2091,10,8.0,1.3044431266238803,24.619025163423085,False
6,2.155890482234955,0.1908,2.015552488708496,0.2202,10,8.0,1.6428626301330282,17.108402216620117,False
7,2.06876818819046,0.2076,1.9578070119857789,0.2319,10,8.0,2.067795478384021,12.176088510344233,False
8,2.046932342338562,0.2298,1.9594525909423828,0.2621,10,8.0,2.3006659329173407,19.203471581767733,False
9,2.044554886341095,0.2284,1.9386313537597657,0.2599,10,8.0,2.5555073614229555,19.43214476029282,False
10,2.059615396499634,0.229,1.9489672801971436,0.2524,10,8.0,2.5296857014962963,23.438873112485,False
11,2.075310830783844,0.2374,1.977018571472168,0.2433,10,8.0,2.6909343275868314,42.22665197911668,False
12,2.1349405744552614,0.2238,8.255256526947022,0.1225,10,8.0,3.6823708894974905,78.69641572417711,False
13,2.2574697061538695,0.234,2.203831200218201,0.2209,10,8.0,4.322430558512599,52.70506965632029,False
14,2.129884328174591,0.2466,2.431929976272583,0.1818,10,8.0,5.942066810507692,55.15833069945198,False
15,2.1418795882225035,0.2472,2.3398076778411867,0.2201,10,8.0,6.126420144516879,63.81134879726435,False
16,2.1012281114578246,0.266,2.8644773162841797,0.2023,10,8.0,7.565673229826618,95.50091494278075,False
17,2.189201653289795,0.2524,2.3506580642700197,0.2381,10,8.0,9.754299822950468,100.4275711445735,False
18,2.1700524191856383,0.261,2.9015290546417236,0.1299,10,8.0,11.498521150867843,151.20741271441972,False
