round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,run_completed
1,1.700334280204773,0.4444,4.89892505645752,0.1186,10,False
2,1.6914071523189544,0.4882,2.214623044204712,0.1832,10,False
3,1.3180820556222608,0.5788,2.237712016105652,0.2209,10,False
4,1.445181209754944,0.5536,3.411901276397705,0.2138,10,False
5,1.367744665455818,0.5452,2.609610679244995,0.2625,10,False
6,1.3594427259922028,0.6246,3.12052536277771,0.1767,10,False
7,1.3205159192562104,0.5702,2.437171451950073,0.2337,10,False
8,1.418803106689453,0.5398,2.0113478998184204,0.3397,10,False
9,1.3016575904369354,0.596,1.998530544281006,0.3258,10,False
10,1.2163809878826142,0.5998,1.7440046245574952,0.3636,10,False
11,1.3014003468990325,0.58,1.8386182886123656,0.3255,10,False
12,1.3910637598991393,0.5466,1.9609210273742677,0.3423,10,False
13,1.23938326690197,0.592,1.8455475898742675,0.3293,10,False
14,1.3464872347831727,0.551,1.754837014770508,0.3621,10,False
15,1.184431826877594,0.6178,1.7442706550598144,0.3731,10,False
16,1.087518020220028,0.6542,1.577598723602295,0.41,10,False
17,1.187614064860344,0.6038,1.4927774589538574,0.4384,10,False
18,1.21796253221035,0.5734,1.4560975151062012,0.4541,10,False
19,1.1092571653842926,0.6148,1.508758888244629,0.4348,10,False
20,1.1658016461372376,0.6298,1.5469138381958007,0.4229,10,False
21,1.1394264039516449,0.6208,1.4753124404907227,0.447,10,False
22,1.1100408253908158,0.6368,1.4891750562667847,0.4325,10,False
23,1.1179394703149796,0.622,1.4367633430480957,0.4579,10,False
24,1.0429337842464448,0.6558,1.4066554405212401,0.4707,10,False
25,1.1051763288497924,0.6454,1.4460572444915771,0.4489,10,False
26,1.0953852238178252,0.6258,1.5231019309997558,0.4255,10,False
27,1.0429228535175323,0.6508,1.4010096981048583,0.4814,10,False
28,1.0333600179195404,0.6632,1.3400634130477904,0.5109,10,False
29,1.0267488840937615,0.6762,1.4011824577331542,0.477,10,False
30,0.9512710729956627,0.7074,1.5057530614852905,0.4512,10,False
31,0.997935061120987,0.6678,1.4450005977630616,0.4689,10,False
32,1.1132574051380157,0.6336,1.4341066844940185,0.4724,10,False
33,1.144924047446251,0.6092,1.4015373580932617,0.475,10,False
34,1.0674568732500076,0.648,1.412320569038391,0.4801,10,False
35,0.9867459048493576,0.6686,1.4823185001373291,0.456,10,False
36,1.0022107115983963,0.6718,1.4094998769760132,0.4699,10,False
37,1.0970054600715637,0.6448,1.3687336894989013,0.481,10,False
38,0.9573146037514833,0.6956,1.3681022499084472,0.4853,10,False
39,1.073426612854004,0.6518,1.291119846534729,0.5315,10,False
40,1.045817905394169,0.6558,1.2576325481414794,0.5385,10,False
41,0.9609105452299118,0.6768,1.307291326713562,0.5092,10,False
42,0.9908802671194077,0.6908,1.383213484764099,0.4835,10,False
43,0.9999741487979888,0.674,1.3576974948883056,0.5081,10,False
44,0.9589647784948349,0.6766,1.2941087448120117,0.523,10,False
