round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,run_completed
1,4.058062452230745,0.04238980187375211,nan,nan,20,6511,False
2,3.789397484723224,0.05473584007615421,nan,nan,20,6303,False
3,3.777499346051471,0.05708476696903347,nan,nan,20,6394,False
4,3.780238598684961,0.057584941776997925,nan,nan,20,6269,False
5,3.766718383257295,0.06396353921106396,nan,nan,20,6363,False
6,3.726426343768055,0.06611817501869859,nan,nan,20,6685,False
7,3.672406448108568,0.07451042827575227,nan,nan,20,6281,False
8,3.6631181407462003,0.06740276862228081,nan,nan,20,6068,False
9,3.687462885700762,0.071866203013744,nan,nan,20,6039,False
10,3.6519001086291882,0.07899264820897857,3.685506724165062,0.0696873941993003,20,6393,False
11,3.6085110710312924,0.0921875,nan,nan,20,5760,False
12,3.584282298310518,0.10190983093299938,nan,nan,20,6388,False
13,3.5034251213447427,0.12210031347962383,nan,nan,20,6380,False
14,3.414358759779971,0.15559975520195837,nan,nan,20,6536,False
15,3.2899307408227507,0.1706016755521706,nan,nan,20,6565,False
16,3.225339853021569,0.19248826291079812,nan,nan,20,6603,False
17,3.1156716354365237,0.23728813559322035,nan,nan,20,6254,False
18,3.0144602066270343,0.26009986382206085,nan,nan,20,6609,False
19,2.9060346222219313,0.2975987606506584,nan,nan,20,6455,False
20,2.7065172139212614,0.3293507310171357,2.8178070193689897,0.33754655230786595,20,6361,False
21,2.6777870485042596,0.33239576439444074,nan,nan,20,6044,False
22,2.641028834117278,0.32778625954198476,nan,nan,20,6550,False
23,2.5955524967050474,0.3367622259696459,nan,nan,20,5930,False
24,2.5785245464346502,0.32939565142954974,nan,nan,20,5841,False
25,2.3837504817482844,0.3920684292379471,nan,nan,20,6430,False
26,2.3176664598765995,0.38854371874526444,nan,nan,20,6599,False
27,2.3020098819729693,0.4019943907759427,nan,nan,20,6418,False
28,2.271658248400185,0.3998004323964743,nan,nan,20,6013,False
29,2.1162255006223316,0.4402746726285532,nan,nan,20,6262,False
30,2.1542898993013586,0.4270867164663852,2.1144436977878542,0.4529398487755332,20,6158,False
31,2.0031381879218118,0.4676155445386215,nan,nan,20,6253,False
32,2.019889526220394,0.47344384303112313,nan,nan,20,5912,False
33,1.957029280258734,0.47477835524304496,nan,nan,20,6542,False
34,1.860564580928738,0.5051913838524718,nan,nan,20,6453,False
35,1.8352470933979428,0.5034527059579251,nan,nan,20,6227,False
36,1.665061423471632,0.5467580054166002,nan,nan,20,6277,False
37,1.7536178043137107,0.5253185233583796,nan,nan,20,6122,False
38,1.4563312802844497,0.6044618631293337,nan,nan,20,6634,False
39,1.4786475765846663,0.5974554707379135,nan,nan,20,5895,False
40,1.5893746641483237,0.5658855751673767,1.6724104516030758,0.5486965353797539,20,6572,False
41,1.4555042208705595,0.6073712554695389,nan,nan,20,5942,False
42,1.5767497872745468,0.5662746344564527,nan,nan,20,6292,False
43,1.5128653425587666,0.5913499761488313,nan,nan,20,6289,False
44,1.3971706476599002,0.6168946098149638,nan,nan,20,6215,False
45,1.3410469470883646,0.6308118350094738,nan,nan,20,6861,False
46,1.2721208391599221,0.647487715961325,nan,nan,20,6309,False
47,1.4029616562481302,0.6165236412586236,nan,nan,20,5943,False
48,1.413786452147508,0.6192949323260938,nan,nan,20,6354,False
49,1.305834641789156,0.6439117595970123,nan,nan,20,5757,False
50,1.2205899911357405,0.669798027242837,1.3559609505463206,0.6295564834668773,20,6387,False
51,1.2622377124300619,0.6514331210191083,nan,nan,20,6280,False
52,1.1379472448478483,0.6933638443935927,nan,nan,20,6555,False
53,1.2791502633578824,0.6486131626456589,nan,nan,20,6093,False
54,1.1594662198084842,0.6856786660433224,nan,nan,20,6417,False
55,1.1462645693162117,0.6978438661710037,nan,nan,20,6725,False
56,1.1078890566909037,0.6829190056134723,nan,nan,20,6235,False
57,1.1316832856286687,0.691032039929158,nan,nan,20,6211,False
58,1.131929296441825,0.6878714859437751,nan,nan,20,6225,False
59,1.0242234312359688,0.7106172839506173,nan,nan,20,6075,False
60,1.106991764318628,0.6861381548446917,1.1435022843286315,0.6801151111612684,20,6471,False
61,0.9884754933770649,0.7228476296178848,nan,nan,20,6307,False
62,1.004495732625646,0.7125806451612903,nan,nan,20,6200,False
63,1.001895274086905,0.7198159606536569,nan,nan,20,6303,False
64,0.968611350301209,0.7253960633701392,nan,nan,20,6249,False
65,0.9551473160118666,0.7310552407932012,nan,nan,20,5648,False
66,0.9349746019984425,0.7438966012446147,nan,nan,20,6267,False
67,0.8956439355111149,0.7481100209104069,nan,nan,20,6217,False
68,0.9204462239708733,0.7425373134328358,nan,nan,20,6432,False
69,0.8317794065085203,0.7638998267443692,nan,nan,20,6349,False
70,0.8785447057029697,0.7568120963931327,0.9667844957859248,0.725877440469473,20,6349,False
71,0.9035113893466242,0.7411917519077772,nan,nan,20,6159,False
72,0.8550317365909897,0.7524399690162664,nan,nan,20,6455,False
73,0.8719352675462715,0.7523779822236083,nan,nan,20,6413,False
74,0.883920078262698,0.7483724451173354,nan,nan,20,6605,False
75,0.8155723398772191,0.7653346489064299,nan,nan,20,6081,False
76,0.807395409273814,0.7661044176706827,nan,nan,20,6225,False
77,0.7814991580435076,0.7724105163129553,nan,nan,20,6314,False
78,0.7768843397661265,0.7755708476696903,nan,nan,20,6394,False
79,0.8635733557271327,0.7485704950171541,nan,nan,20,6121,False
80,0.7746498286531226,0.782559456398641,0.8456884025114813,0.7586051235752173,20,6181,False
81,0.6902538142806415,0.7998024366150807,nan,nan,20,6074,False
82,0.7593466544798468,0.7811768639251087,nan,nan,20,5982,False
83,0.6964686852225963,0.8043345543345544,nan,nan,20,6552,False
84,0.7754415955722341,0.7774612219056664,nan,nan,20,6318,False
85,0.6896637317007261,0.8010973936899863,nan,nan,20,6561,False
86,0.7438387140711136,0.783249686323714,nan,nan,20,6376,False
87,0.6924748332998926,0.8022889368054403,nan,nan,20,6029,False
88,0.6907461118006855,0.7957136342909257,nan,nan,20,6579,False
89,0.6861267095000257,0.7965241464164873,nan,nan,20,6502,False
90,0.7780827666000156,0.7786548265087979,0.7490802101001367,0.7785238686378513,20,6081,False
91,0.691645045443185,0.7983034872761545,nan,nan,20,6366,False
92,0.7382311405463702,0.7834342772957931,nan,nan,20,6109,False
93,0.6957691604516808,0.795632333767927,nan,nan,20,6136,False
94,0.659459666999707,0.8070365778053317,nan,nan,20,6452,False
95,0.7035558547239753,0.7961330239752513,nan,nan,20,6465,False
96,0.6612096879913638,0.808679706601467,nan,nan,20,6544,False
97,0.6992006331438723,0.7934640522875817,nan,nan,20,6120,False
98,0.5811372565394785,0.8228223283385476,nan,nan,20,6073,False
99,0.6662578436477882,0.7994200921030189,nan,nan,20,5863,False
100,0.6580766469364159,0.8059900166389351,0.6787176761679934,0.8010382575330098,20,6010,False
101,0.654802169344249,0.8143499147683249,nan,nan,20,6453,False
102,0.6063509184228179,0.8260517799352751,nan,nan,20,6180,False
103,0.584165541760362,0.8298441681095545,nan,nan,20,6353,False
104,0.5908438347526611,0.8240024744819053,nan,nan,20,6466,False
105,0.5978313888894374,0.8239458779106357,nan,nan,20,6356,False
106,0.5855225621041183,0.8268292682926829,nan,nan,20,6560,False
107,0.6050115127256381,0.8248056994818653,nan,nan,20,6176,False
108,0.6256821966635795,0.8152226720647773,nan,nan,20,6175,False
109,0.554384287249735,0.8289008455034589,nan,nan,20,6505,False
110,0.502564909706633,0.848219674109837,0.6163402622042842,0.813960049655795,20,6628,False
111,0.6284387242164036,0.814687714481812,nan,nan,20,5828,False
112,0.5540609576498782,0.8355328274496866,nan,nan,20,6062,False
113,0.6100971556528112,0.8181965355350493,nan,nan,20,6177,False
114,0.5890158885101449,0.8253968253968254,nan,nan,20,6111,False
115,0.5629647398809375,0.8300083822296731,nan,nan,20,5965,False
116,0.5537728208375264,0.8371987951807229,nan,nan,20,6640,False
117,0.5779791418592917,0.8314838300570704,nan,nan,20,6308,False
118,0.5046331385228339,0.8493545937737281,nan,nan,20,6585,False
119,0.5957525874979335,0.8209152486370395,nan,nan,20,6053,False
120,0.5908342503278814,0.8263083948015455,0.5721024450323757,0.8300981830493173,20,5694,False
121,0.516703979294194,0.8423768308921438,nan,nan,20,6008,False
122,0.4330298618067232,0.862576303020817,nan,nan,20,6389,False
123,0.539080439234055,0.8313576734629367,nan,nan,20,6327,False
124,0.5880551009529793,0.8274390243902439,nan,nan,20,6560,False
125,0.5372649428465069,0.841246290801187,nan,nan,20,6066,False
126,0.46111193263415967,0.8626115902557119,nan,nan,20,6609,False
127,0.5630508133494193,0.8331145388907122,nan,nan,20,6094,False
128,0.558507001708905,0.8387425658453695,nan,nan,20,5885,False
129,0.464172201437688,0.8551000953288846,nan,nan,20,6294,False
130,0.5167040929869742,0.8373371015858062,0.5532219874214446,0.834330211037129,20,6369,False
131,0.5800586677901055,0.8298044286406983,nan,nan,20,6187,False
132,0.5066155408904959,0.8437308868501529,nan,nan,20,6540,False
133,0.5809552356998126,0.8326666666666667,nan,nan,20,6000,False
134,0.4882213536728757,0.8511099983308296,nan,nan,20,5991,False
135,0.5222243436011069,0.8425463336019339,nan,nan,20,6205,False
136,0.40794900648867294,0.867758749069248,nan,nan,20,6715,False
137,0.4534301869759573,0.8579589316041377,nan,nan,20,6477,False
138,0.5426724037281685,0.8387827775979282,nan,nan,20,6178,False
139,0.507174770656754,0.8383193277310924,nan,nan,20,5950,False
140,0.4648510517520024,0.8573692551505546,0.5113925691410242,0.8475341383591016,20,6310,False
141,0.43378402800373095,0.8734021253657785,nan,nan,20,6493,False
142,0.48515437026140074,0.8504088504088504,nan,nan,20,6237,False
143,0.5006356430829912,0.8437299035369775,nan,nan,20,6220,False
144,0.4411152619262432,0.8643446379468378,nan,nan,20,6546,False
145,0.529417896999237,0.8360123396655301,nan,nan,20,6159,False
146,0.47989041313359543,0.8533953179478665,nan,nan,20,6023,False
147,0.4804003103253104,0.8547512755102041,nan,nan,20,6272,False
148,0.42540832504441395,0.8715272448196469,nan,nan,20,6515,False
149,0.4880662383336451,0.8544670976297033,nan,nan,20,6033,False
150,0.44185619484084593,0.8618680107103481,0.48128167325844146,0.8565624647331,20,6349,False
151,0.3941145123048251,0.8766047424860293,nan,nan,20,6621,False
152,0.4325893542887739,0.8673851921274601,nan,nan,20,6402,False
153,0.4453022458570146,0.8608709079678815,nan,nan,20,6476,False
154,0.5098784739965,0.8459302325581395,nan,nan,20,6192,False
155,0.4504033805615766,0.8696095571095571,nan,nan,20,6864,False
156,0.49856595754839744,0.8551701463093868,nan,nan,20,6083,False
157,0.4218753649960368,0.8719021564209849,nan,nan,20,6214,False
158,0.44965517155872137,0.8611947393440025,nan,nan,20,6311,False
159,0.48557648395310576,0.8541766490975883,nan,nan,20,6261,False
160,0.4849098237946255,0.8471983767754019,0.458607248111848,0.860117368242862,20,6407,False
161,0.41618505903046865,0.8663076923076923,nan,nan,20,6500,False
162,0.4698193292093045,0.8628386437212472,nan,nan,20,5869,False
163,0.40270017108531553,0.8738049713193117,nan,nan,20,6276,False
164,0.3760035804635842,0.8781329731352244,nan,nan,20,6663,False
165,0.4872759253373976,0.8532724008487025,nan,nan,20,6127,False
166,0.4430384269694183,0.872575303579877,nan,nan,20,6341,False
167,0.41064529134353345,0.8754561320006347,nan,nan,20,6303,False
168,0.4522502084702341,0.8695009848982271,nan,nan,20,6092,False
169,0.4094773103896187,0.8718572587185726,nan,nan,20,6165,False
170,0.46603879861642955,0.8625123639960435,0.45170509746604465,0.862769439115224,20,6066,False
171,0.46660187894586097,0.8508313539192399,nan,nan,20,6315,False
172,0.4471296834437061,0.8616440492902824,nan,nan,20,6411,False
173,0.3882741139649282,0.8832424006235385,nan,nan,20,6415,False
174,0.45282341869316056,0.868517049960349,nan,nan,20,6305,False
175,0.4169488250035406,0.8660913554530576,nan,nan,20,6721,False
176,0.43323010490854114,0.8672594474436329,nan,nan,20,6298,False
177,0.3756475089747305,0.881139489194499,nan,nan,20,6108,False
178,0.3522257830025625,0.8847318994244169,nan,nan,20,6602,False
