round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,run_completed
1,4.017382596782175,0.05676578152329464,nan,nan,20,6289,False
2,3.799085267678373,0.05703546331099853,nan,nan,20,6119,False
3,3.87995445509243,0.04868855033767865,nan,nan,20,6367,False
4,3.7742165583097513,0.05436991869918699,nan,nan,20,5904,False
5,3.826019708308903,0.06505421184320268,nan,nan,20,5995,False
6,3.729103228102924,0.06443257244617127,nan,nan,20,6177,False
7,3.7969116055492114,0.061244172962546216,nan,nan,20,6221,False
8,3.727091340134278,0.06456926371273267,nan,nan,20,6071,False
9,3.714502871464031,0.06912864336944911,nan,nan,20,6553,False
10,3.7143813319597734,0.05812291567413054,3.715180782819222,0.056427039837490124,20,6297,False
11,3.692903995891938,0.06849532265736483,nan,nan,20,6307,False
12,3.6963381701857676,0.07188841201716738,nan,nan,20,6524,False
13,3.704291200667238,0.062316828628721274,nan,nan,20,6483,False
14,3.656028818607402,0.07111712524432416,nan,nan,20,6651,False
15,3.6946916649526815,0.08253824019385128,nan,nan,20,6603,False
16,3.620796974473542,0.0982072029192448,nan,nan,20,6303,False
17,3.5608547768249035,0.1268025078369906,nan,nan,20,6380,False
18,3.4902825480311677,0.15328467153284672,nan,nan,20,6439,False
19,3.363738283002609,0.16621771510061797,nan,nan,20,6311,False
20,3.177506296338603,0.2032319114863881,3.0421643653473995,0.2764924952037016,20,6869,False
21,2.9332362077656406,0.25681405208964264,nan,nan,20,6604,False
22,2.7437490779450293,0.2910667285957579,nan,nan,20,6459,False
23,2.586361415190537,0.35030395136778114,nan,nan,20,6580,False
24,2.3636999099036498,0.3911671924290221,nan,nan,20,6340,False
25,2.214194514017087,0.4192938209331652,nan,nan,20,6344,False
26,2.0742246515467575,0.45335617505061515,nan,nan,20,6421,False
27,1.955846050113952,0.47677968825325406,nan,nan,20,6223,False
28,1.718181128164819,0.5430663907021175,nan,nan,20,6281,False
29,1.7332652043940704,0.5370400389041984,nan,nan,20,6169,False
30,1.7284021759500843,0.5404441562651969,1.6929478441642432,0.5591355377496896,20,6169,False
31,1.4877499026119663,0.6038431975403535,nan,nan,20,6505,False
32,1.4915449009552362,0.6002933029167346,nan,nan,20,6137,False
33,1.3764360429285227,0.6316038479735058,nan,nan,20,6341,False
34,1.2572692687909344,0.6560203928624981,nan,nan,20,6669,False
35,1.2512193545167205,0.6576546130449477,nan,nan,20,5918,False
36,1.1710419206984046,0.6799163179916318,nan,nan,20,6214,False
37,1.0177824350090285,0.708220271348763,nan,nan,20,6265,False
38,1.0189534770103361,0.7090112640801002,nan,nan,20,6392,False
39,0.9308584528093864,0.7351553603383765,nan,nan,20,6147,False
40,0.8663215726539047,0.7491354919836529,1.024013705426341,0.711149983071888,20,6362,False
41,0.9351601473393233,0.7381914232442511,nan,nan,20,6436,False
42,0.8224117222593286,0.756853203568532,nan,nan,20,6165,False
43,0.8944111500194489,0.744822256568779,nan,nan,20,6470,False
44,0.8195790898112099,0.7657657657657657,nan,nan,20,6327,False
45,0.8305292528777304,0.7603545253110618,nan,nan,20,5867,False
46,0.7311609018256419,0.7812208034880099,nan,nan,20,6422,False
47,0.7276689365060789,0.788356485094428,nan,nan,20,6407,False
48,0.6820430497060475,0.7933051673708157,nan,nan,20,6154,False
49,0.7107889344420253,0.7900623102732066,nan,nan,20,6259,False
50,0.6272867701745793,0.8161616161616162,0.7274417757597832,0.7882293194898996,20,6435,False
51,0.7048285199549733,0.7903673469387755,nan,nan,20,6125,False
52,0.5800810043718768,0.8238878732480195,nan,nan,20,6564,False
53,0.6099032312650153,0.8212521905368807,nan,nan,20,6277,False
54,0.5347126623594523,0.8450283196979232,nan,nan,20,6356,False
55,0.4769040306696436,0.8556173860730937,nan,nan,20,6649,False
56,0.5556011129990753,0.8373649779400578,nan,nan,20,6573,False
57,0.6837842101397831,0.8010366159505099,nan,nan,20,5981,False
58,0.5635271458165301,0.8313835595070972,nan,nan,20,6411,False
59,0.5562694674069266,0.8320074871314928,nan,nan,20,6411,False
60,0.5690677319735202,0.8345818682158691,0.5836479685777682,0.8232140841891434,20,6541,False
61,0.5998132581407335,0.822452229299363,nan,nan,20,6280,False
62,0.47918382942190313,0.8554216867469879,nan,nan,20,6225,False
63,0.519137886435975,0.8443561208267091,nan,nan,20,6290,False
64,0.5644734138900411,0.827552515876893,nan,nan,20,6141,False
65,0.5528732684276121,0.8374699759807847,nan,nan,20,6245,False
66,0.4334830422126978,0.8660700509180682,nan,nan,20,6481,False
67,0.4260884477642178,0.8649161657703258,nan,nan,20,6322,False
68,0.4854065375272909,0.8540566490638503,nan,nan,20,6249,False
69,0.4837337347893229,0.8544926601064687,nan,nan,20,6199,False
70,0.4993099001267851,0.8422015297638843,0.5170841278522389,0.8429635481322649,20,6014,False
71,0.5253263767437443,0.8454602973742487,nan,nan,20,6322,False
72,0.472899624496599,0.858662855327934,nan,nan,20,6297,False
73,0.41216619234510415,0.8722784421956455,nan,nan,20,6522,False
74,0.49603678827376313,0.848402987446369,nan,nan,20,6293,False
75,0.4370962072742585,0.8666891095775122,nan,nan,20,5941,False
76,0.5009442725458231,0.841419732985998,nan,nan,20,6142,False
77,0.4060492668645476,0.8714030238985531,nan,nan,20,6151,False
78,0.4382325302839895,0.8673554407598734,nan,nan,20,6001,False
79,0.42771664148469013,0.8639782365178429,nan,nan,20,6249,False
80,0.42132025445961646,0.8740595354923127,0.4797212808816404,0.8540796749802505,20,6114,False
81,0.43049236868959817,0.8629491139652089,nan,nan,20,6151,False
82,0.45767752290730884,0.8652254686708326,nan,nan,20,5921,False
83,0.4483026928289656,0.8614657210401891,nan,nan,20,6345,False
84,0.3999054113694922,0.8675583102267167,nan,nan,20,6131,False
85,0.3517564943686794,0.8853380440019271,nan,nan,20,6227,False
86,0.4263816614257828,0.8693404355318816,nan,nan,20,6383,False
87,0.424014156172045,0.8645346206064263,nan,nan,20,6629,False
88,0.47144353967603053,0.8549075391180654,nan,nan,20,6327,False
89,0.4207451129830689,0.8652392947103275,nan,nan,20,6352,False
90,0.3942859290967634,0.8716300940438871,0.45031548776014196,0.8619794605574992,20,6380,False
91,0.4273087235284919,0.8695442100177162,nan,nan,20,6209,False
92,0.37188030286707396,0.8779639582674676,nan,nan,20,6326,False
93,0.3767294645219239,0.8786044288672933,nan,nan,20,6277,False
94,0.37649601845635283,0.8751625487646294,nan,nan,20,6152,False
95,0.40811422931691427,0.8677119059284665,nan,nan,20,6123,False
96,0.3643095260453294,0.8858029733703643,nan,nan,20,6121,False
97,0.40972050342210575,0.8726283048211508,nan,nan,20,6430,False
98,0.40533729773686034,0.8712494046674075,nan,nan,20,6299,False
99,0.3620325721855497,0.8837393229990509,nan,nan,20,6322,False
100,0.3707510002550285,0.8853158326497129,0.4295732816089533,0.8641236880713238,20,6095,False
101,0.3346560090099753,0.8892274874295292,nan,nan,20,6563,False
102,0.34529490483399,0.8874193548387097,nan,nan,20,6200,False
103,0.4375896373276766,0.8689197725837018,nan,nan,20,6332,False
104,0.47005557393214703,0.8527845036319612,nan,nan,20,6195,False
105,0.42719896239174304,0.8613617719442166,nan,nan,20,6095,False
106,0.38942550405555604,0.8779290690310323,nan,nan,20,6316,False
107,0.32204859824843723,0.8962490023942538,nan,nan,20,6265,False
108,0.359607199031644,0.8879268879268879,nan,nan,20,6237,False
109,0.3497177799863587,0.8859536082474226,nan,nan,20,6208,False
110,0.37305182472648996,0.8809028333600128,0.4017954837480822,0.8746755445209344,20,6247,False
111,0.40667447588547534,0.8728192602930914,nan,nan,20,5732,False
112,0.3861706899084444,0.8718734047983665,nan,nan,20,5877,False
113,0.34361731232861786,0.8882672882672883,nan,nan,20,6435,False
114,0.36908476604363805,0.8791352767769407,nan,nan,20,6106,False
115,0.4399072574423698,0.8614478114478115,nan,nan,20,5940,False
116,0.3069534788757373,0.8974598722144305,nan,nan,20,6417,False
117,0.3499876405330802,0.8881930655261953,nan,nan,20,6547,False
118,0.33640662466306764,0.8978313253012048,nan,nan,20,6225,False
119,0.2683231005821343,0.9162051879918391,nan,nan,20,6862,False
120,0.3213109588491126,0.8851406944215896,0.3800409388298671,0.876819772034759,20,6077,False
121,0.26100738106797516,0.915511648481274,nan,nan,20,6782,False
122,0.32525251185877774,0.8967917675544794,nan,nan,20,6608,False
123,0.3448055418065648,0.88988333066965,nan,nan,20,6257,False
124,0.34566891764847046,0.8848413631022327,nan,nan,20,5957,False
