round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,run_completed
1,4.0175991977297985,0.05676578152329464,nan,nan,20,6289,False
2,3.7992956675741287,0.05703546331099853,nan,nan,20,6119,False
3,3.7693508011365733,0.057326841526621646,nan,nan,20,6367,False
4,3.767536983499682,0.05623306233062331,nan,nan,20,5904,False
5,3.7496228256257402,0.05721434528773978,nan,nan,20,5995,False
6,3.72922565521344,0.055366682855755224,nan,nan,20,6177,False
7,3.7511262050914413,0.0593152226330172,nan,nan,20,6221,False
8,3.733361525544223,0.06308680612749135,nan,nan,20,6071,False
9,3.7157467884015403,0.0621089577292843,nan,nan,20,6553,False
10,3.7259668331591502,0.06002858504049548,3.721759537328865,0.05907911070985216,20,6297,False
11,3.7202098690539205,0.06294593309021722,nan,nan,20,6307,False
12,3.7175002696688084,0.06591048436541999,nan,nan,20,6524,False
13,3.7327925738187995,0.054295850686410616,nan,nan,20,6483,False
14,3.7081608020924137,0.06269733874605322,nan,nan,20,6651,False
15,3.736556054678141,0.05664092079357868,nan,nan,20,6603,False
16,3.7202176532158298,0.05759162303664921,nan,nan,20,6303,False
17,3.7040171212537163,0.06583072100313479,nan,nan,20,6380,False
18,3.7107829355938056,0.059947196769684734,nan,nan,20,6439,False
19,3.7124091337116636,0.06670892093170655,nan,nan,20,6311,False
20,3.6972677926341073,0.06696753530353763,3.702466524154496,0.060659067825301886,20,6869,False
21,3.6818694328987402,0.06783767413688674,nan,nan,20,6604,False
22,3.6807173423897024,0.06703824121381019,nan,nan,20,6459,False
23,3.7077617181108353,0.07006079027355623,nan,nan,20,6580,False
24,3.695855304796237,0.0749211356466877,nan,nan,20,6340,False
25,3.6918018976646896,0.0685687263556116,nan,nan,20,6344,False
26,3.672795161115215,0.07740227378912942,nan,nan,20,6421,False
27,3.6904281680269406,0.0782580748834967,nan,nan,20,6223,False
28,3.658116076824259,0.06925648782041076,nan,nan,20,6281,False
29,3.6791530313629406,0.06970335548711298,nan,nan,20,6169,False
30,3.6770325176602614,0.06402982655211542,3.6574943312645067,0.10264078546439453,20,6169,False
31,3.6419639193397773,0.08347425057647963,nan,nan,20,6505,False
32,3.6442389224432996,0.07495518983216555,nan,nan,20,6137,False
33,3.6414575630549546,0.08847184986595175,nan,nan,20,6341,False
34,3.6430401139967907,0.08337082021292548,nan,nan,20,6669,False
35,3.6022270491655792,0.08533288273065225,nan,nan,20,5918,False
36,3.5723410077827094,0.1108786610878661,nan,nan,20,6214,False
37,3.5506498654176024,0.11141260973663208,nan,nan,20,6265,False
38,3.5203171598821767,0.11389236545682102,nan,nan,20,6392,False
39,3.4847944685360543,0.12819261428339027,nan,nan,20,6147,False
40,3.464491109809048,0.1519962276013832,3.4164845544427394,0.17063536846857014,20,6362,False
41,3.427450610140675,0.132224984462399,nan,nan,20,6436,False
42,3.3606581443514365,0.1591240875912409,nan,nan,20,6165,False
43,3.297513286370951,0.17279752704791346,nan,nan,20,6470,False
44,3.265456326071527,0.16721985143037774,nan,nan,20,6327,False
45,3.1704041770517635,0.21032895858189876,nan,nan,20,5867,False
46,3.0705156680469163,0.24244783556524446,nan,nan,20,6422,False
47,2.9748649722014906,0.23880131106602154,nan,nan,20,6407,False
48,2.899741861159282,0.2812804679883003,nan,nan,20,6154,False
49,2.840662316099716,0.28806518613196996,nan,nan,20,6259,False
50,2.668443708171563,0.31592851592851595,2.7385275033510186,0.29917616521837265,20,6435,False
51,2.716216137633032,0.30726530612244896,nan,nan,20,6125,False
52,2.5272839609113573,0.3523765996343693,nan,nan,20,6564,False
53,2.456716065842083,0.37342679624024216,nan,nan,20,6277,False
54,2.346032364290416,0.4089049716803021,nan,nan,20,6356,False
55,2.247530874748448,0.4212663558429839,nan,nan,20,6649,False
56,2.223318904080602,0.42157310208428417,nan,nan,20,6573,False
57,2.2937355577457392,0.4159839491723792,nan,nan,20,5981,False
58,2.1745957267803178,0.4386211199500858,nan,nan,20,6411,False
59,2.13663933517371,0.44548432381843706,nan,nan,20,6411,False
60,2.1462721696160214,0.4497783213575906,2.0945514702202304,0.46270172666741904,20,6541,False
61,2.0888662043460613,0.4517515923566879,nan,nan,20,6280,False
62,1.855055119895552,0.5175903614457832,nan,nan,20,6225,False
63,1.9098566974952982,0.4980922098569157,nan,nan,20,6290,False
64,1.9706190229918121,0.4890083048363459,nan,nan,20,6141,False
65,1.9011142918164488,0.500880704563651,nan,nan,20,6245,False
66,1.7060298015997377,0.5540811603147663,nan,nan,20,6481,False
67,1.7813963043665215,0.5302119582410629,nan,nan,20,6322,False
68,1.778484697274388,0.528564570331253,nan,nan,20,6249,False
69,1.704416308586281,0.55008872398774,nan,nan,20,6199,False
70,1.7188381232175076,0.5450615231127369,1.744775417117149,0.5396117819659181,20,6014,False
71,1.7605086074000633,0.5316355583676052,nan,nan,20,6322,False
72,1.5998825309426894,0.5774178180085755,nan,nan,20,6297,False
73,1.580628037544088,0.5642440969027905,nan,nan,20,6522,False
74,1.5842374535370722,0.5777848402987447,nan,nan,20,6293,False
75,1.4960103008787633,0.6057902709981484,nan,nan,20,5941,False
76,1.602960970657306,0.5735916639531098,nan,nan,20,6142,False
77,1.4741948795907769,0.6012030564135913,nan,nan,20,6151,False
78,1.5283744518130327,0.5930678220296617,nan,nan,20,6001,False
79,1.4446008199380862,0.6101776284205472,nan,nan,20,6249,False
80,1.4577719312713238,0.6102387962054302,1.521278039217937,0.5910168152578715,20,6114,False
81,1.4555982923996078,0.5973012518289709,nan,nan,20,6151,False
