round,train_loss,train_accuracy,test_loss,test_accuracy,num_fit_clients,num_fit_examples,mean_local_steps,c_global_norm,mean_c_delta_norm,run_completed
1,4.034420129614313,0.048912228057014256,nan,nan,20,6665,10.9,0.11529132209317512,3.4911799644938606,False
2,3.8281525098555784,0.05658655308792212,nan,nan,20,6574,10.8,0.15469225960242658,3.9764293335425576,False
3,3.7967665805765014,0.053692284554068284,nan,nan,20,6649,10.75,0.18813644901251647,3.336067238111151,False
4,3.733913736659221,0.05815831987075929,nan,nan,20,6190,10.1,0.21297205913435455,3.339053440094413,False
5,3.811918311940445,0.05519426379856595,nan,nan,20,5997,9.8,0.24612768044436562,5.445949082088359,False
6,3.799661507573653,0.05255568017945842,nan,nan,20,6241,10.25,0.2375156164550971,4.507627463477105,False
7,3.7926673616630215,0.05571536714610144,nan,nan,20,6605,10.8,0.24737037369643355,3.8346033833115376,False
8,3.857598173346478,0.04862508383635144,nan,nan,20,5964,9.8,0.3096753373030715,7.685138191344673,False
9,3.8103020063613138,0.04552845528455285,nan,nan,20,6765,11.05,0.36409635771166404,6.5736266932015806,False
10,3.8101914261411682,0.05371963180926513,3.757213432892977,0.05907911070985216,20,6627,10.8,0.3691779318526123,4.477684992653485,False
11,3.8148326667516717,0.05715182917255456,nan,nan,20,6369,10.3,0.38844562631318225,7.149384755073433,False
12,3.808025006798596,0.05286891618721816,nan,nan,20,6431,10.6,0.42958986784944514,8.13300759381304,False
13,3.8090690026870937,0.047573435504469984,nan,nan,20,6264,10.25,0.42436335026086425,7.676133677869356,False
14,3.8083854152366574,0.054233904508401265,nan,nan,20,6011,10.0,0.4640488219520138,7.311289435869554,False
15,4.037202212359051,0.053208137715179966,nan,nan,20,6390,10.6,0.3881356102200449,14.654307370144966,False
16,3.856046766037911,0.05264852680727741,nan,nan,20,6211,10.2,0.4117787969794525,5.748429741129929,False
17,3.8089291118796456,0.050307343901649954,nan,nan,20,6182,10.15,0.4862189386044133,13.8137843238568,False
18,3.8592163918316458,0.05933821189945911,nan,nan,20,6286,10.3,0.5276524690789632,15.338837094937228,False
19,3.77675905182777,0.06158264199106573,nan,nan,20,6268,10.3,0.6780994519524155,12.85344381808829,False
20,4.002373644946784,0.04964539007092199,3.851607235784846,0.023868637851258322,20,6345,10.45,0.67412570255433,19.69591575468001,False
