round,train_loss,train_accuracy,test_loss,test_accuracy,test_perplexity,num_fit_clients,num_fit_examples,run_completed
1,3.723199737685451,0.17269761233872163,nan,nan,nan,10,40458,False
2,3.2052836551817445,0.17114093959731544,nan,nan,nan,10,34568,False
3,3.146942948061382,0.18443566113868795,nan,nan,nan,10,96901,False
4,3.1023003732358805,0.19199917729329494,nan,nan,nan,10,38896,False
5,3.0674538257334136,0.199910237634053,nan,nan,nan,10,42334,False
6,2.9485614501879858,0.2279006291122527,nan,nan,nan,10,90127,False
7,2.9462318231001303,0.22965958599987493,nan,nan,nan,10,47971,False
8,2.848090416498664,0.2447486909928081,nan,nan,nan,10,49083,False
9,2.8398413688037163,0.24421924432212763,nan,nan,nan,10,38879,False
10,2.781177133429478,0.2552744389341851,2.8092885189965338,0.2507867525850442,16.598104780521695,10,47588,False
11,2.733543946274957,0.2594568298860987,nan,nan,nan,10,59613,False
12,2.6508174865474783,0.27843407381895413,nan,nan,nan,10,87105,False
13,2.6580285890372153,0.2802204162904309,nan,nan,nan,10,43191,False
14,2.624622292752205,0.2900261720527993,nan,nan,nan,10,35152,False
15,2.5627277599450946,0.301240266375392,nan,nan,nan,10,56762,False
16,2.5571042889067916,0.30355485174466224,nan,nan,nan,10,36626,False
17,2.510695512488358,0.3127839984145634,nan,nan,nan,10,70643,False
18,2.476858078725426,0.32463558290283306,nan,nan,nan,10,30391,False
19,2.411900094883572,0.3397414277684092,nan,nan,nan,10,35580,False
20,2.410959062633132,0.3389830508474576,2.4371263537827805,0.34270567960437587,11.440118608602969,10,50504,False
21,2.361621873820435,0.34345169912180223,nan,nan,nan,10,57618,False
22,2.3498653011894524,0.3520556460962046,nan,nan,nan,10,59519,False
23,2.2654406608213877,0.3732224813783763,nan,nan,nan,10,53164,False
24,2.280213728746155,0.36492188625650945,nan,nan,nan,10,48583,False
25,2.2501806694338127,0.3727907932593506,nan,nan,nan,10,68124,False
26,2.1822068158422385,0.39053292236932463,nan,nan,nan,10,62617,False
27,2.134976674128339,0.40108520310896023,nan,nan,nan,10,88647,False
28,2.1500354383741938,0.3948088164315976,nan,nan,nan,10,55941,False
29,2.028356739234855,0.4242783318521444,nan,nan,nan,10,60762,False
30,2.0994952273744407,0.40668674568265045,2.085620554672909,0.416192117488386,8.049585139791985,10,46151,False
31,1.9993781779124924,0.4287152757211396,nan,nan,nan,10,84415,False
32,2.0209177105972986,0.4221148160526519,nan,nan,nan,10,38897,False
33,1.9321946207009244,0.44492170596060454,nan,nan,nan,10,62393,False
34,2.010627839921608,0.42666503727239397,nan,nan,nan,10,40915,False
35,1.9834475495057153,0.43438441098317093,nan,nan,nan,10,56450,False
36,1.967416933858021,0.43826022089143996,nan,nan,nan,10,48259,False
37,1.915992864774164,0.44727668406311083,nan,nan,nan,10,49627,False
38,1.8822595680596506,0.45454756272900143,nan,nan,nan,10,43122,False
39,1.8802561086872043,0.4569828748927126,nan,nan,nan,10,48934,False
40,1.8577619949110808,0.46224109844077266,1.8592030836262838,0.4672186422898247,6.418619629653388,10,68752,False
41,1.857735404170967,0.4660957461743647,nan,nan,nan,10,35615,False
42,1.8599637074383302,0.4638547638547639,nan,nan,nan,10,36630,False
43,1.8048834379314278,0.47454290245547515,nan,nan,nan,10,54857,False
44,1.7890575771970656,0.4792076652579282,nan,nan,nan,10,61994,False
45,1.7665090883256853,0.48460247506515125,nan,nan,nan,10,73291,False
46,1.7467408470498476,0.49089678658749564,nan,nan,nan,10,45808,False
47,1.7571582624795024,0.4884928892157016,nan,nan,nan,10,63917,False
48,1.744683592897686,0.48901750727972104,nan,nan,nan,10,55634,False
49,1.7192343293320205,0.49674789157563876,nan,nan,nan,10,64266,False
50,1.7147397660475359,0.49716995828501204,1.7341842040403948,0.49769593885808483,5.664305001295529,10,57773,False
51,1.7158576454677756,0.49649669824182857,nan,nan,nan,10,84349,False
52,1.7400178075899666,0.49327052489905787,nan,nan,nan,10,47552,False
53,1.6995305469843616,0.5034586372030424,nan,nan,nan,10,31949,False
54,1.7237701879155902,0.49557773450178516,nan,nan,nan,10,49296,False
55,1.6783129785345587,0.5047690574539992,nan,nan,nan,10,53260,False
56,1.6591963583008884,0.5110910643233404,nan,nan,nan,10,62077,False
57,1.6390195442940745,0.5191035506952882,nan,nan,nan,10,29628,False
58,1.66317542907821,0.5118206190592249,nan,nan,nan,10,45133,False
59,1.650823536201439,0.5125291141273793,nan,nan,nan,10,49804,False
60,1.6264869332307348,0.5214380917761506,1.6550642950467294,0.5134684549677806,5.233416394112827,10,57771,False
61,1.6346509742676167,0.5206363250935501,nan,nan,nan,10,54249,False
62,1.6069104149966924,0.5275891897559569,nan,nan,nan,10,76298,False
63,1.6210621806121341,0.5242780803617305,nan,nan,nan,10,38924,False
64,1.6067934279858866,0.524175457018758,nan,nan,nan,10,62853,False
65,1.6551114070922357,0.5145131224664911,nan,nan,nan,10,33797,False
66,1.5870210659883446,0.5299959594241116,nan,nan,nan,10,47023,False
67,1.583050527631057,0.529222273354809,nan,nan,nan,10,54325,False
68,1.5542538138763533,0.5375409891484398,nan,nan,nan,10,29581,False
69,1.5128408449015258,0.5472333467289331,nan,nan,nan,10,72163,False
70,1.5289114048884,0.5452583173009244,1.598498764860564,0.527367750636895,4.94560233662271,10,63933,False
71,1.6316305847665349,0.5180819454218469,nan,nan,nan,10,51156,False
72,1.5711370979609307,0.5367256548489889,nan,nan,nan,10,49897,False
73,1.619925765148522,0.5218195069058073,nan,nan,nan,10,56257,False
74,1.5556850339579014,0.5371828977796325,nan,nan,nan,10,57513,False
75,1.5059790814181122,0.5513307491865123,nan,nan,nan,10,77137,False
76,1.529955615627074,0.5476678043230945,nan,nan,nan,10,17580,False
77,1.510008699647517,0.5526072057052885,nan,nan,nan,10,43188,False
78,1.5707446332135864,0.5392128096575428,nan,nan,nan,10,47714,False
79,1.4899335028578433,0.5546370609101469,nan,nan,nan,10,95567,False
80,1.57864088502148,0.5357644437987312,1.5771131133561582,0.5319571407163195,4.840960315574286,10,41298,False
81,1.4934161363443081,0.5523090458944612,nan,nan,nan,10,48873,False
82,1.5048160207565922,0.5525436477514356,nan,nan,nan,10,69133,False
83,1.5234373684245968,0.5464854824518526,nan,nan,nan,10,51145,False
84,1.4740114717443933,0.562073947459455,nan,nan,nan,10,49143,False
85,1.4914431560505754,0.5535559340553395,nan,nan,nan,10,31117,False
86,1.4845066576553412,0.5543476120137864,nan,nan,nan,10,50775,False
87,1.4526954601471818,0.5626830636282432,nan,nan,nan,10,96278,False
88,1.4716236307196067,0.5589440063518415,nan,nan,nan,10,55417,False
89,1.487140497558472,0.5562579695048581,nan,nan,nan,10,55681,False
90,1.4142555832317734,0.5734138895630293,1.5431385164619582,0.5416416903941256,4.67925316216845,10,78289,False
91,1.4943698122509799,0.5537243816254417,nan,nan,nan,10,35375,False
92,1.4230568872467986,0.5736669862153317,nan,nan,nan,10,60502,False
93,1.522034882937448,0.5447503453720149,nan,nan,nan,10,40536,False
94,1.5456607991431055,0.5364857196898052,nan,nan,nan,10,52870,False
95,1.5319501401948479,0.5442613201936963,nan,nan,nan,10,23542,False
96,1.452492494685493,0.5645260200516266,nan,nan,nan,10,70119,False
97,1.455256427939686,0.5606671908635069,nan,nan,nan,10,77579,False
98,1.4206856774663654,0.571327862333249,nan,nan,nan,10,55322,False
99,1.4240717409079697,0.5709841142398349,nan,nan,nan,10,69748,False
100,1.389523269168044,0.578623165585438,1.5194292782522403,0.5472613517158699,4.569616471286166,10,79385,False
101,1.385604648620082,0.5806080549812167,nan,nan,nan,10,68678,False
102,1.453597534357271,0.5615438295131246,nan,nan,nan,10,55887,False
103,1.4301817766743923,0.5696706953932388,nan,nan,nan,10,45672,False
104,1.4081881755639265,0.5762509861850167,nan,nan,nan,10,59573,False
105,1.4180238673111416,0.5747547464050629,nan,nan,nan,10,55147,False
106,1.357794231902123,0.5878340365682138,nan,nan,nan,10,99540,False
107,1.4135813229787297,0.5758641996498576,nan,nan,nan,10,58262,False
108,1.4071197773049502,0.5800650119998785,nan,nan,nan,10,32917,False
109,1.4801939462562164,0.5576556224899598,nan,nan,nan,10,39840,False
110,1.3749126696977505,0.5866433372034079,1.5204660465169593,0.5472426195114641,4.574356561388439,10,61153,False
111,1.3584425063104213,0.5884422948632422,nan,nan,nan,10,59960,False
112,1.4660102909278252,0.5617377370248375,nan,nan,nan,10,33699,False
113,1.4045242308507448,0.5786234641731,nan,nan,nan,10,45985,False
114,1.373359180791103,0.5865620468620835,nan,nan,nan,10,73791,False
115,1.4061350402474935,0.5770453100880777,nan,nan,nan,10,44052,False
116,1.3244500660790883,0.5963612641345317,nan,nan,nan,10,68980,False
117,1.4614333433311597,0.5629440096327514,nan,nan,nan,10,33220,False
118,1.345530076508761,0.590134445339968,nan,nan,nan,10,85611,False
119,1.392116478043165,0.5793870004900432,nan,nan,nan,10,44894,False
120,1.351240531696397,0.5904814032892851,1.5093423616541355,0.5515884909336131,4.52375482122677,10,38367,False
121,1.3635185716462686,0.5910499191439842,nan,nan,nan,10,66167,False
122,1.343266475428294,0.5942251574258947,nan,nan,nan,10,39066,False
123,1.4006465368572698,0.5783357088038592,nan,nan,nan,10,27363,False
124,1.3745145888240766,0.5831574421513446,nan,nan,nan,10,51168,False
125,1.3203818749122207,0.597488478867931,nan,nan,nan,10,58371,False
126,1.3472369785616487,0.5903086264087991,nan,nan,nan,10,51551,False
127,1.391760101832813,0.5791944541944541,nan,nan,nan,10,45584,False
128,1.2673742499906675,0.6138671612102359,nan,nan,nan,10,66863,False
129,1.3607217677052756,0.5856288355472695,nan,nan,nan,10,64365,False
130,1.4057833061595164,0.5795605296799248,1.5061706053376394,0.5521317248613817,4.5094293038330076,10,41459,False
131,1.4426517534421666,0.5649200833912439,nan,nan,nan,10,35975,False
132,1.3115301481227233,0.6022448634480426,nan,nan,nan,10,47308,False
133,1.344283342633276,0.5938214294130122,nan,nan,nan,10,42437,False
134,1.3784575203673306,0.5836080353872595,nan,nan,nan,10,35493,False
135,1.3235125777267482,0.6001716630380171,nan,nan,nan,10,47768,False
136,1.2859052898409524,0.6119651527634139,nan,nan,nan,10,57049,False
137,1.3191752744760676,0.5950332594235034,nan,nan,nan,10,67650,False
138,1.3245127936697931,0.5955449840892288,nan,nan,nan,10,62222,False
