round,train_loss,train_accuracy,test_loss,test_accuracy,test_perplexity,num_fit_clients,num_fit_examples,tau_eff,mean_local_normalizer,mean_local_steps,run_completed
1,3.477503659313169,0.1879538781064241,nan,nan,nan,10,69815,4752.613303463784,2096.601236650295,218.6,False
2,3.2412382631573378,0.1688114211697125,nan,nan,nan,10,35513,1676.701948830654,1025.8852750913215,111.5,False
3,3.1334439990197342,0.18605575189778123,nan,nan,nan,10,47819,2049.040560069753,1409.2171611167453,149.9,False
4,3.1453281020286417,0.1862268006488445,nan,nan,nan,10,47469,2763.2719358512113,1398.431856326435,148.8,False
5,3.1127153070284073,0.18804008089722377,nan,nan,nan,10,65268,3104.44377709086,1953.5243394856534,204.3,False
6,3.086590629192516,0.1892596038814303,nan,nan,nan,10,37615,1671.0098064169395,1090.7038762632685,118.0,False
7,3.100391673835527,0.18487851523449386,nan,nan,nan,10,46014,2556.832212735512,1352.158786871308,144.2,False
8,3.027968082547638,0.19468193482662127,nan,nan,nan,10,77547,4397.8069224818955,2339.1353814580148,242.8,False
9,2.9971870304237975,0.20564811424386673,nan,nan,nan,10,65544,2987.190392822631,1961.910107365727,205.1,False
10,2.9688184937600295,0.21378171990350256,2.9477314847208436,0.2195976322493631,19.062660704285523,10,55131,4153.70388783891,1637.3259172489843,172.6,False
11,2.8907893054641822,0.22507050960089633,nan,nan,nan,10,51766,2232.6811432274844,1532.2562359329145,162.2,False
12,2.874815774623194,0.2332279739601867,nan,nan,nan,10,47773,1829.5313979220527,1407.1256265456946,149.7,False
13,2.869538825637093,0.22964121326566742,nan,nan,nan,10,33892,2251.3434443470646,974.7271379878057,106.4,False
14,2.8408935947135747,0.23559343594962473,nan,nan,nan,10,47166,2315.1149310322653,1389.0912808583041,147.8,False
15,2.7990582912338637,0.2414867467238653,nan,nan,nan,10,63871,2890.8296582643884,1911.1878459992572,200.1,False
16,2.790242407159729,0.24361665667037957,nan,nan,nan,10,46684,2873.877235308305,1375.3302007928432,146.4,False
17,2.7461860648219494,0.2516089488201042,nan,nan,nan,10,55471,2605.054586071377,1649.1987923005963,173.8,False
18,2.7457725216876634,0.25962659160380885,nan,nan,nan,10,45473,2009.232106758519,1336.5319855092264,142.6,False
19,2.7255157436707593,0.26014999120520654,nan,nan,nan,10,62537,3261.403646116575,1870.843273103099,196.0,False
20,2.6569331997981194,0.2796254780429909,2.693401340814468,0.27253484190019484,14.781868683973384,10,37915,1926.6348747117029,1100.838451576506,119.0,False
21,2.6372297311719426,0.281938397293754,nan,nan,nan,10,61783,3091.697951531852,1846.74014843648,193.6,False
22,2.5904135295004544,0.2910098923796065,nan,nan,nan,10,45995,2722.0055561245567,1354.6159841029883,144.4,False
23,2.5568715613490456,0.3013340165059381,nan,nan,nan,10,54647,2168.2207315018877,1620.1283731820577,171.0,False
24,2.5015449978997193,0.3085861986576598,nan,nan,nan,10,92078,4745.23753515171,2792.1377766832566,288.2,False
25,2.483246939867683,0.3139522470910579,nan,nan,nan,10,28103,1310.487259746712,792.518547130399,88.1,False
26,2.4947465075581357,0.30896940037361537,nan,nan,nan,10,38007,1491.5124036091888,1101.2280395868233,119.1,False
27,2.4597291470727938,0.3169253031285864,nan,nan,nan,10,40082,2736.2414673033713,1167.7354922525747,125.7,False
28,2.429756582609167,0.3236438849720882,nan,nan,nan,10,44963,1867.3298057524785,1318.1591284740011,140.8,False
29,2.412097934750494,0.3299398235924491,nan,nan,nan,10,48524,2032.9651980319557,1430.178937289123,152.0,False
30,2.380043999151014,0.3407742035984111,2.377607124133677,0.33970852689944553,10.779078981624549,10,64195,3639.200211481849,1921.1775680356072,201.1,False
31,2.3058520197065033,0.3531032528261486,nan,nan,nan,10,63514,4582.114843759619,1900.1572497397306,199.0,False
32,2.3275691645584295,0.35100210143336574,nan,nan,nan,10,63766,2470.812884470515,1908.0304257416433,199.8,False
33,2.325913791913329,0.35067993879691234,nan,nan,nan,10,58167,2979.314057517578,1734.8473193495622,182.4,False
34,2.2768196818849216,0.358818117574901,nan,nan,nan,10,74999,3900.5105685350054,2259.067329991731,234.9,False
35,2.280796477330644,0.36071342103139376,nan,nan,nan,10,61955,3143.5694846177676,1852.0396830790148,194.2,False
36,2.249543005743966,0.3727270152382031,nan,nan,nan,10,70612,3138.6062085952335,2122.231748835798,221.1,False
37,2.2195337959961257,0.3715879493857796,nan,nan,nan,10,48761,2803.485555790717,1438.4600638996203,152.7,False
38,2.1817041917266797,0.3821451509312781,nan,nan,nan,10,45153,2008.4217047485001,1326.2111030667143,141.6,False
39,2.161535018946706,0.38762350266678325,nan,nan,nan,10,45748,2283.1507086850356,1344.795655310085,143.4,False
40,2.1688100627474403,0.38928234818904,2.1571833993762253,0.3970852689944553,8.646748889560136,10,74270,3115.1695526184694,2237.1146736620044,232.7,False
41,2.138944474401254,0.3947901201241733,nan,nan,nan,10,59272,2440.654904256794,1768.0657335376268,185.8,False
42,2.1183304189415044,0.4003330207276694,nan,nan,nan,10,52249,2906.7615401504336,1546.0331388440773,163.5,False
43,2.124222537052193,0.39557293766631724,nan,nan,nan,10,49604,3106.9771333591393,1466.4271196888265,155.6,False
44,2.1040399260401106,0.3999693533558075,nan,nan,nan,10,32630,1538.369974988606,934.8329906306346,102.4,False
45,2.1067986318392897,0.40008735531775497,nan,nan,nan,10,45790,2001.9073352087712,1345.5058466145806,143.5,False
46,2.1130325100794387,0.40336634842500146,nan,nan,nan,10,50381,2857.837532412863,1488.4469435602164,157.8,False
47,2.0766282974336914,0.4109768253177174,nan,nan,nan,10,16052,500.18980981445344,416.14206154775565,50.4,False
48,2.074740842129373,0.4084495555011826,nan,nan,nan,10,24522,1464.7724454525473,681.4051792363367,76.9,False
49,2.072467560489211,0.40603993177485703,nan,nan,nan,10,59802,3618.396251009073,1782.378961967089,187.1,False
50,2.054979452508582,0.409399314134002,2.1264141563459544,0.3926832009590889,8.384746450412063,10,54238,3194.1415400348033,1610.1116304028185,170.0,False
51,2.0268994634752513,0.41824182418241823,nan,nan,nan,10,33330,1770.1106916575525,958.0784358351166,104.6,False
52,2.0390595385074968,0.41485710282992433,nan,nan,nan,10,57104,2815.4526923951203,1699.1407894715012,178.9,False
53,2.0200386473799177,0.415981915981916,nan,nan,nan,10,60606,3281.048857598706,1809.6388063473319,189.9,False
54,2.0113912989445826,0.4216975932390226,nan,nan,nan,10,54430,2418.6757799506777,1617.6218038641284,170.7,False
55,1.9960369664145905,0.4295889295889296,nan,nan,nan,10,54054,2247.441079715982,1604.4099809120803,169.4,False
56,1.9940905396409747,0.42589417280643,nan,nan,nan,10,74650,3474.867469126615,2247.2516261195487,233.7,False
57,2.0007479443396186,0.4247188615892981,nan,nan,nan,10,56289,3737.3412783258605,1674.772971091669,176.4,False
58,1.9676485890257003,0.4308825054443638,nan,nan,nan,10,38572,1657.1037671218908,1121.1016002481585,121.1,False
59,1.9850949996461176,0.4294253795265259,nan,nan,nan,10,54871,2242.93691963639,1629.6591452821663,171.9,False
60,1.957652043493687,0.4403950479899847,1.9439988921254217,0.4470627903491683,6.986633978510088,10,21567,815.7887095905469,588.7466255885239,67.8,False
61,1.943500481046754,0.4411283809073538,nan,nan,nan,10,50763,2899.215302975542,1503.6325885396068,159.3,False
62,1.952888269204471,0.43536013109218663,nan,nan,nan,10,40277,2206.208311940274,1173.7644502202738,126.3,False
63,1.9620015265014925,0.43452015551463063,nan,nan,nan,10,58644,2640.5417278371788,1748.0458233243942,183.8,False
64,1.9393989938612295,0.44057217476728444,nan,nan,nan,10,83471,4110.699725963247,2523.4153537890093,261.3,False
65,1.910430152016607,0.44688395247264356,nan,nan,nan,10,42586,2625.5530830628873,1248.0095838925217,133.7,False
66,1.8745229443522116,0.4565054673262171,nan,nan,nan,10,61456,4389.07158200951,1835.3279843287462,192.5,False
67,1.931455526863897,0.443049959266354,nan,nan,nan,10,45417,2028.078526100457,1334.7783034598165,142.4,False
68,1.9223673751478687,0.44554711491837723,nan,nan,nan,10,30935,1739.9780801272834,882.8833282736057,97.2,False
69,1.8978442454228563,0.4515434908549201,nan,nan,nan,10,48332,2064.879423485674,1424.1419221276751,151.4,False
70,1.900994112946372,0.4476267819075656,1.8858959652326033,0.4542372246365952,6.592258231004613,10,68957,3363.7237661821955,2070.1119847096843,216.0,False
71,1.8723399640930054,0.4567481707158295,nan,nan,nan,10,76806,3498.1279991699057,2313.03504480975,240.3,False
