round,train_loss,train_accuracy,test_loss,test_accuracy,test_perplexity,num_fit_clients,num_fit_examples,run_completed
1,3.648278232807949,0.17480680937895593,nan,nan,nan,10,52927,False
2,3.159351941441537,0.18637639813431145,nan,nan,nan,10,88332,False
3,3.098721193448426,0.18824650276525537,nan,nan,nan,10,43034,False
4,3.054225578867386,0.19449456821948075,nan,nan,nan,10,54310,False
5,3.027074931731287,0.20069874847447894,nan,nan,nan,10,41789,False
6,3.019160168226763,0.21128586242654684,nan,nan,nan,10,46288,False
7,2.966511082965296,0.21977463543968184,nan,nan,nan,10,45260,False
8,2.9184980587958003,0.2264049060824623,nan,nan,nan,10,51854,False
9,2.9084166050267513,0.2313820080295793,nan,nan,nan,10,63017,False
10,2.87194257885781,0.23520182359123137,2.8534514354869875,0.24276936909935562,17.347552592416033,10,67559,False
11,2.8480047678495066,0.23479040491830275,nan,nan,nan,10,54653,False
12,2.8127310578724902,0.23775224061142575,nan,nan,nan,10,54561,False
13,2.7813336684583523,0.2435818482737385,nan,nan,nan,10,51962,False
14,2.7656829821833924,0.24986402697704777,nan,nan,nan,10,36772,False
15,2.7523250741321026,0.255215462957893,nan,nan,nan,10,36526,False
16,2.716755668719447,0.261224907824662,nan,nan,nan,10,48820,False
17,2.70105507839692,0.26592132072514496,nan,nan,nan,10,38282,False
18,2.649996189623503,0.2719011538652008,nan,nan,nan,10,40386,False
19,2.6380504903724336,0.27714387379907485,nan,nan,nan,10,42155,False
20,2.628736713792375,0.2818485980942691,2.619761414244206,0.2899932564064139,13.732446827994329,10,51109,False
21,2.576059406308754,0.28450880683911856,nan,nan,nan,10,54276,False
22,2.5844669384520795,0.286192263750612,nan,nan,nan,10,36762,False
23,2.562857183978106,0.28836751008570527,nan,nan,nan,10,53789,False
24,2.5467254540309074,0.2936409803488629,nan,nan,nan,10,45290,False
25,2.5233776874487375,0.2982585728355269,nan,nan,nan,10,44676,False
26,2.490191241931953,0.3017471403048795,nan,nan,nan,10,43099,False
27,2.492905363635092,0.29973618973128474,nan,nan,nan,10,75433,False
