algorithm,partition_file,label,seed
fedavg,track1/partitions/cifar10_iid_seed43.npz,iid,43
fedavg,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
fedavg,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
fedavg,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
fedprox,track1/partitions/cifar10_iid_seed43.npz,iid,43
fedprox,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
fedprox,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
fedprox,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
fedavgm,track1/partitions/cifar10_iid_seed43.npz,iid,43
fedavgm,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
fedavgm,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
fedavgm,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
fedadam,track1/partitions/cifar10_iid_seed43.npz,iid,43
fedadam,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
fedadam,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
fedadam,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
fedavg,track1/partitions/cifar10_iid_seed44.npz,iid,44
fedavg,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
fedavg,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
fedavg,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
fedprox,track1/partitions/cifar10_iid_seed44.npz,iid,44
fedprox,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
fedprox,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
fedprox,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
fedavgm,track1/partitions/cifar10_iid_seed44.npz,iid,44
fedavgm,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
fedavgm,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
fedavgm,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
fedadam,track1/partitions/cifar10_iid_seed44.npz,iid,44
fedadam,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
fedadam,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
fedadam,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
fedavg,track1/partitions/cifar10_iid_seed45.npz,iid,45
fedavg,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
fedavg,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
fedavg,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
fedprox,track1/partitions/cifar10_iid_seed45.npz,iid,45
fedprox,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
fedprox,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
fedprox,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
fedavgm,track1/partitions/cifar10_iid_seed45.npz,iid,45
fedavgm,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
fedavgm,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
fedavgm,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
fedadam,track1/partitions/cifar10_iid_seed45.npz,iid,45
fedadam,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
fedadam,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
fedadam,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
fedavg,track1/partitions/cifar10_iid_seed46.npz,iid,46
fedavg,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
fedavg,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
fedavg,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
fedprox,track1/partitions/cifar10_iid_seed46.npz,iid,46
fedprox,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
fedprox,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
fedprox,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
fedavgm,track1/partitions/cifar10_iid_seed46.npz,iid,46
fedavgm,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
fedavgm,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
fedavgm,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
fedadam,track1/partitions/cifar10_iid_seed46.npz,iid,46
fedadam,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
fedadam,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
fedadam,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
