algorithm,partition_file,label,seed
fednova,track1/partitions/cifar10_iid_seed42.npz,iid,42
fednova,track1/partitions/cifar10_alpha1_seed42.npz,alpha1,42
fednova,track1/partitions/cifar10_alpha03_seed42.npz,alpha03,42
fednova,track1/partitions/cifar10_alpha01_seed42.npz,alpha01,42
scaffold,track1/partitions/cifar10_iid_seed42.npz,iid,42
scaffold,track1/partitions/cifar10_alpha1_seed42.npz,alpha1,42
scaffold,track1/partitions/cifar10_alpha03_seed42.npz,alpha03,42
scaffold,track1/partitions/cifar10_alpha01_seed42.npz,alpha01,42
fednova,track1/partitions/cifar10_iid_seed43.npz,iid,43
fednova,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
fednova,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
fednova,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
scaffold,track1/partitions/cifar10_iid_seed43.npz,iid,43
scaffold,track1/partitions/cifar10_alpha1_seed43.npz,alpha1,43
scaffold,track1/partitions/cifar10_alpha03_seed43.npz,alpha03,43
scaffold,track1/partitions/cifar10_alpha01_seed43.npz,alpha01,43
fednova,track1/partitions/cifar10_iid_seed44.npz,iid,44
fednova,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
fednova,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
fednova,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
scaffold,track1/partitions/cifar10_iid_seed44.npz,iid,44
scaffold,track1/partitions/cifar10_alpha1_seed44.npz,alpha1,44
scaffold,track1/partitions/cifar10_alpha03_seed44.npz,alpha03,44
scaffold,track1/partitions/cifar10_alpha01_seed44.npz,alpha01,44
fednova,track1/partitions/cifar10_iid_seed45.npz,iid,45
fednova,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
fednova,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
fednova,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
scaffold,track1/partitions/cifar10_iid_seed45.npz,iid,45
scaffold,track1/partitions/cifar10_alpha1_seed45.npz,alpha1,45
scaffold,track1/partitions/cifar10_alpha03_seed45.npz,alpha03,45
scaffold,track1/partitions/cifar10_alpha01_seed45.npz,alpha01,45
fednova,track1/partitions/cifar10_iid_seed46.npz,iid,46
fednova,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
fednova,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
fednova,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
scaffold,track1/partitions/cifar10_iid_seed46.npz,iid,46
scaffold,track1/partitions/cifar10_alpha1_seed46.npz,alpha1,46
scaffold,track1/partitions/cifar10_alpha03_seed46.npz,alpha03,46
scaffold,track1/partitions/cifar10_alpha01_seed46.npz,alpha01,46
