algorithm,dataset,seed
fedavgm,femnist,42
fedavgm,femnist,43
fedavgm,femnist,44
fedavgm,femnist,45
fedavgm,femnist,46
fedavgm,shakespeare,42
fedavgm,shakespeare,43
fedavgm,shakespeare,44
fedavgm,shakespeare,45
fedavgm,shakespeare,46
fedprox,femnist,42
fedprox,femnist,43
fedprox,femnist,44
fedprox,femnist,45
fedprox,femnist,46
fedprox,shakespeare,42
fedprox,shakespeare,43
fedprox,shakespeare,44
fedprox,shakespeare,45
fedprox,shakespeare,46
fedadam,femnist,42
fedadam,femnist,43
fedadam,femnist,44
fedadam,femnist,45
fedadam,femnist,46
fedadam,shakespeare,42
fedadam,shakespeare,43
fedadam,shakespeare,44
fedadam,shakespeare,45
fedadam,shakespeare,46
fednova,femnist,42
fednova,femnist,43
fednova,femnist,44
fednova,femnist,45
fednova,femnist,46
fednova,shakespeare,42
fednova,shakespeare,43
fednova,shakespeare,44
fednova,shakespeare,45
fednova,shakespeare,46
scaffold,femnist,42
scaffold,femnist,43
scaffold,femnist,44
scaffold,femnist,45
scaffold,femnist,46
scaffold,shakespeare,42
scaffold,shakespeare,43
scaffold,shakespeare,44
scaffold,shakespeare,45
scaffold,shakespeare,46
